 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000
1.0         0.00200        21.07305         0.00200        21.07305        -0.00197
2.0         0.00400         0.29643         0.00400         0.29643        -0.00394
3.0         0.00600         0.02168         0.00600         0.02168        -0.00591
4.0         0.00800         0.02510         0.00800         0.02510        -0.00788
5.0         0.01000         0.03134         0.01000         0.03134        -0.00985
6.0         0.01200         0.03761         0.01200         0.03761        -0.01182
7.0         0.01400         0.04388         0.01400         0.04388        -0.01379
8.0         0.01600         0.05015         0.01600         0.05015        -0.01576
9.0         0.01800         0.05642         0.01800         0.05642        -0.01773
10.0         0.02000         0.06269         0.02000         0.06269        -0.01970
