 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0001        21.00021         -0.0000
0.2          0.0002        42.00042         -0.0001
0.3          0.0003        63.00063         -0.0001
0.4          0.0004        84.00084         -0.0001
0.5          0.0005       105.00105         -0.0002
0.6          0.0006       126.00126         -0.0002
0.7          0.0007       147.00147         -0.0002
0.8          0.0008       168.00168         -0.0003
0.9          0.0009       166.23876         -0.0003
1.0          0.0010       143.85255         -0.0003
1.1          0.0011       123.23623         -0.0004
1.2          0.0012       104.70217         -0.0004
1.3          0.0013        88.33791         -0.0004
1.4          0.0014        74.09041         -0.0005
1.5          0.0015        61.82391         -0.0005
1.6          0.0016        51.35916         -0.0005
1.7          0.0017        42.49925         -0.0006
1.8          0.0018        35.04625         -0.0006
1.9          0.0019        28.81127         -0.0006
2.0          0.0020        23.62013         -0.0007
2.1          0.0021        19.31612         -0.0007
2.2          0.0022        15.76078         -0.0007
2.3          0.0023        12.83351         -0.0008
2.4          0.0024        10.43042         -0.0008
2.5          0.0025         8.46285         -0.0008
2.6          0.0026         6.85571         -0.0009
2.7          0.0027         5.54584         -0.0009
2.8          0.0028         4.48038         -0.0009
2.9          0.0029         3.61529         -0.0010
3.0          0.0030         2.91407         -0.0010
3.1          0.0031         2.34657         -0.0010
3.2          0.0032         1.88795         -0.0011
3.3          0.0033         1.51782         -0.0011
3.4          0.0034         1.21948         -0.0011
3.5          0.0035         0.97929         -0.0012
3.6          0.0036         0.78613         -0.0012
3.7          0.0037         0.63097         -0.0012
3.8          0.0038         0.50644         -0.0013
3.9          0.0039         0.40661         -0.0013
4.0          0.0040         0.32665         -0.0013
4.1          0.0041         0.26266         -0.0014
4.2          0.0042         0.21150         -0.0014
4.3          0.0043         0.17063         -0.0014
4.4          0.0044         0.13802         -0.0015
4.5          0.0045         0.11203         -0.0015
4.6          0.0046         0.09132         -0.0015
4.7          0.0047         0.07485         -0.0016
4.8          0.0048         0.06176         -0.0016
4.9          0.0049         0.05138         -0.0016
5.0          0.0050         0.04315         -0.0016
5.1          0.0051         0.03665         -0.0017
5.2          0.0052         0.03152         -0.0017
5.3          0.0053         0.02748         -0.0017
5.4          0.0054         0.02431         -0.0018
5.5          0.0055         0.02184         -0.0018
5.6          0.0056         0.01992         -0.0018
5.7          0.0057         0.01844         -0.0019
5.8          0.0058         0.01731         -0.0019
5.9          0.0059         0.01645         -0.0019
6.0          0.0060         0.01582         -0.0020
6.1          0.0061         0.01536         -0.0020
6.2          0.0062         0.01504         -0.0020
6.3          0.0063         0.01483         -0.0021
6.4          0.0064         0.01470         -0.0021
6.5          0.0065         0.01465         -0.0021
6.6          0.0066         0.01465         -0.0022
6.7          0.0067         0.01469         -0.0022
6.8          0.0068         0.01477         -0.0022
6.9          0.0069         0.01488         -0.0023
7.0          0.0070         0.01501         -0.0023
7.1          0.0071         0.01515         -0.0023
7.2          0.0072         0.01531         -0.0024
7.3          0.0073         0.01548         -0.0024
7.4          0.0074         0.01566         -0.0024
7.5          0.0075         0.01584         -0.0025
7.6          0.0076         0.01603         -0.0025
7.7          0.0077         0.01623         -0.0025
7.8          0.0078         0.01643         -0.0026
7.9          0.0079         0.01663         -0.0026
8.0          0.0080         0.01683         -0.0026
8.1          0.0081         0.01703         -0.0027
8.2          0.0082         0.01724         -0.0027
8.3          0.0083         0.01744         -0.0027
8.4          0.0084         0.01765         -0.0028
8.5          0.0085         0.01786         -0.0028
8.6          0.0086         0.01807         -0.0028
8.7          0.0087         0.01828         -0.0029
8.8          0.0088         0.01848         -0.0029
8.9          0.0089         0.01869         -0.0029
9.0          0.0090         0.01890         -0.0030
9.1          0.0091         0.01911         -0.0030
9.2          0.0092         0.01932         -0.0030
9.3          0.0093         0.01953         -0.0031
9.4          0.0094         0.01974         -0.0031
9.5          0.0095         0.01995         -0.0031
9.6          0.0096         0.02016         -0.0032
9.7          0.0097         0.02037         -0.0032
9.8          0.0098         0.02058         -0.0032
9.9          0.0099         0.02079         -0.0033
10.0          0.0100         0.02100         -0.0033
