 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
1.0          0.0002        42.00042         -0.0001
2.0          0.0004        84.00084         -0.0001
3.0          0.0006       126.00126         -0.0002
4.0          0.0008       113.40256         -0.0003
5.0          0.0010        85.97849         -0.0003
6.0          0.0012        62.57930         -0.0004
7.0          0.0014        44.28346         -0.0005
8.0          0.0016        30.69764         -0.0005
9.0          0.0018        20.94793         -0.0006
10.0          0.0020        14.11894         -0.0007
