 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0040 220000000.00000         -0.0013
0.2          0.0080 440000000.00000         -0.0026
0.3          0.0120 660000000.00000         -0.0040
0.4          0.0160 880000000.00000         -0.0053
0.5          0.0200 1100000000.00000         -0.0066
0.6          0.0240 1320000000.00000         -0.0079
0.7          0.0280 1540000000.00000         -0.0092
0.8          0.0320 1760000000.00000         -0.0106
0.9          0.0360 1980000000.00000         -0.0119
1.0          0.0400 2200000000.00000         -0.0132
1.1          0.0440 2420000000.00000         -0.0145
1.2          0.0480 2424844875.60788         -0.0158
1.3          0.0520 2376931241.08133         -0.0172
1.4          0.0560 2316177582.95435         -0.0185
1.5          0.0600 2245461582.72126         -0.0198
1.6          0.0640 2167229504.86234         -0.0211
1.7          0.0680 2083552246.31293         -0.0224
1.8          0.0720 1996174625.18486         -0.0238
1.9          0.0760 1906558687.90124         -0.0251
2.0          0.0800 1815921726.83640         -0.0264
2.1          0.0840 1725269622.99935         -0.0277
2.2          0.0880 1635426059.23778         -0.0290
2.3          0.0920 1547058087.95805         -0.0304
2.4          0.0960 1460698482.63611         -0.0317
2.5          0.1000 1376765253.70573         -0.0330
2.6          0.1040 1295578666.10091         -0.0343
2.7          0.1080 1217376057.21634         -0.0356
2.8          0.1120 1142324719.81230         -0.0370
2.9          0.1160 1070533083.96338         -0.0383
3.0          0.1200 1002060405.11948         -0.0396
3.1          0.1240 936925141.34053         -0.0409
3.2          0.1280 875112181.45398         -0.0422
3.3          0.1320 816579066.96984         -0.0436
3.4          0.1360 761261333.80887         -0.0449
3.5          0.1400 709077085.02053         -0.0462
3.6          0.1440 659930892.47840         -0.0475
3.7          0.1480 613717113.85544         -0.0488
3.8          0.1520 570322700.83261         -0.0502
3.9          0.1560 529629565.33364         -0.0515
4.0          0.1600 491516562.47385         -0.0528
4.1          0.1640 455861141.74351         -0.0541
4.2          0.1680 422540711.61174         -0.0554
4.3          0.1720 391433757.14103         -0.0568
4.4          0.1760 362420745.26322         -0.0581
4.5          0.1800 335384848.00907         -0.0594
4.6          0.1840 310212510.14137         -0.0607
4.7          0.1880 286793884.25614         -0.0620
4.8          0.1920 265023153.43540         -0.0634
4.9          0.1960 244798758.91328         -0.0647
5.0          0.2000 226023547.91173         -0.0660
5.1          0.2040 208604854.77794         -0.0673
5.2          0.2080 192454526.77894         -0.0686
5.3          0.2120 177488904.35191         -0.0700
5.4          0.2160 163628764.24464         -0.0713
5.5          0.2200 150799232.78804         -0.0726
5.6          0.2240 138929675.50024         -0.0739
5.7          0.2280 127953568.31229         -0.0752
5.8          0.2320 117808354.91316         -0.0766
5.9          0.2360 108435294.02205         -0.0779
6.0          0.2400  99779299.79683         -0.0792
6.1          0.2440  91788778.06829         -0.0805
6.2          0.2480  84415460.63972         -0.0818
6.3          0.2520  77614239.50317         -0.0832
6.4          0.2560  71343002.48876         -0.0845
6.5          0.2600  65562471.57572         -0.0858
6.6          0.2640  60236044.84679         -0.0871
6.7          0.2680  55329642.85690         -0.0884
6.8          0.2720  50811560.00712         -0.0898
6.9          0.2760  46652321.36268         -0.0911
7.0          0.2800  42824545.22469         -0.0924
7.1          0.2840  39302811.65724         -0.0937
7.2          0.2880  36063537.08095         -0.0950
7.3          0.2920  33084854.96892         -0.0964
7.4          0.2960  30346502.61941         -0.0977
7.5          0.3000  27829713.92896         -0.0990
7.6          0.3040  25517118.04944         -0.1003
7.7          0.3080  23392643.78015         -0.1016
7.8          0.3120  21441429.52113         -0.1030
7.9          0.3160  19649738.59519         -0.1043
8.0          0.3200  18004879.73221         -0.1056
8.1          0.3240  16495132.50005         -0.1069
8.2          0.3280  15109677.46078         -0.1082
8.3          0.3320  13838530.82806         -0.1096
8.4          0.3360  12672483.40151         -0.1109
8.5          0.3400  11603043.55590         -0.1122
8.6          0.3440  10622384.06627         -0.1135
8.7          0.3480   9723292.55531         -0.1148
8.8          0.3520   8899125.35504         -0.1162
8.9          0.3560   8143764.58186         -0.1175
9.0          0.3600   7451578.23102         -0.1188
9.1          0.3640   6817383.10471         -0.1201
9.2          0.3680   6236410.39574         -0.1214
9.3          0.3720   5704273.75726         -0.1228
9.4          0.3760   5216939.69676         -0.1241
9.5          0.3800   4770700.14150         -0.1254
9.6          0.3840   4362147.02981         -0.1267
9.7          0.3880   3988148.79155         -0.1280
9.8          0.3920   3645828.58781         -0.1294
9.9          0.3960   3332544.18851         -0.1307
10.0          0.4000   3045869.37275         -0.1320
