 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}      Sigma_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 134088217.45284         0.00200  36497299.17098         0.00200  36497299.17098
0.2         0.00400 268176434.90569         0.00400  72994598.34195         0.00400  72994598.34195
0.3         0.00600 377264670.59059         0.00600 102687184.68143         0.00600 102687184.68143
0.4         0.00800 455150920.60451         0.00800 123886942.73671         0.00800 123886942.73671
0.5         0.01000 514796979.77059         0.01000 140121926.74281         0.01000 140121926.74281
0.6         0.01200 558969083.98600         0.01200 152145074.88503         0.01200 152145074.88503
0.7         0.01400 590072166.50178         0.01400 160610982.84683         0.01400 160610982.84683
0.8         0.01600 610193572.10555         0.01600 166087802.31697         0.01600 166087802.31697
0.9         0.01800 621141723.32189         0.01800 169067765.49272         0.01800 169067765.49272
1.0         0.02000 624480303.51665         0.02000 169976489.33505         0.02000 169976489.33505
1.1         0.02200 621558459.99315         0.02200 169181196.51042         0.02200 169181196.51042
1.2         0.02400 613537475.01667         0.02400 166997974.94260         0.02400 166997974.94260
1.3         0.02600 601414303.49258         0.02600 163698184.50299         0.02600 163698184.50299
1.4         0.02800 586042332.12229         0.02800 159514107.41846         0.02800 159514107.41846
1.5         0.03000 568149675.70425         0.03000 154643928.31804         0.03000 154643928.31804
1.6         0.03200 548355291.33035         0.03200 149256120.33518         0.03200 149256120.33518
1.7         0.03400 527183160.09707         0.03400 143493305.20953         0.03400 143493305.20953
1.8         0.03600 505074758.20334         0.03600 137475647.77896         0.03600 137475647.77896
1.9         0.03800 482400014.57940         0.03800 131303838.52242         0.03800 131303838.52242
2.0         0.04000 459466930.16056         0.04000 125061711.81772         0.04000 125061711.81772
2.1         0.04200 436530014.29736         0.04200 118818542.23712         0.04200 118818542.23712
2.2         0.04400 404713391.93627         0.04400 110158416.78403         0.04400 110158416.78403
2.3         0.04600 364173682.99675         0.04600  99123965.63257         0.04600  99123965.63257
2.4         0.04800 327075332.61850         0.04800  89026213.43461         0.04800  89026213.43461
2.5         0.05000 293246195.49648         0.05000  79818304.18134         0.05000  79818304.18134
2.6         0.05200 262495313.10093         0.05200  71448261.11655         0.05200  71448261.11655
2.7         0.05400 234621494.75094         0.05400  63861322.40797         0.05400  63861322.40797
2.8         0.05600 209419873.15708         0.05600  57001725.49202         0.05600  57001725.49202
2.9         0.05800 186686832.22138         0.05800  50814048.36530         0.05800  50814048.36530
3.0         0.06000 166223633.36531         0.06000  45244196.63013         0.06000  45244196.63013
3.1         0.06200 147839007.34480         0.06200  40240108.95738         0.06200  40240108.95738
3.2         0.06400 131350929.39193         0.06400  35752240.25995         0.06400  35752240.25995
3.3         0.06600 116587754.90843         0.06600  31733870.81577         0.06600  31733870.81577
3.4         0.06800 103388859.40934         0.06800  28141280.45319         0.06800  28141280.45319
3.5         0.07000  91604898.78967         0.07000  24933819.39266         0.07000  24933819.39266
3.6         0.07200  81097783.26982         0.07200  22073901.15498         0.07200  22073901.15498
3.7         0.07400  71740439.73435         0.07400  19526937.87254         0.07400  19526937.87254
3.8         0.07600  63416421.92002         0.07600  17261234.18698         0.07600  17261234.18698
3.9         0.07800  56019415.45087         0.07800  15247852.52524         0.07800  15247852.52524
4.0         0.08000  49452674.57767         0.08000  13460459.78649         0.08000  13460459.78649
4.1         0.08200  43628419.25117         0.08200  11875163.23220         0.08200  11875163.23220
4.2         0.08400  38467214.50801         0.08400  10470341.56202         0.08400  10470341.56202
4.3         0.08600  33897348.79499         0.08600   9226475.70066         0.08600   9226475.70066
4.4         0.08800  29854223.56862         0.08800   8125982.65380         0.08800   8125982.65380
4.5         0.09000  26279763.09084         0.09000   7153054.86111         0.09000   7153054.86111
4.6         0.09200  23121850.63775         0.09200   6293506.73865         0.09200   6293506.73865
4.7         0.09400  20333795.21435         0.09400   5534629.52463         0.09400   5534629.52463
4.8         0.09600  17873831.21565         0.09600   4865055.09284         0.09600   4865055.09284
4.9         0.09800  15704652.20276         0.09800   4274629.05174         0.09800   4274629.05174
5.0         0.10000  13792978.99786         0.10000   3754293.18479         0.10000   3754293.18479
5.1         0.10200  12109161.58296         0.10200   3295977.09179         0.10200   3295977.09179
5.2         0.10400  10626813.76546         0.10400   2892498.74896         0.10400   2892498.74896
5.3         0.10600   9322479.20599         0.10600   2537473.60551         0.10600   2537473.60551
5.4         0.10800   8175327.16006         0.10800   2225231.76793         0.10800   2225231.76793
5.5         0.11000   7166876.13537         0.11000   1950742.78265         0.11000   1950742.78265
5.6         0.11200   6280743.59132         0.11200   1709547.50703         0.11200   1709547.50703
5.7         0.11400   5502419.78741         0.11400   1497696.55351         0.11400   1497696.55351
5.8         0.11600   4819063.90945         0.11600   1311694.79741         0.11600   1311694.79741
5.9         0.11800   4219320.65518         0.11800   1148451.45364         0.11800   1148451.45364
6.0         0.12000   3693155.53526         0.12000   1005235.24748         0.12000   1005235.24748
6.1         0.12200   3231707.23450         0.12200    879634.22895         0.12200    879634.22895
6.2         0.12400   2827155.47607         0.12400    769519.80698         0.12400    769519.80698
6.3         0.12600   2472602.93448         0.12600    673014.60744         0.12600    673014.60744
6.4         0.12800   2161969.84710         0.12800    588463.78755         0.12800    588463.78755
6.5         0.13000   1889900.07800         0.13000    514409.46759         0.13000    514409.46759
6.6         0.13200   1651677.48827         0.13200    449567.96778         0.13200    449567.96778
6.7         0.13400   1443151.56422         0.13400    392809.56514         0.13400    392809.56514
6.8         0.13600   1260671.34703         0.13600    343140.50990         0.13600    343140.50990
6.9         0.13800   1101026.79410         0.13800    299687.06470         0.13800    299687.06470
7.0         0.14000    961396.78371         0.14000    261681.35205         0.14000    261681.35205
7.1         0.14200    839303.04996         0.14200    228448.81595         0.14200    228448.81595
7.2         0.14400    732569.40481         0.14400    199397.12257         0.14400    199397.12257
7.3         0.14600    639285.66792         0.14600    174006.34240         0.14600    174006.34240
7.4         0.14800    557775.78419         0.14800    151820.27215         0.14800    151820.27215
7.5         0.15000    486569.66200         0.15000    132438.76948         0.15000    132438.76948
7.6         0.15200    424378.31436         0.15200    115510.98669         0.15200    115510.98669
7.7         0.15400    370071.92914         0.15400    100729.40165         0.15400    100729.40165
7.8         0.15600    322660.53479         0.15600     87824.55530         0.15600     87824.55530
7.9         0.15800    281276.96387         0.15800     76560.41444         0.15800     76560.41444
8.0         0.16000    245161.84950         0.16000     66730.28799         0.16000     66730.28799
8.1         0.16200    213650.41887         0.16200     58153.23228         0.16200     58153.23228
8.2         0.16400    186160.87426         0.16400     50670.88854         0.16400     50670.88854
8.3         0.16600    162184.17558         0.16600     44144.70182         0.16600     44144.70182
8.4         0.16800    141275.05952         0.16800     38453.47646         0.16800     38453.47646
8.5         0.17000    123044.14882         0.17000     33491.22836         0.17000     33491.22836
8.6         0.17200    107151.02246         0.17200     29165.29877         0.17200     29165.29877
8.7         0.17400     93298.13204         0.17400     25394.69837         0.17400     25394.69837
8.8         0.17600     81225.46306         0.17600     22108.65415         0.17600     22108.65415
8.9         0.17800     70705.85171         0.17800     19245.33469         0.17800     19245.33469
9.0         0.18000     61540.87808         0.18000     16750.73233         0.18000     16750.73233
9.1         0.18200     53557.26603         0.18200     14577.68325         0.18200     14577.68325
9.2         0.18400     46603.72833         0.18400     12685.00878         0.18400     12685.00878
9.3         0.18600     40548.20289         0.18600     11036.76311         0.18600     11036.76311
9.4         0.18800     35275.43221         0.18800      9601.57445         0.18800      9601.57445
9.5         0.19000     30684.84423         0.19000      8352.06822         0.19000      8352.06822
9.6         0.19200     26688.69745         0.19200      7264.36218         0.19200      7264.36218
9.7         0.19400     23210.45785         0.19400      6317.62462         0.19400      6317.62462
9.8         0.19600     20183.37906         0.19600      5493.68794         0.19600      5493.68794
9.9         0.19800     17549.26060         0.19800      4776.71064         0.19800      4776.71064
10.0         0.20000     15257.36220         0.20000      4152.88176         0.20000      4152.88176
