 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0001        21.00021         -0.0000
0.2          0.0002        42.00042         -0.0001
0.3          0.0003        63.00063         -0.0001
0.4          0.0004        84.00084         -0.0001
0.5          0.0005       105.00105         -0.0002
0.6          0.0006       126.00126         -0.0002
0.7          0.0007       127.40988         -0.0002
0.8          0.0008       113.40256         -0.0003
0.9          0.0009        99.35817         -0.0003
1.0          0.0010        85.97849         -0.0003
1.1          0.0011        73.65664         -0.0004
1.2          0.0012        62.57930         -0.0004
1.3          0.0013        52.79881         -0.0004
1.4          0.0014        44.28346         -0.0005
1.5          0.0015        36.95212         -0.0005
1.6          0.0016        30.69764         -0.0005
1.7          0.0017        25.40235         -0.0006
1.8          0.0018        20.94793         -0.0006
1.9          0.0019        17.22149         -0.0006
2.0          0.0020        14.11894         -0.0007
2.1          0.0021        11.54661         -0.0007
2.2          0.0022         9.42175         -0.0007
2.3          0.0023         7.67226         -0.0008
2.4          0.0024         6.23607         -0.0008
2.5          0.0025         5.06018         -0.0008
2.6          0.0026         4.09971         -0.0009
2.7          0.0027         3.31692         -0.0009
2.8          0.0028         2.68019         -0.0009
2.9          0.0029         2.16323         -0.0010
3.0          0.0030         1.74421         -0.0010
3.1          0.0031         1.40511         -0.0010
3.2          0.0032         1.13109         -0.0011
3.3          0.0033         0.90996         -0.0011
3.4          0.0034         0.73173         -0.0011
3.5          0.0035         0.58826         -0.0012
3.6          0.0036         0.47290         -0.0012
3.7          0.0037         0.38024         -0.0012
3.8          0.0038         0.30590         -0.0013
3.9          0.0039         0.24632         -0.0013
4.0          0.0040         0.19861         -0.0013
4.1          0.0041         0.16045         -0.0014
4.2          0.0042         0.12996         -0.0014
4.3          0.0043         0.10562         -0.0014
4.4          0.0044         0.08621         -0.0015
4.5          0.0045         0.07076         -0.0015
4.6          0.0046         0.05847         -0.0015
4.7          0.0047         0.04871         -0.0016
4.8          0.0048         0.04097         -0.0016
4.9          0.0049         0.03485         -0.0016
5.0          0.0050         0.03002         -0.0017
5.1          0.0051         0.02621         -0.0017
5.2          0.0052         0.02323         -0.0017
5.3          0.0053         0.02090         -0.0017
5.4          0.0054         0.01909         -0.0018
5.5          0.0055         0.01770         -0.0018
5.6          0.0056         0.01664         -0.0018
5.7          0.0057         0.01584         -0.0019
5.8          0.0058         0.01524         -0.0019
5.9          0.0059         0.01482         -0.0019
6.0          0.0060         0.01452         -0.0020
6.1          0.0061         0.01433         -0.0020
6.2          0.0062         0.01422         -0.0020
6.3          0.0063         0.01418         -0.0021
6.4          0.0064         0.01419         -0.0021
6.5          0.0065         0.01425         -0.0021
6.6          0.0066         0.01433         -0.0022
6.7          0.0067         0.01444         -0.0022
6.8          0.0068         0.01457         -0.0022
6.9          0.0069         0.01472         -0.0023
7.0          0.0070         0.01488         -0.0023
7.1          0.0071         0.01506         -0.0023
7.2          0.0072         0.01523         -0.0024
7.3          0.0073         0.01542         -0.0024
7.4          0.0074         0.01561         -0.0024
7.5          0.0075         0.01581         -0.0025
7.6          0.0076         0.01600         -0.0025
7.7          0.0077         0.01621         -0.0025
7.8          0.0078         0.01641         -0.0026
7.9          0.0079         0.01661         -0.0026
8.0          0.0080         0.01682         -0.0026
8.1          0.0081         0.01702         -0.0027
8.2          0.0082         0.01723         -0.0027
8.3          0.0083         0.01744         -0.0027
8.4          0.0084         0.01765         -0.0028
8.5          0.0085         0.01786         -0.0028
8.6          0.0086         0.01806         -0.0028
8.7          0.0087         0.01827         -0.0029
8.8          0.0088         0.01848         -0.0029
8.9          0.0089         0.01869         -0.0029
9.0          0.0090         0.01890         -0.0030
9.1          0.0091         0.01911         -0.0030
9.2          0.0092         0.01932         -0.0030
9.3          0.0093         0.01953         -0.0031
9.4          0.0094         0.01974         -0.0031
9.5          0.0095         0.01995         -0.0031
9.6          0.0096         0.02016         -0.0032
9.7          0.0097         0.02037         -0.0032
9.8          0.0098         0.02058         -0.0032
9.9          0.0099         0.02079         -0.0033
10.0          0.0100         0.02100         -0.0033
