 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0040 220002200.00000         -0.0013
0.2          0.0080 440004400.00000         -0.0026
0.3          0.0120 660006600.00000         -0.0040
0.4          0.0160 880008800.00000         -0.0053
0.5          0.0200 1100011000.00000         -0.0066
0.6          0.0240 1320013200.00000         -0.0079
0.7          0.0280 1540015400.00000         -0.0092
0.8          0.0320 1760017600.00000         -0.0106
0.9          0.0360 1980019800.00000         -0.0119
1.0          0.0400 2200022000.00000         -0.0132
1.1          0.0440 2420024200.00000         -0.0145
1.2          0.0480 2403895094.59186         -0.0158
1.3          0.0520 2279906988.80561         -0.0172
1.4          0.0560 2149519662.39500         -0.0185
1.5          0.0600 2016249926.68223         -0.0198
1.6          0.0640 1882837906.59106         -0.0211
1.7          0.0680 1751385947.75766         -0.0224
1.8          0.0720 1623474971.65824         -0.0238
1.9          0.0760 1500261741.46927         -0.0251
2.0          0.0800 1382559988.67559         -0.0264
2.1          0.0840 1270907911.73611         -0.0277
2.2          0.0880 1165624182.92840         -0.0290
2.3          0.0920 1066854278.80486         -0.0304
2.4          0.0960 974608675.74978         -0.0317
2.5          0.1000 888794218.25877         -0.0330
2.6          0.1040 809239768.03654         -0.0343
2.7          0.1080 735717071.89965         -0.0356
2.8          0.1120 667957641.54534         -0.0370
2.9          0.1160 605666314.87095         -0.0383
3.0          0.1200 548532063.58221         -0.0396
3.1          0.1240 496236522.63495         -0.0409
3.2          0.1280 448460641.31826         -0.0422
3.3          0.1320 404889791.53875         -0.0436
3.4          0.1360 365217614.41943         -0.0449
3.5          0.1400 329148840.23676         -0.0462
3.6          0.1440 296401277.74966         -0.0475
3.7          0.1480 266707136.06571         -0.0488
3.8          0.1520 239813814.43694         -0.0502
3.9          0.1560 215484272.00706         -0.0515
4.0          0.1600 193497069.88282         -0.0528
4.1          0.1640 173646161.40913         -0.0541
4.2          0.1680 155740492.71036         -0.0554
4.3          0.1720 139603464.00745         -0.0568
4.4          0.1760 125072292.58242         -0.0581
4.5          0.1800 111997310.24149         -0.0594
4.6          0.1840 100241221.47088         -0.0607
4.7          0.1880  89678342.97123         -0.0620
4.8          0.1920  80193840.71381         -0.0634
4.9          0.1960  71682976.92988         -0.0647
5.0          0.2000  64050376.39145         -0.0660
5.1          0.2040  57209318.85715         -0.0673
5.2          0.2080  51081062.54529         -0.0686
5.3          0.2120  45594201.87968         -0.0700
5.4          0.2160  40684061.46411         -0.0713
5.5          0.2200  36292127.22269         -0.0726
5.6          0.2240  32365514.84798         -0.0739
5.7          0.2280  28856475.08708         -0.0752
5.8          0.2320  25721934.93429         -0.0766
5.9          0.2360  22923073.45952         -0.0779
6.0          0.2400  20424930.76139         -0.0792
6.1          0.2440  18196048.37315         -0.0805
6.2          0.2480  16208139.35210         -0.0818
6.3          0.2520  14435786.23631         -0.0832
6.4          0.2560  12856165.04408         -0.0845
6.5          0.2600  11448793.51435         -0.0858
6.6          0.2640  10195301.83056         -0.0871
6.7          0.2680   9079224.13275         -0.0884
6.8          0.2720   8085809.19584         -0.0898
6.9          0.2760   7201848.73396         -0.0911
7.0          0.2800   6415521.87677         -0.0924
7.1          0.2840   5716254.45268         -0.0937
7.2          0.2880   5094591.80303         -0.0950
7.3          0.2920   4542083.93945         -0.0964
7.4          0.2960   4051181.94255         -0.0977
7.5          0.3000   3615144.58327         -0.0990
7.6          0.3040   3227954.22732         -0.1003
7.7          0.3080   2884241.15893         -0.1016
7.8          0.3120   2579215.53105         -0.1030
7.9          0.3160   2308606.21614         -0.1043
8.0          0.3200   2068605.89433         -0.1056
8.1          0.3240   1855821.77353         -0.1069
8.2          0.3280   1667231.39061         -0.1082
8.3          0.3320   1500142.99229         -0.1096
8.4          0.3360   1352160.04044         -0.1109
8.5          0.3400   1221149.42920         -0.1122
8.6          0.3440   1105213.03970         -0.1135
8.7          0.3480   1002662.29413         -0.1148
8.8          0.3520    911995.40319         -0.1162
8.9          0.3560    831877.03075         -0.1175
9.0          0.3600    761120.12661         -0.1188
9.1          0.3640    698669.70255         -0.1201
9.2          0.3680    643588.34960         -0.1214
9.3          0.3720    595043.31432         -0.1228
9.4          0.3760    552294.97055         -0.1241
9.5          0.3800    514686.53926         -0.1254
9.6          0.3840    481634.92471         -0.1267
9.7          0.3880    452622.54811         -0.1280
9.8          0.3920    427190.07249         -0.1294
9.9          0.3960    404929.92355         -0.1307
10.0          0.4000    385480.52097         -0.1320
