 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 118500150.53150         0.00200  25754698.58030        -0.00144
0.2         0.00400 237000301.06299         0.00400  51509397.16059        -0.00289
0.3         0.00600 355500451.59449         0.00600  77264095.74089        -0.00433
0.4         0.00800 474000602.12599         0.00800 103018794.32118        -0.00577
0.5         0.01000 592500752.65749         0.01000 128773492.90148        -0.00721
0.6         0.01200 711000903.18898         0.01200 154528191.48177        -0.00866
0.7         0.01400 829501053.72048         0.01400 180282890.06207        -0.01010
0.8         0.01600 948001204.25198         0.01600 206037588.64236        -0.01154
0.9         0.01800 1066501354.78348         0.01800 231792287.22266        -0.01299
1.0         0.02000 1185001505.31498         0.02000 257546985.80295        -0.01443
1.1         0.02200 1303501655.84647         0.02200 283301684.38325        -0.01587
1.2         0.02400 1422001806.37797         0.02400 309056382.96354        -0.01732
1.3         0.02600 1540501956.90947         0.02600 334811081.54384        -0.01876
1.4         0.02800 1659002107.44096         0.02800 360565780.12414        -0.02020
1.5         0.03000 1777502257.97246         0.03000 386320478.70443        -0.02164
1.6         0.03200 1896002408.50396         0.03200 412075177.28473        -0.02309
1.7         0.03400 2014502559.03546         0.03400 437829875.86502        -0.02453
1.8         0.03600 2133002709.56696         0.03600 463584574.44532        -0.02597
1.9         0.03800 2251502860.09845         0.03800 489339273.02561        -0.02742
2.0         0.04000 2370003010.62995         0.04000 515093971.60591        -0.02886
2.1         0.04200 2488503161.16145         0.04200 540848670.18620        -0.03030
2.2         0.04400 2385503716.42204         0.04400 518462878.76481        -0.03175
2.3         0.04600 2041866797.13112         0.04600 443777190.70700        -0.03319
2.4         0.04800 1744428606.20899         0.04800 379132285.87685        -0.03463
2.5         0.05000 1487731772.60900         0.05000 323342064.96800        -0.03607
2.6         0.05200 1266779409.60560         0.05200 275320509.85408        -0.03752
2.7         0.05400 1077047492.74631         0.05400 234084373.79977        -0.03896
2.8         0.05600 914477619.47720         0.05600 198751607.84543        -0.04040
2.9         0.05800 775456856.11894         0.05800 168536980.76998        -0.04185
3.0         0.06000 656789591.43418         0.06000 142745961.77468        -0.04329
3.1         0.06200 555664956.90329         0.06200 120767639.64003        -0.04473
3.2         0.06400 469622345.79833         0.06400 102067228.67742        -0.04617
3.3         0.06600 396516790.83592         0.06600  86178543.94447        -0.04762
3.4         0.06800 334485384.67273         0.06800  72696703.11069        -0.04906
3.5         0.07000 281915502.81267         0.07000  61271220.05742        -0.05050
3.6         0.07200 237415278.85567         0.07200  51599587.99933        -0.05195
3.7         0.07400 199786559.67629         0.07400  43421401.59130        -0.05339
3.8         0.07600 168000411.60261         0.07600  36513033.46691        -0.05483
3.9         0.07800 141175141.41258         0.07800  30682857.34494        -0.05628
4.0         0.08000 118556725.26126         0.08000  25766994.47280        -0.05772
4.1         0.08200  99501494.76898         0.08200  21625550.63913        -0.05916
4.2         0.08400  83460905.03978         0.08400  18139305.67090        -0.06060
4.3         0.08600  69968198.74001         0.08600  15206815.01815        -0.06205
4.4         0.08800  58626779.34302         0.08800  12741882.80724        -0.06349
