 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0020 110000000.00000         -0.0007
0.2          0.0040 220000000.00000         -0.0013
0.3          0.0060 330000000.00000         -0.0020
0.4          0.0080 440000000.00000         -0.0026
0.5          0.0100 550000000.00000         -0.0033
0.6          0.0120 660000000.00000         -0.0040
0.7          0.0140 770000000.00000         -0.0046
0.8          0.0160 880000000.00000         -0.0053
0.9          0.0180 990000000.00000         -0.0059
1.0          0.0200 1100000000.00000         -0.0066
1.1          0.0220 1210000000.00000         -0.0073
1.2          0.0240 1320000000.00000         -0.0079
1.3          0.0260 1430000000.00000         -0.0086
1.4          0.0280 1540000000.00000         -0.0092
1.5          0.0300 1650000000.00000         -0.0099
1.6          0.0320 1760000000.00000         -0.0106
1.7          0.0340 1870000000.00000         -0.0112
1.8          0.0360 1980000000.00000         -0.0119
1.9          0.0380 2090000000.00000         -0.0125
2.0          0.0400 2200000000.00000         -0.0132
2.1          0.0420 2310000000.00000         -0.0139
2.2          0.0440 2323512047.23482         -0.0145
2.3          0.0460 2235649113.62745         -0.0152
2.4          0.0480 2147042323.31340         -0.0158
2.5          0.0500 2058367568.11631         -0.0165
2.6          0.0520 1970197790.82520         -0.0172
2.7          0.0540 1883015096.92255         -0.0178
2.8          0.0560 1797221590.04421         -0.0185
2.9          0.0580 1713149057.64189         -0.0191
3.0          0.0600 1631067621.26875         -0.0198
3.1          0.0620 1551193454.97590         -0.0205
3.2          0.0640 1473695665.39088         -0.0211
3.3          0.0660 1398702418.05507         -0.0218
3.4          0.0680 1326306386.44250         -0.0224
3.5          0.0700 1256569592.69031         -0.0231
3.6          0.0720 1189527702.37144         -0.0238
3.7          0.0740 1125193829.57011         -0.0244
3.8          0.0760 1063561903.02201         -0.0251
3.9          0.0780 1004609639.10135         -0.0257
4.0          0.0800 948301162.92853         -0.0264
4.1          0.0820 894589314.79174         -0.0271
4.2          0.0840 843417675.38285         -0.0277
4.3          0.0860 794722340.00825         -0.0284
4.4          0.0880 748433468.91428         -0.0290
4.5          0.0900 704476638.13623         -0.0297
4.6          0.0920 662774012.81175         -0.0304
4.7          0.0940 623245362.67026         -0.0310
4.8          0.0960 585808937.39561         -0.0317
4.9          0.0980 550382217.74185         -0.0323
5.0          0.1000 516882556.64109         -0.0330
5.1          0.1020 485227723.06235         -0.0337
5.2          0.1040 455336360.04586         -0.0343
5.3          0.1060 427128367.13423         -0.0350
5.4          0.1080 400525216.33814         -0.0356
5.5          0.1100 375450209.79827         -0.0363
5.6          0.1120 351828686.42664         -0.0370
5.7          0.1140 329588184.02017         -0.0376
5.8          0.1160 308658562.62883         -0.0383
5.9          0.1180 288972094.32191         -0.0389
6.0          0.1200 270463523.92248         -0.0396
6.1          0.1220 253070104.76530         -0.0403
6.2          0.1240 236731613.07160         -0.0409
6.3          0.1260 221390344.12007         -0.0416
6.4          0.1280 206991093.02284         -0.0422
6.5          0.1300 193481122.58305         -0.0429
6.6          0.1320 180810120.41374         -0.0436
6.7          0.1340 168930147.23288         -0.0442
6.8          0.1360 157795578.01190         -0.0449
6.9          0.1380 147363037.44437         -0.0455
7.0          0.1400 137591331.01280         -0.0462
7.1          0.1420 128441372.76439         -0.0469
7.2          0.1440 119876110.75697         -0.0475
7.3          0.1460 111860451.00474         -0.0482
7.4          0.1480 104361180.63558         -0.0488
7.5          0.1500  97346890.86811         -0.0495
7.6          0.1520  90787900.32463         -0.0502
7.7          0.1540  84656179.11507         -0.0508
7.8          0.1560  78925274.05572         -0.0515
7.9          0.1580  73570235.32341         -0.0521
8.0          0.1600  68567544.79104         -0.0528
8.1          0.1620  63895046.24189         -0.0535
8.2          0.1640  59531877.61794         -0.0541
8.3          0.1660  55458405.42113         -0.0548
8.4          0.1680  51656161.35417         -0.0554
8.5          0.1700  48107781.26048         -0.0561
8.6          0.1720  44796946.39887         -0.0568
8.7          0.1740  41708327.06841         -0.0574
8.8          0.1760  38827528.58175         -0.0581
8.9          0.1780  36141039.57023         -0.0587
9.0          0.1800  33636182.59232         -0.0594
9.1          0.1820  31301067.00625         -0.0601
9.2          0.1840  29124544.05950         -0.0607
9.3          0.1860  27096164.14109         -0.0614
9.4          0.1880  25206136.13695         -0.0620
9.5          0.1900  23445288.82457         -0.0627
9.6          0.1920  21805034.23994         -0.0634
9.7          0.1940  20277332.94746         -0.0640
9.8          0.1960  18854661.14221         -0.0647
9.9          0.1980  17529979.51281         -0.0653
10.0          0.2000  16296703.79329         -0.0660
