 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}      Sigma_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 134089558.33502         0.00200  36497664.14397         0.00200  36497664.14397
0.2         0.00400 268179116.67004         0.00400  72995328.28793         0.00400  72995328.28793
0.3         0.00600 402268675.00506         0.00600 109492992.43190         0.00600 109492992.43190
0.4         0.00800 536358233.34007         0.00800 145990656.57587         0.00800 145990656.57587
0.5         0.01000 670447791.67509         0.01000 182488320.71984         0.01000 182488320.71984
0.6         0.01200 804537350.01011         0.01200 218985984.86380         0.01200 218985984.86380
0.7         0.01400 938626908.34513         0.01400 255483649.00777         0.01400 255483649.00777
0.8         0.01600 1072716466.68015         0.01600 291981313.15174         0.01600 291981313.15174
0.9         0.01800 1206806025.01517         0.01800 328478977.29570         0.01800 328478977.29570
1.0         0.02000 1340895583.35018         0.02000 364976641.43967         0.02000 364976641.43967
1.1         0.02200 1474985141.68520         0.02200 401474305.58364         0.02200 401474305.58364
1.2         0.02400 1609074700.02022         0.02400 437971969.72761         0.02400 437971969.72761
1.3         0.02600 1743164258.35524         0.02600 474469633.87157         0.02600 474469633.87157
1.4         0.02800 1877253816.69026         0.02800 510967298.01554         0.02800 510967298.01554
1.5         0.03000 2011343375.02528         0.03000 547464962.15951         0.03000 547464962.15951
1.6         0.03200 2145432933.36029         0.03200 583962626.30348         0.03200 583962626.30347
1.7         0.03400 2279522491.69531         0.03400 620460290.44744         0.03400 620460290.44744
1.8         0.03600 2413612050.03033         0.03600 656957954.59141         0.03600 656957954.59141
1.9         0.03800 2547701608.36535         0.03800 693455618.73538         0.03800 693455618.73538
2.0         0.04000 2681791166.70037         0.04000 729953282.87934         0.04000 729953282.87934
2.1         0.04200 2815880725.03539         0.04200 766450947.02331         0.04200 766450947.02331
2.2         0.04400 2699331083.60528         0.04400 734727450.26611         0.04400 734727450.26611
2.3         0.04600 2310486659.95978         0.04600 628888387.51813         0.04600 628888387.51813
2.4         0.04800 1973918685.37215         0.04800 537278384.09473         0.04800 537278384.09473
2.5         0.05000 1683451838.79822         0.05000 458216587.31615         0.05000 458216587.31615
2.6         0.05200 1433431862.99802         0.05200 390163972.18828         0.05200 390163972.18828
2.7         0.05400 1218739570.88185         0.05400 331727153.77191         0.05400 331727153.77191
2.8         0.05600 1034782652.62088         0.05600 281656157.17072         0.05600 281656157.17072
2.9         0.05800 877472871.37169         0.05800 238838210.46491         0.05800 238838210.46491
3.0         0.06000 743194214.01104         0.06000 202289075.70076         0.06000 202289075.70076
3.1         0.06200 628766025.35290         0.06200 171143014.44063         0.06200 171143014.44063
3.2         0.06400 531403991.04907         0.06400 144642167.74892         0.06400 144642167.74892
3.3         0.06600 448680960.46405         0.06600 122125892.62092         0.06600 122125892.62092
3.4         0.06800 378488949.58461         0.06800 103020419.60365         0.06800 103020419.60365
3.5         0.07000 319003183.45923         0.07000  86829065.55380         0.07000  86829065.55380
3.6         0.07200 268648687.28820         0.07200  73123140.10957         0.07200  73123140.10957
3.7         0.07400 226069683.69333         0.07400  61533615.97297         0.07400  61533615.97297
3.8         0.07600 190101876.58713         0.07600  51743584.89182         0.07600  51743584.89182
3.9         0.07800 159747580.69919         0.07800  43481488.19764         0.07800  43481488.19764
4.0         0.08000 134153575.81089         0.08000  36515088.97825         0.08000  36515088.97825
4.1         0.08200 112591515.09433         0.08200  30646139.44888         0.08200  30646139.44888
4.2         0.08400  94440689.27196         0.08400  25705689.55087         0.08400  25705689.55087
4.3         0.08600  79172936.27447         0.08600  21549979.53098         0.08600  21549979.53098
4.4         0.08800  66339484.91585         0.08800  18056858.93821         0.08800  18056858.93821
4.5         0.09000  55559527.27654         0.09000  15122676.15552         0.09000  15122676.15552
4.6         0.09200  46510325.36914         0.09200  12659585.54586         0.09200  12659585.54586
4.7         0.09400  38918671.34479         0.09400  10593223.01683         0.09400  10593223.01683
4.8         0.09600  32553535.61046         0.09600   8860704.92111         0.09600   8860704.92111
4.9         0.09800  27219752.79855         0.09800   7408909.44872         0.09800   7408909.44872
5.0         0.10000  22752610.89975         0.10000   6193003.85003         0.10000   6193003.85003
5.1         0.10200  19013223.59737         0.10200   5175184.83741         0.10200   5175184.83741
5.2         0.10400  15884579.65580         0.10400   4323603.27340         0.10400   4323603.27340
5.3         0.10600  13268175.96313         0.10600   3611447.72284         0.10600   3611447.72284
5.4         0.10800  11081152.44218         0.10800   3016164.60808         0.10800   3016164.60808
5.5         0.11000   9253857.51671         0.11000   2518795.55630         0.11000   2518795.55630
5.6         0.11200   7727782.18255         0.11200   2103415.07705         0.11200   2103415.07705
5.7         0.11400   6453809.04534         0.11400   1756653.97001         0.11400   1756653.97001
5.8         0.11600   5390730.02098         0.11600   1467295.85987         0.11600   1467295.85987
5.9         0.11800   4503992.83199         0.11800   1225936.00673         0.11800   1225936.00673
6.0         0.12000   3764642.05893         0.12000   1024693.07227         0.12000   1024693.07227
6.1         0.12200   3148425.40126         0.12200    856965.85405         0.12200    856965.85405
6.2         0.12400   2635040.04855         0.12400    717228.15626         0.12400    717228.15626
6.3         0.12600   2207497.73343         0.12600    600855.96428         0.12600    600855.96428
6.4         0.12800   1851590.20285         0.12800    503981.95203         0.12800    503981.95203
6.5         0.13000   1555439.56557         0.13000    423373.09158         0.13000    423373.09158
6.6         0.13200   1309120.30871         0.13200    356327.77037         0.13200    356327.77037
6.7         0.13400   1104341.77562         0.13400    300589.36525         0.13400    300589.36525
6.8         0.13600    934181.60543         0.13600    254273.68773         0.13600    254273.68773
6.9         0.13800    792862.09201         0.13800    215808.11143         0.13800    215808.11143
7.0         0.14000    675562.66128         0.14000    183880.53049         0.14000    183880.53049
7.1         0.14200    578262.72093         0.14200    157396.58507         0.14200    157396.58507
7.2         0.14400    497610.03328         0.14400    135443.83392         0.14400    135443.83392
7.3         0.14600    430810.52183         0.14600    117261.76095         0.14600    117261.76095
7.4         0.14800    375536.06592         0.14800    102216.67800         0.14800    102216.67800
7.5         0.15000    329847.38311         0.15000     89780.73429         0.15000     89780.73429
7.6         0.15200    292129.55901         0.15200     79514.36834         0.15200     79514.36834
7.7         0.15400    261038.17335         0.15400     71051.64412         0.15400     71051.64412
7.8         0.15600    235454.29916         0.15600     64088.00237         0.15600     64088.00237
7.9         0.15800    214446.92850         0.15800     58370.03321         0.15800     58370.03321
8.0         0.16000    197241.61086         0.16000     53686.93997         0.16000     53686.93997
8.1         0.16200    183194.28662         0.16200     49863.41688         0.16200     49863.41688
8.2         0.16400    171769.46265         0.16400     46753.70876         0.16400     46753.70876
8.3         0.16600    162522.01565         0.16600     44236.65807         0.16600     44236.65807
8.4         0.16800    155082.02511         0.16800     42211.57663         0.16800     42211.57663
8.5         0.17000    149142.13553         0.17000     40594.80574         0.17000     40594.80574
8.6         0.17200    144447.02923         0.17200     39316.85080         0.17200     39316.85080
8.7         0.17400    140784.65987         0.17400     38319.99521         0.17400     38319.99521
8.8         0.17600    137978.95434         0.17600     37556.31383         0.17600     37556.31383
8.9         0.17800    135883.73855         0.17800     36986.01974         0.17800     36986.01974
9.0         0.18000    134377.68344         0.18000     36576.08855         0.18000     36576.08855
9.1         0.18200    133360.10075         0.18200     36299.11402         0.18200     36299.11402
9.2         0.18400    132747.44663         0.18400     36132.35649         0.18400     36132.35649
9.3         0.18600    132470.41459         0.18600     36056.95149         0.18600     36056.95149
9.4         0.18800    132471.51906         0.18800     36057.25212         0.18800     36057.25212
9.5         0.19000    132703.08715         0.19000     36120.28234         0.19000     36120.28234
9.6         0.19200    133125.59007         0.19200     36235.28286         0.19200     36235.28286
9.7         0.19400    133706.25702         0.19400     36393.33385         0.19400     36393.33385
9.8         0.19600    134417.92406         0.19600     36587.04159         0.19600     36587.04159
9.9         0.19800    135238.07818         0.19800     36810.27828         0.19800     36810.27828
10.0         0.20000    136148.06373         0.20000     37057.96608         0.20000     37057.96608
