 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 118498965.54184         0.00200  25754441.03588        -0.00144
0.2         0.00400 236997931.08368         0.00400  51508882.07177        -0.00289
0.3         0.00600 354891633.70521         0.00600  73047708.05756        -0.00427
0.4         0.00800 471981588.77586         0.00800  89276776.98950        -0.00559
0.5         0.01000 588541513.98670         0.01000 102341673.66559        -0.00685
0.6         0.01200 704611260.95796         0.01200 112681733.42392        -0.00807
0.7         0.01400 820228054.84959         0.01400 120681487.91310        -0.00925
0.8         0.01600 935426655.75937         0.01600 126677139.43875        -0.01039
0.9         0.01800 1050239510.62531         0.01800 130962296.81386        -0.01149
1.0         0.02000 1164696896.17460         0.02000 133793054.83310        -0.01256
1.1         0.02200 1278827053.43122         0.02200 135392490.53616        -0.01360
1.2         0.02400 1392656314.26548         0.02400 135954641.43163        -0.01461
1.3         0.02600 1506209220.44182         0.02600 135648023.71958        -0.01560
1.4         0.02800 1619508635.59565         0.02800 134618742.18511        -0.01656
1.5         0.03000 1732575850.54571         0.03000 132993237.75616        -0.01751
1.6         0.03200 1845430682.32564         0.03200 130880713.65377        -0.01843
1.7         0.03400 1958091567.29705         0.03400 128375276.54544        -0.01934
1.8         0.03600 2070575648.68565         0.03600 125557825.08477        -0.02022
1.9         0.03800 2182898858.86305         0.03800 122497714.63037        -0.02110
2.0         0.04000 2295075996.67851         0.04000 119254223.73727        -0.02196
2.1         0.04200 2407120800.12780         0.04200 115877845.16306        -0.02281
2.2         0.04400 2410787145.71325         0.04400 111255503.24510        -0.02323
2.3         0.04600 2280523617.10516         0.04600 105243966.94852        -0.02310
2.4         0.04800 2153220627.62240         0.04800  99369056.67919        -0.02293
2.5         0.05000 2029494367.87460         0.05000  93659209.03986        -0.02272
2.6         0.05200 1909816941.49602         0.05200  88136211.15824        -0.02248
2.7         0.05400 1794538208.35169         0.05400  82816208.72989        -0.02221
2.8         0.05600 1683904775.27152         0.05600  77710582.42233        -0.02190
2.9         0.05800 1578076479.39922         0.05800  72826708.56571        -0.02158
3.0         0.06000 1477140669.39607         0.06000  68168618.21654        -0.02124
3.1         0.06200 1381124554.35132         0.06200  63737567.04807        -0.02087
3.2         0.06400 1290005858.83387         0.06400  59532527.07062        -0.02050
3.3         0.06600 1203721994.63845         0.06600  55550609.89886        -0.02011
3.4         0.06800 1122177935.04544         0.06800  51787430.14124        -0.01970
3.5         0.07000 1045252955.48002         0.07000  48237416.47500        -0.01929
3.6         0.07200 972806385.01474         0.07200  44894077.07242        -0.01888
3.7         0.07400 904682495.93412         0.07400  41750225.24952        -0.01846
3.8         0.07600 840714643.32453         0.07600  38798170.50415        -0.01803
3.9         0.07800 780728753.14897         0.07800  36029879.48727        -0.01760
4.0         0.08000 724546245.31871         0.08000  33437110.89990        -0.01717
4.1         0.08200 671986467.70838         0.08200  31011527.82058        -0.01674
4.2         0.08400 622868707.72309         0.08400  28744790.53722        -0.01632
4.3         0.08600 577013839.77803         0.08600  26628632.57672        -0.01589
4.4         0.08800 534245659.76869         0.08800  24654922.28950        -0.01547
