 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 110000000.00000        -0.00066        -0.00066
0.2         0.00400 220000000.00000        -0.00132        -0.00132
0.3         0.00600 330000000.00000        -0.00198        -0.00198
0.4         0.00800 440000000.00000        -0.00264        -0.00264
0.5         0.01000 550000000.00000        -0.00330        -0.00330
0.6         0.01200 660000000.00000        -0.00396        -0.00396
0.7         0.01400 770000000.00000        -0.00462        -0.00462
0.8         0.01600 880000000.00000        -0.00528        -0.00528
0.9         0.01800 990000000.00000        -0.00594        -0.00594
1.0         0.02000 1100000000.00000        -0.00660        -0.00660
1.1         0.02200 1210000000.00000        -0.00726        -0.00726
1.2         0.02400 1320000000.00000        -0.00792        -0.00792
1.3         0.02600 1430000000.00000        -0.00858        -0.00858
1.4         0.02800 1540000000.00000        -0.00924        -0.00924
1.5         0.03000 1650000000.00000        -0.01006        -0.01006
1.6         0.03200 1760000000.00000        -0.01097        -0.01097
1.7         0.03400 1870000000.00000        -0.01195        -0.01195
1.8         0.03600 1980000000.00000        -0.01298        -0.01298
1.9         0.03800 2090000000.00000        -0.01409        -0.01409
2.0         0.04000 2200000000.00000        -0.01528        -0.01528
2.1         0.04200 2310000000.00000        -0.01657        -0.01657
2.2         0.04400 2314911655.92982        -0.01728        -0.01728
2.3         0.04600 2189828625.99343        -0.01718        -0.01718
2.4         0.04800 2067588396.40195        -0.01706        -0.01706
2.5         0.05000 1948782652.25151        -0.01690        -0.01690
2.6         0.05200 1833864721.91151        -0.01672        -0.01672
2.7         0.05400 1723170551.54018        -0.01651        -0.01651
2.8         0.05600 1616936940.56873        -0.01629        -0.01629
2.9         0.05800 1515317369.51794        -0.01605        -0.01605
3.0         0.06000 1418395713.24798        -0.01579        -0.01579
3.1         0.06200 1326198098.75947        -0.01552        -0.01552
3.2         0.06400 1238703136.50144        -0.01524        -0.01524
3.3         0.06600 1155850727.36198        -0.01495        -0.01495
3.4         0.06800 1077549623.77458        -0.01465        -0.01465
3.5         0.07000 1003683902.30485        -0.01435        -0.01435
3.6         0.07200 934118486.41965        -0.01404        -0.01404
3.7         0.07400 868703841.59690        -0.01373        -0.01373
3.8         0.07600 807279950.28652        -0.01341        -0.01341
3.9         0.07800 749679661.26655        -0.01309        -0.01309
4.0         0.08000 695731496.46615        -0.01277        -0.01277
4.1         0.08200 645261988.18144        -0.01245        -0.01245
4.2         0.08400 598097610.64392        -0.01213        -0.01213
4.3         0.08600 554066361.98063        -0.01182        -0.01182
4.4         0.08800 512999045.61360        -0.01150        -0.01150
4.5         0.09000 474730293.97628        -0.01119        -0.01119
4.6         0.09200 439099371.98641        -0.01088        -0.01088
4.7         0.09400 405950792.92263        -0.01058        -0.01058
4.8         0.09600 375134775.13303        -0.01027        -0.01027
4.9         0.09800 346507564.29162        -0.00998        -0.00998
5.0         0.10000 319931642.65667        -0.00968        -0.00968
5.1         0.10200 295275843.91927        -0.00940        -0.00940
5.2         0.10400 272415389.71480        -0.00911        -0.00911
5.3         0.10600 251231861.66787        -0.00883        -0.00883
5.4         0.10800 231613120.90860        -0.00856        -0.00856
5.5         0.11000 213453185.31185        -0.00830        -0.00830
5.6         0.11200 196652073.23403        -0.00803        -0.00803
5.7         0.11400 181115621.23571        -0.00778        -0.00778
5.8         0.11600 166755282.15656        -0.00753        -0.00753
5.9         0.11800 153487908.93231        -0.00729        -0.00729
6.0         0.12000 141235528.69631        -0.00705        -0.00705
6.1         0.12200 129925110.97253        -0.00682        -0.00682
6.2         0.12400 119488333.12994        -0.00659        -0.00659
6.3         0.12600 109861345.71915        -0.00637        -0.00637
6.4         0.12800 100984539.83742        -0.00616        -0.00616
6.5         0.13000  92802318.26129        -0.00595        -0.00595
6.6         0.13200  85262871.73628        -0.00574        -0.00574
6.7         0.13400  78317961.51492        -0.00555        -0.00555
6.8         0.13600  71922708.97975        -0.00535        -0.00535
6.9         0.13800  66035392.97215        -0.00517        -0.00517
7.0         0.14000  60617255.26541        -0.00499        -0.00499
7.1         0.14200  55632314.46768        -0.00481        -0.00481
7.2         0.14400  51047188.51163        -0.00464        -0.00464
7.3         0.14600  46830925.78212        -0.00448        -0.00448
7.4         0.14800  42954844.84521        -0.00432        -0.00432
7.5         0.15000  39392382.67082        -0.00416        -0.00416
7.6         0.15200  36118951.18383        -0.00401        -0.00401
7.7         0.15400  33111801.93308        -0.00387        -0.00387
7.8         0.15600  30349898.63216        -0.00373        -0.00373
7.9         0.15800  27813797.29951        -0.00359        -0.00359
8.0         0.16000  25485533.70558        -0.00346        -0.00346
8.1         0.16200  23348517.82187        -0.00333        -0.00333
8.2         0.16400  21387434.95845        -0.00321        -0.00321
8.3         0.16600  19588153.27288        -0.00309        -0.00309
8.4         0.16800  17937637.33311        -0.00297        -0.00297
8.5         0.17000  16423867.41980        -0.00286        -0.00286
8.6         0.17200  15035764.25842        -0.00275        -0.00275
8.7         0.17400  13763118.87850        -0.00265        -0.00265
8.8         0.17600  12596527.30590        -0.00255        -0.00255
8.9         0.17800  11527329.80327        -0.00245        -0.00245
9.0         0.18000  10547554.38476        -0.00236        -0.00236
9.1         0.18200   9649864.34139        -0.00227        -0.00227
9.2         0.18400   8827509.52556        -0.00218        -0.00218
9.3         0.18600   8074281.15426        -0.00210        -0.00210
9.4         0.18800   7384469.90257        -0.00202        -0.00202
9.5         0.19000   6752827.07042        -0.00194        -0.00194
9.6         0.19200   6174528.61727        -0.00186        -0.00186
9.7         0.19400   5645141.87051        -0.00179        -0.00179
9.8         0.19600   5160594.72440        -0.00172        -0.00172
9.9         0.19800   4717147.15704        -0.00165        -0.00165
