 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 110000000.00000        -0.00066        -0.00066
0.2         0.00400 220000000.00000        -0.00132        -0.00132
0.3         0.00600 330000000.00000        -0.00198        -0.00198
0.4         0.00800 440000000.00000        -0.00264        -0.00264
0.5         0.01000 550000000.00000        -0.00330        -0.00330
0.6         0.01200 660000000.00000        -0.00396        -0.00396
0.7         0.01400 770000000.00000        -0.00462        -0.00462
0.8         0.01600 880000000.00000        -0.00528        -0.00528
0.9         0.01800 990000000.00000        -0.00594        -0.00594
1.0         0.02000 1100000000.00000        -0.00660        -0.00660
1.1         0.02200 1210000000.00000        -0.00726        -0.00726
1.2         0.02400 1320000000.00000        -0.00792        -0.00792
1.3         0.02600 1430000000.00000        -0.00858        -0.00858
1.4         0.02800 1540000000.00000        -0.00924        -0.00924
1.5         0.03000 1650000000.00000        -0.00990        -0.00990
1.6         0.03200 1760000000.00000        -0.01056        -0.01056
1.7         0.03400 1870000000.00000        -0.01122        -0.01122
1.8         0.03600 1980000000.00000        -0.01188        -0.01188
1.9         0.03800 2090000000.00000        -0.01254        -0.01254
2.0         0.04000 2200000000.00000        -0.01320        -0.01320
2.1         0.04200 2310000000.00000        -0.01386        -0.01386
2.2         0.04400 2420000000.00000        -0.01452        -0.01452
2.3         0.04600 2189828625.99347        -0.01412        -0.01412
2.4         0.04800 2067588396.40191        -0.01402        -0.01402
2.5         0.05000 1948782652.25148        -0.01389        -0.01389
2.6         0.05200 1833864721.91155        -0.01374        -0.01374
2.7         0.05400 1723170551.54021        -0.01357        -0.01357
2.8         0.05600 1616936940.56870        -0.01339        -0.01339
2.9         0.05800 1515317369.51797        -0.01319        -0.01319
3.0         0.06000 1418395713.24795        -0.01298        -0.01298
3.1         0.06200 1326198098.75950        -0.01276        -0.01276
3.2         0.06400 1238703136.50141        -0.01253        -0.01253
3.3         0.06600 1155850727.36201        -0.01229        -0.01229
3.4         0.06800 1077549623.77460        -0.01204        -0.01204
3.5         0.07000 1003683902.30482        -0.01179        -0.01179
3.6         0.07200 934118486.41963        -0.01154        -0.01154
3.7         0.07400 868703841.59692        -0.01128        -0.01128
3.8         0.07600 807279950.28654        -0.01102        -0.01102
3.9         0.07800 749679661.26657        -0.01076        -0.01076
4.0         0.08000 695731496.46617        -0.01050        -0.01050
4.1         0.08200 645261988.18146        -0.01024        -0.01024
4.2         0.08400 598097610.64391        -0.00997        -0.00997
4.3         0.08600 554066361.98062        -0.00971        -0.00971
4.4         0.08800 512999045.61361        -0.00945        -0.00945
4.5         0.09000 474730293.97629        -0.00920        -0.00920
4.6         0.09200 439099371.98640        -0.00894        -0.00894
4.7         0.09400 405950792.92264        -0.00869        -0.00869
4.8         0.09600 375134775.13304        -0.00844        -0.00844
4.9         0.09800 346507564.29161        -0.00820        -0.00820
5.0         0.10000 319931642.65668        -0.00796        -0.00796
5.1         0.10200 295275843.91926        -0.00772        -0.00772
5.2         0.10400 272415389.71481        -0.00749        -0.00749
5.3         0.10600 251231861.66786        -0.00726        -0.00726
5.4         0.10800 231613120.90859        -0.00704        -0.00704
5.5         0.11000 213453185.31185        -0.00682        -0.00682
5.6         0.11200 196652073.23402        -0.00660        -0.00660
5.7         0.11400 181115621.23571        -0.00639        -0.00639
5.8         0.11600 166755282.15657        -0.00619        -0.00619
5.9         0.11800 153487908.93231        -0.00599        -0.00599
6.0         0.12000 141235528.69632        -0.00579        -0.00579
6.1         0.12200 129925110.97253        -0.00560        -0.00560
6.2         0.12400 119488333.12994        -0.00542        -0.00542
6.3         0.12600 109861345.71914        -0.00524        -0.00524
6.4         0.12800 100984539.83743        -0.00506        -0.00506
6.5         0.13000  92802318.26130        -0.00489        -0.00489
6.6         0.13200  85262871.73628        -0.00472        -0.00472
6.7         0.13400  78317961.51491        -0.00456        -0.00456
6.8         0.13600  71922708.97976        -0.00440        -0.00440
6.9         0.13800  66035392.97215        -0.00425        -0.00425
7.0         0.14000  60617255.26542        -0.00410        -0.00410
7.1         0.14200  55632314.46768        -0.00395        -0.00395
7.2         0.14400  51047188.51163        -0.00382        -0.00382
7.3         0.14600  46830925.78212        -0.00368        -0.00368
7.4         0.14800  42954844.84521        -0.00355        -0.00355
7.5         0.15000  39392382.67082        -0.00342        -0.00342
7.6         0.15200  36118951.18383        -0.00330        -0.00330
7.7         0.15400  33111801.93308        -0.00318        -0.00318
7.8         0.15600  30349898.63216        -0.00306        -0.00306
7.9         0.15800  27813797.29951        -0.00295        -0.00295
8.0         0.16000  25485533.70559        -0.00284        -0.00284
8.1         0.16200  23348517.82187        -0.00274        -0.00274
8.2         0.16400  21387434.95845        -0.00264        -0.00264
8.3         0.16600  19588153.27288        -0.00254        -0.00254
8.4         0.16800  17937637.33311        -0.00244        -0.00244
8.5         0.17000  16423867.41980        -0.00235        -0.00235
8.6         0.17200  15035764.25842        -0.00226        -0.00226
8.7         0.17400  13763118.87850        -0.00218        -0.00218
8.8         0.17600  12596527.30590        -0.00210        -0.00210
8.9         0.17800  11527329.80327        -0.00202        -0.00202
9.0         0.18000  10547554.38476        -0.00194        -0.00194
9.1         0.18200   9649864.34139        -0.00186        -0.00186
9.2         0.18400   8827509.52556        -0.00179        -0.00179
9.3         0.18600   8074281.15426        -0.00172        -0.00172
9.4         0.18800   7384469.90257        -0.00166        -0.00166
9.5         0.19000   6752827.07042        -0.00159        -0.00159
9.6         0.19200   6174528.61727        -0.00153        -0.00153
9.7         0.19400   5645141.87051        -0.00147        -0.00147
9.8         0.19600   5160594.72440        -0.00142        -0.00142
9.9         0.19800   4717147.15704        -0.00136        -0.00136
