 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0020 110000000.00000         -0.0007
0.2          0.0040 220000000.00000         -0.0013
0.3          0.0060 330000000.00000         -0.0020
0.4          0.0080 440000000.00000         -0.0026
0.5          0.0100 550000000.00000         -0.0033
0.6          0.0120 660000000.00000         -0.0040
0.7          0.0140 770000000.00000         -0.0046
0.8          0.0160 880000000.00000         -0.0053
0.9          0.0180 990000000.00000         -0.0059
1.0          0.0200 1100000000.00000         -0.0066
1.1          0.0220 1210000000.00000         -0.0073
1.2          0.0240 1320000000.00000         -0.0079
1.3          0.0260 1430000000.00000         -0.0086
1.4          0.0280 1540000000.00000         -0.0092
1.5          0.0300 1650000000.00000         -0.0099
1.6          0.0320 1760000000.00000         -0.0106
1.7          0.0340 1870000000.00000         -0.0112
1.8          0.0360 1980000000.00000         -0.0119
1.9          0.0380 2090000000.00000         -0.0125
2.0          0.0400 2200000000.00000         -0.0132
2.1          0.0420 2310000000.00000         -0.0139
2.2          0.0440 2420000000.00000         -0.0145
2.3          0.0460 2358902752.32663         -0.0147
2.4          0.0480 2227224496.50068         -0.0145
2.5          0.0500 2099245898.75012         -0.0144
2.6          0.0520 1975455288.40154         -0.0143
2.7          0.0540 1856214549.62591         -0.0141
2.8          0.0560 1741778764.86371         -0.0139
2.9          0.0580 1632313264.68876         -0.0137
3.0          0.0600 1527908399.84154         -0.0135
3.1          0.0620 1428592314.55834         -0.0132
3.2          0.0640 1334341967.82553         -0.0130
3.3          0.0660 1245092620.34879         -0.0128
3.4          0.0680 1160745979.44269         -0.0125
3.5          0.0700 1081177171.35909         -0.0122
3.6          0.0720 1006240690.46261         -0.0120
3.7          0.0740 935775456.84427         -0.0117
3.8          0.0760 869609098.18461         -0.0114
3.9          0.0780 807561557.70989         -0.0112
4.0          0.0800 749448117.72648         -0.0109
4.1          0.0820 695081917.29042         -0.0106
4.2          0.0840 644276032.91003         -0.0104
4.3          0.0860 596845182.64745         -0.0101
4.4          0.0880 552607106.45331         -0.0098
4.5          0.0900 511383668.92316         -0.0095
4.6          0.0920 473001724.80562         -0.0093
4.7          0.0940 437293782.43010         -0.0090
4.8          0.0960 404098495.67717         -0.0088
4.9          0.0980 373261011.11618         -0.0085
5.0          0.1000 344633193.42026         -0.0083
5.1          0.1020 318073749.08195         -0.0080
5.2          0.1040 293448265.74402         -0.0078
5.3          0.1060 270629182.08570         -0.0075
5.4          0.1080 249495701.12519         -0.0073
5.5          0.1100 229933657.98047         -0.0071
5.6          0.1120 211835351.54127         -0.0069
5.7          0.1140 195099348.11837         -0.0066
5.8          0.1160 179630263.92792         -0.0064
5.9          0.1180 165338532.21734         -0.0062
6.0          0.1200 152140159.92549         -0.0060
6.1          0.1220 139956477.97800         -0.0058
6.2          0.1240 128713888.63284         -0.0056
6.3          0.1260 118343612.69874         -0.0054
6.4          0.1280 108781438.93880         -0.0053
6.5          0.1300  99967477.53242         -0.0051
6.6          0.1320  91845919.09275         -0.0049
6.7          0.1340  84364800.41461         -0.0047
6.8          0.1360  77475777.85461         -0.0046
6.9          0.1380  71133909.01185         -0.0044
7.0          0.1400  65297443.18198         -0.0043
7.1          0.1420  59927620.89160         -0.0041
7.2          0.1440  54988482.68274         -0.0040
7.3          0.1460  50446687.20199         -0.0038
7.4          0.1480  46271338.55517         -0.0037
7.5          0.1500  42433822.81148         -0.0036
7.6          0.1520  38907653.47907         -0.0034
7.7          0.1540  35668325.72526         -0.0033
7.8          0.1560  32693179.07640         -0.0032
7.9          0.1580  29961268.30368         -0.0031
8.0          0.1600  27453242.18024         -0.0029
8.1          0.1620  25151229.78072         -0.0028
8.2          0.1640  23038733.98578         -0.0027
8.3          0.1660  21100531.84981         -0.0026
8.4          0.1680  19322581.49019         -0.0025
8.5          0.1700  17691935.15901         -0.0024
8.6          0.1720  16196658.16380         -0.0023
8.7          0.1740  14825753.31134         -0.0023
8.8          0.1760  13569090.55756         -0.0022
8.9          0.1780  12417341.55685         -0.0021
9.0          0.1800  11361918.81556         -0.0020
9.1          0.1820  10394919.16595         -0.0019
9.2          0.1840   9509071.28935         -0.0019
9.3          0.1860   8697687.02982         -0.0018
9.4          0.1880   7954616.25210         -0.0017
9.5          0.1900   7274205.01007         -0.0017
9.6          0.1920   6651256.80463         -0.0016
9.7          0.1940   6080996.72164         -0.0015
9.8          0.1960   5559038.25283         -0.0015
9.9          0.1980   5081352.61353         -0.0014
10.0          0.2000   4644240.38278         -0.0014
