 n    Epsilon_{11}      Sigma_{11}    Epsilon_{12}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0020 118498965.54184          0.0000
0.2          0.0040 236997931.08368          0.0000
0.3          0.0060 355100463.15285          0.0000
0.4          0.0080 472246448.39626          0.0000
0.5          0.0100 588856441.81705          0.0000
0.6          0.0120 704970743.30055          0.0000
0.7          0.0140 820626996.72843          0.0000
0.8          0.0160 935860353.19231          0.0000
0.9          0.0180 1050703624.60479          0.0000
1.0          0.0200 1165187428.25638          0.0000
1.1          0.0220 1279340322.83606          0.0000
1.2          0.0240 1393188936.40429          0.0000
1.3          0.0260 1506758086.77994          0.0000
1.4          0.0280 1620070894.77667          0.0000
1.5          0.0300 1733148890.69982          0.0000
1.6          0.0320 1846012114.49206          0.0000
1.7          0.0340 1958679209.89367          0.0000
1.8          0.0360 2071167512.96341          0.0000
1.9          0.0380 2183493135.28582          0.0000
2.0          0.0400 2295671042.17285          0.0000
2.1          0.0420 2407715126.15009          0.0000
2.2          0.0440 2519638276.00155          0.0000
2.3          0.0460 2455253354.59614          0.0000
2.4          0.0480 2318196632.34459          0.0000
2.5          0.0500 2184990682.61494          0.0000
2.6          0.0520 2056143780.79753          0.0000
2.7          0.0540 1932032592.40936          0.0000
2.8          0.0560 1812922618.86504          0.0000
2.9          0.0580 1698985943.75115          0.0000
3.0          0.0600 1590316608.23087          0.0000
3.1          0.0620 1486943906.10637          0.0000
3.2          0.0640 1388843855.24190          0.0000
3.3          0.0660 1295949072.03320          0.0000
3.4          0.0680 1208157248.97930          0.0000
3.5          0.0700 1125338411.79927          0.0000
3.6          0.0720 1047341111.60483          0.0000
3.7          0.0740 973997689.09485          0.0000
3.8          0.0760 905128731.31340          0.0000
3.9          0.0780 840546826.97473          0.0000
4.0          0.0800 780059713.49552          0.0000
4.1          0.0820 723472897.49998          0.0000
4.2          0.0840 670591820.50978          0.0000
4.3          0.0860 621223632.65053          0.0000
4.4          0.0880 575178629.36695          0.0000
4.5          0.0900 532271399.22189          0.0000
4.6          0.0920 492321724.75669          0.0000
4.7          0.0940 455155273.01689          0.0000
4.8          0.0960 420604107.61742          0.0000
4.9          0.0980 388507050.05920          0.0000
5.0          0.1000 358709914.35136          0.0000
5.1          0.1020 331065635.78009          0.0000
5.2          0.1040 305434311.84596          0.0000
5.3          0.1060 281683170.92010          0.0000
5.4          0.1080 259686482.00556          0.0000
5.5          0.1100 239325417.09669          0.0000
5.6          0.1120 220487875.97571          0.0000
5.7          0.1140 203068281.84192          0.0000
5.8          0.1160 186967354.91152          0.0000
5.9          0.1180 172091870.03162          0.0000
6.0          0.1200 158354403.40108          0.0000
6.1          0.1220 145673072.66653          0.0000
6.2          0.1240 133971273.94811          0.0000
6.3          0.1260 123177418.73294          0.0000
6.4          0.1280 113224673.04294          0.0000
6.5          0.1300 104050700.82686          0.0000
6.6          0.1320  95597413.13456          0.0000
6.7          0.1340  87810724.29692          0.0000
6.8          0.1360  80640316.04942          0.0000
6.9          0.1380  74039410.29558          0.0000
7.0          0.1400  67964551.00193          0.0000
7.1          0.1420  62375395.54437          0.0000
7.2          0.1440  57234515.68226          0.0000
7.3          0.1460  52507208.21737          0.0000
7.4          0.1480  48161315.29677          0.0000
7.5          0.1500  44167054.23887          0.0000
7.6          0.1520  40496856.69735          0.0000
7.7          0.1540  37125216.92697          0.0000
7.8          0.1560  34028548.87535          0.0000
7.9          0.1580  31185051.79496          0.0000
8.0          0.1600  28574584.04807          0.0000
8.1          0.1620  26178544.76215          0.0000
8.2          0.1640  23979762.98448          0.0000
8.3          0.1660  21962393.98038          0.0000
8.4          0.1680  20111822.31928          0.0000
8.5          0.1700  18414571.39579          0.0000
8.6          0.1720  16858219.03879          0.0000
8.7          0.1740  15431318.86899          0.0000
8.8          0.1760  14123327.07544          0.0000
8.9          0.1780  12924534.29144          0.0000
9.0          0.1800  11826002.26272          0.0000
9.1          0.1820  10819505.01257          0.0000
9.2          0.1840   9897474.22154          0.0000
9.3          0.1860   9052948.55252          0.0000
9.4          0.1880   8279526.66477          0.0000
9.5          0.1900   7571323.67385          0.0000
9.6          0.1920   6922930.82694          0.0000
9.7          0.1940   6329378.17609          0.0000
9.8          0.1960   5786100.04381          0.0000
9.9          0.1980   5288903.08765          0.0000
10.0          0.2000   4833936.78189          0.0000
