              n            d1_1 
                         
        0.00000          0.00000 
        0.00200          0.00000 
        0.00400          0.00000 
        0.00600          0.00000 
        0.00800          0.00000 
        0.01000          0.00000 
        0.01200          0.00000 
        0.01400          0.00000 
        0.01600          0.00000 
        0.01800          0.00000 
        0.02000          0.00000 
        0.02200          0.00000 
        0.02400          0.00000 
        0.02600          0.00000 
        0.02800          0.00000 
        0.03000          0.00000 
        0.03200          0.00000 
        0.03400          0.00000 
        0.03600          0.00000 
        0.03800          0.00000 
        0.04000          0.00000 
        0.04200          0.00000 
        0.04400          0.04015 
        0.04600          0.12351 
        0.04800          0.19810 
        0.05000          0.26508 
        0.05200          0.32538 
        0.05400          0.37981 
        0.05600          0.42907 
        0.05800          0.47375 
        0.06000          0.51435 
        0.06200          0.55132 
        0.06400          0.58504 
        0.06600          0.61586 
        0.06800          0.64406 
        0.07000          0.66990 
        0.07200          0.69362 
        0.07400          0.71541 
        0.07600          0.73546 
        0.07800          0.75393 
        0.08000          0.77096 
        0.08200          0.78667 
        0.08400          0.80119 
        0.08600          0.81462 
        0.08800          0.82705 
        0.09000          0.83855 
        0.09200          0.84922 
        0.09400          0.85912 
        0.09600          0.86831 
        0.09800          0.87684 
        0.10000          0.88478 
        0.10200          0.89216 
        0.10400          0.89903 
        0.10600          0.90542 
        0.10800          0.91138 
        0.11000          0.91694 
        0.11200          0.92212 
        0.11400          0.92695 
        0.11600          0.93147 
        0.11800          0.93568 
        0.12000          0.93962 
        0.12200          0.94330 
        0.12400          0.94675 
        0.12600          0.94997 
        0.12800          0.95298 
        0.13000          0.95580 
        0.13200          0.95845 
        0.13400          0.96092 
        0.13600          0.96324 
        0.13800          0.96542 
        0.14000          0.96746 
        0.14200          0.96937 
        0.14400          0.97116 
        0.14600          0.97285 
        0.14800          0.97443 
        0.15000          0.97591 
        0.15200          0.97731 
        0.15400          0.97862 
        0.15600          0.97985 
        0.15800          0.98101 
        0.16000          0.98209 
        0.16200          0.98312 
        0.16400          0.98408 
        0.16600          0.98498 
        0.16800          0.98583 
        0.17000          0.98664 
        0.17200          0.98739 
        0.17400          0.98810 
        0.17600          0.98877 
        0.17800          0.98940 
        0.18000          0.98999 
        0.18200          0.99055 
        0.18400          0.99108 
        0.18600          0.99157 
        0.18800          0.99204 
        0.19000          0.99248 
        0.19200          0.99290 
        0.19400          0.99329 
        0.19600          0.99366 
        0.19800          0.99401 
        0.20000          0.99434 
