 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 110000000.00000        -0.00066        -0.00066
0.2         0.00400 220000000.00000        -0.00132        -0.00132
0.3         0.00600 330000000.00000        -0.00198        -0.00198
0.4         0.00800 440000000.00000        -0.00264        -0.00264
0.5         0.01000 550000000.00000        -0.00330        -0.00330
0.6         0.01200 660000000.00000        -0.00396        -0.00396
0.7         0.01400 770000000.00000        -0.00462        -0.00462
0.8         0.01600 880000000.00000        -0.00528        -0.00528
0.9         0.01800 990000000.00000        -0.00594        -0.00594
1.0         0.02000 1100000000.00000        -0.00660        -0.00660
1.1         0.02200 1210000000.00000        -0.00726        -0.00726
1.2         0.02400 1320000000.00000        -0.00792        -0.00792
1.3         0.02600 1430000000.00000        -0.00858        -0.00858
1.4         0.02800 1540000000.00000        -0.00924        -0.00924
1.5         0.03000 1650000000.00000        -0.00990        -0.00990
1.6         0.03200 1760000000.00000        -0.01056        -0.01056
1.7         0.03400 1870000000.00000        -0.01122        -0.01122
1.8         0.03600 1980000000.00000        -0.01188        -0.01188
1.9         0.03800 2090000000.00000        -0.01254        -0.01254
2.0         0.04000 2200000000.00000        -0.01320        -0.01320
2.1         0.04200 2310000000.00000        -0.01386        -0.01386
2.2         0.04400 2229558263.27283        -0.01394        -0.01394
2.3         0.04600 1943655142.47100        -0.01331        -0.01331
2.4         0.04800 1697623377.04652        -0.01270        -0.01270
2.5         0.05000 1485313475.06919        -0.01213        -0.01213
2.6         0.05200 1301638311.35961        -0.01158        -0.01158
2.7         0.05400 1142366470.30539        -0.01105        -0.01105
2.8         0.05600 1003960720.17400        -0.01055        -0.01055
2.9         0.05800 883450652.58051        -0.01007        -0.01007
3.0         0.06000 778331451.33920        -0.00962        -0.00962
3.1         0.06200 686482834.15454        -0.00918        -0.00918
3.2         0.06400 606103704.58130        -0.00876        -0.00876
3.3         0.06600 535659137.79445        -0.00837        -0.00837
3.4         0.06800 473837121.95240        -0.00799        -0.00799
3.5         0.07000 419513069.59266        -0.00763        -0.00763
3.6         0.07200 371720557.70166        -0.00728        -0.00728
3.7         0.07400 329627090.99817        -0.00695        -0.00695
3.8         0.07600 292513939.08581        -0.00663        -0.00663
3.9         0.07800 259759294.94105        -0.00633        -0.00633
4.0         0.08000 230824154.55191        -0.00605        -0.00605
4.1         0.08200 205240436.27040        -0.00577        -0.00577
4.2         0.08400 182600951.60122        -0.00551        -0.00551
4.3         0.08600 162550912.68467        -0.00526        -0.00526
4.4         0.08800 144780720.11300        -0.00502        -0.00502
4.5         0.09000 129019821.32450        -0.00479        -0.00479
4.6         0.09200 115031467.21731        -0.00458        -0.00458
4.7         0.09400 102608224.78112        -0.00437        -0.00437
4.8         0.09600  91568127.97650        -0.00417        -0.00417
4.9         0.09800  81751368.97163        -0.00398        -0.00398
5.0         0.10000  73017448.09163        -0.00380        -0.00380
5.1         0.10200  65242714.16354        -0.00363        -0.00363
5.2         0.10400  58318237.91550        -0.00347        -0.00347
5.3         0.10600  52147970.16075        -0.00331        -0.00331
5.4         0.10800  46647144.01976        -0.00316        -0.00316
5.5         0.11000  41740886.69447        -0.00302        -0.00302
5.6         0.11200  37363011.53284        -0.00288        -0.00288
5.7         0.11400  33454965.49625        -0.00275        -0.00275
5.8         0.11600  29964910.81401        -0.00262        -0.00262
5.9         0.11800  26846922.70040        -0.00250        -0.00250
6.0         0.12000  24060287.61810        -0.00239        -0.00239
6.1         0.12200  21568888.77927        -0.00228        -0.00228
6.2         0.12400  19340667.44680        -0.00218        -0.00218
6.3         0.12600  17347150.18936        -0.00208        -0.00208
6.4         0.12800  15563033.59881        -0.00199        -0.00199
6.5         0.13000  13965819.13510        -0.00190        -0.00190
6.6         0.13200  12535491.75292        -0.00181        -0.00181
6.7         0.13400  11254236.81194        -0.00173        -0.00173
6.8         0.13600  10106190.49985        -0.00165        -0.00165
6.9         0.13800   9077219.62333        -0.00157        -0.00157
7.0         0.14000   8154727.16032        -0.00150        -0.00150
7.1         0.14200   7327480.43249        -0.00144        -0.00144
7.2         0.14400   6585459.15778        -0.00137        -0.00137
7.3         0.14600   5919720.99083        -0.00131        -0.00131
7.4         0.14800   5322282.46008        -0.00125        -0.00125
7.5         0.15000   4786013.47150        -0.00119        -0.00119
7.6         0.15200   4304543.77605        -0.00114        -0.00114
7.7         0.15400   3872179.99530        -0.00109        -0.00109
7.8         0.15600   3483831.97174        -0.00104        -0.00104
7.9         0.15800   3134947.36006        -0.00099        -0.00099
8.0         0.16000   2821453.50673        -0.00095        -0.00095
8.1         0.16200   2539705.77949        -0.00090        -0.00090
8.2         0.16400   2286441.60848        -0.00086        -0.00086
8.3         0.16600   2058739.58816        -0.00082        -0.00082
8.4         0.16800   1853983.06627        -0.00079        -0.00079
8.5         0.17000   1669827.71298        -0.00075        -0.00075
8.6         0.17200   1504172.62298        -0.00072        -0.00072
8.7         0.17400   1355134.55482        -0.00068        -0.00068
8.8         0.17600   1221024.95785        -0.00065        -0.00065
8.9         0.17800   1100329.47706        -0.00062        -0.00062
9.0         0.18000    991689.66172        -0.00059        -0.00059
9.1         0.18200    893886.63491        -0.00057        -0.00057
9.2         0.18400    805826.50855        -0.00054        -0.00054
9.3         0.18600    726527.35301        -0.00052        -0.00052
9.4         0.18800    655107.55153        -0.00049        -0.00049
9.5         0.19000    590775.38919        -0.00047        -0.00047
9.6         0.19200    532819.74238        -0.00045        -0.00045
9.7         0.19400    480601.75016        -0.00043        -0.00043
9.8         0.19600    433547.36156        -0.00041        -0.00041
9.9         0.19800    391140.66490        -0.00039        -0.00039
10.0         0.20000    352917.91540        -0.00037        -0.00037
