 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}      Sigma_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 134088217.45284         0.00200  36497299.17098         0.00200  36497299.17098
0.2         0.00400 268176434.90569         0.00400  72994598.34195         0.00400  72994598.34195
0.3         0.00600 400549184.19139         0.00600 103517837.99214         0.00600 103517837.99214
0.4         0.00800 530643909.67674         0.00800 126516480.56606         0.00800 126516480.56606
0.5         0.01000 659236396.51235         0.01000 145031090.99619         0.01000 145031090.99619
0.6         0.01200 786439594.26714         0.01200 159684263.00328         0.01200 159684263.00328
0.7         0.01400 912359008.45741         0.01400 171020926.55111         0.01400 171020926.55111
0.8         0.01600 1037093157.98995         0.01600 179517522.81393         0.01600 179517522.81393
0.9         0.01800 1160734005.69181         0.01800 185590132.60173         0.01800 185590132.60173
1.0         0.02000 1283367363.46387         0.02000 189601674.61754         0.02000 189601674.61754
1.1         0.02200 1405073273.50930         0.02200 191868277.23097         0.02200 191868277.23097
1.2         0.02400 1525926367.00698         0.02400 192664916.12452         0.02400 192664916.12452
1.3         0.02600 1645996201.52318         0.02600 192230400.05982         0.02600 192230400.05982
1.4         0.02800 1765347578.38210         0.02800 190771777.98984         0.02800 190771777.98984
1.5         0.03000 1884040841.14775         0.03000 188468232.69587         0.03000 188468232.69587
1.6         0.03200 2002132156.30461         0.03200 185474518.94905         0.03200 185474518.94905
1.7         0.03400 2119673777.16339         0.03400 181923997.79546         0.03400 181923997.79546
1.8         0.03600 2236714291.96071         0.03600 177931312.85555         0.03600 177931312.85555
1.9         0.03800 2353298857.06645         0.03800 173594749.44131         0.03800 173594749.44131
2.0         0.04000 2469469416.16161         0.04000 168998312.76001         0.04000 168998312.76001
2.1         0.04200 2585264906.20006         0.04200 164213557.43312         0.04200 164213557.43312
2.2         0.04400 2586647037.71614         0.04400 157663114.51668         0.04400 157663114.51668
2.3         0.04600 2446881164.56731         0.04600 149144007.52508         0.04600 149144007.52508
2.4         0.04800 2310291793.23956         0.04800 140818516.88821         0.04800 140818516.88821
2.5         0.05000 2177540063.65057         0.05000 132726940.86748         0.05000 132726940.86748
2.6         0.05200 2049132518.01798         0.05200 124900154.57747         0.05200 124900154.57747
2.7         0.05400 1925444537.46372         0.05400 117361038.51018         0.05400 117361038.51018
2.8         0.05600 1806740718.06678         0.05600 110125720.51037         0.05600 110125720.51037
2.9         0.05800 1693192556.62441         0.05800 103204653.77045         0.05800 103204653.77045
3.0         0.06000 1584893773.62801         0.06000  96603550.80719         0.06000  96603550.80719
3.1         0.06200 1481873562.99053         0.06200  90324191.06833         0.06200  90324191.06833
3.2         0.06400 1384108024.35313         0.06400  84365117.76254         0.06400  84365117.76254
3.3         0.06600 1291530003.88350         0.06600  78722237.68257         0.06600  78722237.68257
3.4         0.06800 1204037542.93991         0.06800  73389336.17419         0.06800  73389336.17419
3.5         0.07000 1121501110.44188         0.07000  68358517.96861         0.07000  68358517.96861
3.6         0.07200 1043769773.92803         0.07200  63620583.32518         0.07200  63620583.32518
3.7         0.07400 970676445.80015         0.07400  59165347.80406         0.07400  59165347.80406
3.8         0.07600 902042324.88413         0.07600  54981912.99137         0.07600  54981912.99137
3.9         0.07800 837680638.94961         0.07800  51058894.61584         0.07800  51058894.61584
4.0         0.08000 777399781.01116         0.08000  47384613.71483         0.08000  47384613.71483
4.1         0.08200 721005920.89765         0.08200  43947255.81657         0.08200  43947255.81657
4.2         0.08400 668305163.55742         0.08400  40735002.49461         0.08400  40735002.49461
4.3         0.08600 619105316.71657         0.08600  37736139.11141         0.08600  37736139.11141
4.4         0.08800 573217322.69505         0.08800  34939142.09138         0.08800  34939142.09138
4.5         0.09000 530456402.29180         0.09000  32332748.64377         0.09000  32332748.64377
4.6         0.09200 490642952.57325         0.09200  29906011.48530         0.09200  29906011.48530
4.7         0.09400 453603235.04444         0.09400  27648340.78603         0.09400  27648340.78603
4.8         0.09600 419169885.96804         0.09600  25549535.27470         0.09600  25549535.27470
4.9         0.09800 387182276.44895         0.09800  23599804.18685         0.09800  23599804.18685
5.0         0.10000 357486746.25648         0.10000  21789781.51692         0.10000  21789781.51692
5.1         0.10200 329936732.15409         0.10200  20110533.84029         0.10200  20110533.84029
5.2         0.10400 304392808.69709         0.10400  18553562.79998         0.10400  18553562.79998
5.3         0.10600 280722656.99577         0.10600  17110803.20275         0.10600  17110803.20275
5.4         0.10800 258800974.78440         0.10800  15774617.53749         0.10800  15774617.53749
5.5         0.11000 238509339.25001         0.11000  14537787.61430         0.11000  14537787.61430
5.6         0.11200 219736032.42634         0.11200  13393503.92177         0.11200  13393503.92177
5.7         0.11400 202375837.51994         0.11400  12335353.21251         0.11400  12335353.21251
5.8         0.11600 186329813.28203         0.11600  11357304.75051         0.11600  11357304.75051
5.9         0.11800 171505052.44898         0.11800  10453695.58745         0.11800  10453695.58745
6.0         0.12000 157814429.32684         0.12000   9619215.17723         0.12000   9619215.17723
6.1         0.12200 145176340.77360         0.12200   8848889.58824         0.12200   8848889.58824
6.2         0.12400 133514444.12165         0.12400   8138065.52894         0.12400   8138065.52894
6.3         0.12600 122757394.96840         0.12600   7482394.36555         0.12600   7482394.36555
6.4         0.12800 112838587.23355         0.12800   6877816.27779         0.12800   6877816.27779
6.5         0.13000 103695897.42610         0.13000   6320544.67131         0.13000   6320544.67131
6.6         0.13200  95271434.67392         0.13200   5807050.94129         0.13200   5807050.94129
6.7         0.13400  87511297.73510         0.13400   5334049.66164         0.13400   5334049.66164
6.8         0.13600  80365339.92580         0.13600   4898484.25670         0.13600   4898484.25670
6.9         0.13800  73786942.65861         0.13800   4497513.19782         0.13800   4497513.19782
7.0         0.14000  67732798.08114         0.14000   4128496.75456         0.14000   4128496.75456
7.1         0.14200  62162701.13398         0.14200   3788984.32010         0.14200   3788984.32010
7.2         0.14400  57039351.20337         0.14400   3476702.32142         0.14400   3476702.32142
7.3         0.14600  52328163.42582         0.14600   3189542.71779         0.14600   3189542.71779
7.4         0.14800  47997089.60375         0.14800   2925552.08512         0.14800   2925552.08512
7.5         0.15000  44016448.61179         0.15000   2682921.27875         0.15000   2682921.27875
7.6         0.15200  40358766.10918         0.15200   2459975.66349         0.15200   2459975.66349
7.7         0.15400  36998623.32294         0.15400   2255165.89657         0.15400   2255165.89657
7.8         0.15600  33912514.62697         0.15600   2067059.24667         0.15600   2067059.24667
7.9         0.15800  31078713.61230         0.15800   1894331.43055         0.15800   1894331.43055
8.0         0.16000  28477147.32236         0.16000   1735758.94737         0.16000   1735758.94737
8.1         0.16200  26089278.31190         0.16200   1590211.88982         0.16200   1590211.88982
8.2         0.16400  23897994.17957         0.16400   1456647.21089         0.16400   1456647.21089
8.3         0.16600  21887504.21980         0.16600   1334102.42448         0.16600   1334102.42448
8.4         0.16800  20043242.83929         0.16800   1221689.71838         0.16800   1221689.71838
8.5         0.17000  18351779.38668         0.17000   1118590.45816         0.17000   1118590.45816
8.6         0.17200  16800734.04927         0.17200   1024050.06085         0.17200   1024050.06085
8.7         0.17400  15378699.47893         0.17400    937373.21780         0.17400    937373.21780
8.8         0.17600  14075167.81811         0.17600    857919.44675         0.17600    857919.44675
8.9         0.17800  12880462.80818         0.17800    785098.95364         0.17800    785098.95364
9.0         0.18000  11785676.67350         0.18000    718368.78551         0.18000    718368.78551
9.1         0.18200  10782611.48718         0.18200    657229.25660         0.18200    657229.25660
9.2         0.18400   9863724.73706         0.18400    601220.63045         0.18400    601220.63045
9.3         0.18600   9022078.82355         0.18600    549920.04166         0.18600    549920.04166
9.4         0.18800   8251294.23391         0.18800    502938.64170         0.18800    502938.64170
9.5         0.19000   7545506.15060         0.19000    459918.95414         0.19000    459918.95414
9.6         0.19200   6899324.26417         0.19200    420532.42506         0.19200    420532.42506
9.7         0.19400   6307795.57373         0.19400    384477.15571         0.19400    384477.15571
9.8         0.19600   5766369.97033         0.19600    351475.80467         0.19600    351475.80467
9.9         0.19800   5270868.41045         0.19800    321273.64796         0.19800    321273.64796
10.0         0.20000   4817453.49830         0.20000    293636.78597         0.20000    293636.78597
