 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000
0.2         0.00400 236997931.08368         0.00400  51508882.07177        -0.00289
0.4         0.00800 473995862.16737         0.00800 103017764.14354        -0.00577
0.6         0.01200 699718000.52307         0.01200  84961523.78884        -0.00762
0.8         0.01600 922269155.74689         0.01600  63638850.63401        -0.00917
1.0         0.02000 1145394482.95468         0.02000  52324239.45492        -0.01078
1.2         0.02400 1368811186.63373         0.02400  45340719.78251        -0.01242
1.4         0.02800 1592390345.71661         0.02800  40580359.57022        -0.01407
1.6         0.03200 1816068948.71307         0.03200  37105423.74159        -0.01573
1.8         0.03600 2039813135.06065         0.03600  34439230.71587        -0.01739
2.0         0.04000 2263603209.36707         0.04000  32314698.54370        -0.01906
2.2         0.04400 2305102985.43272         0.04400  29058930.66446        -0.01999
2.4         0.04800 1800375292.16390         0.04800  22288417.21493        -0.01843
2.6         0.05200 1416151741.81789         0.05200  17506824.08515        -0.01701
2.8         0.05600 1120658485.38820         0.05600  14027151.42007        -0.01572
3.0         0.06000 891437102.34963         0.06000  11424409.70405        -0.01453
3.2         0.06400 712311830.56318         0.06400   9431228.13514        -0.01345
3.4         0.06800 571443811.62072         0.06800   7874275.48553        -0.01245
3.6         0.07200 460049059.38082         0.07200   6637596.62715        -0.01154
3.8         0.07600 371533246.31455         0.07600   5641313.53446        -0.01069
4.0         0.08000 300895360.33016         0.08000   4828937.43202        -0.00992
4.2         0.08400 244309040.78109         0.08400   4159583.80287        -0.00920
4.4         0.08800 198823877.45812         0.08800   3603053.07766        -0.00854
4.6         0.09200 162149257.09229         0.09200   3136635.04504        -0.00793
4.8         0.09600 132495975.57319         0.09600   2742979.69920        -0.00737
5.0         0.10000 108458883.40220         0.10000   2408645.59150        -0.00685
5.2         0.10400  88929070.49005         0.10400   2123089.26548        -0.00637
5.4         0.10800  73027571.78163         0.10800   1877948.37095        -0.00592
5.6         0.11200  60054921.17681         0.11200   1666524.36160        -0.00551
5.8         0.11600  49452489.94348         0.11600   1483403.39065        -0.00513
6.0         0.12000  40772664.87563         0.12000   1324174.54889        -0.00478
6.2         0.12400  33655710.09621         0.12400   1185217.74842        -0.00446
6.4         0.12800  27811718.85604         0.12800   1063542.15589        -0.00416
6.6         0.13200  23006467.20756         0.13200    956661.80141        -0.00388
6.8         0.13600  19050276.75662         0.13600    862498.86160        -0.00362
7.0         0.14000  15789210.74822         0.14000    779307.77540        -0.00338
7.2         0.14400  13098088.62356         0.14400    705615.20587        -0.00316
7.4         0.14800  10874924.36446         0.14800    640172.17117        -0.00296
7.6         0.15200   9036484.36444         0.15200    581915.60436        -0.00277
7.8         0.15600   7514729.05293         0.15600    529937.27980        -0.00259
8.0         0.16000   6253954.69410         0.16000    483458.53939        -0.00243
8.2         0.16400   5208491.78619         0.16400    441809.61811        -0.00228
8.4         0.16800   4340847.31211         0.16800    404412.64135        -0.00214
8.6         0.17200   3620201.96035         0.17200    370767.57228        -0.00201
8.8         0.17600   3021192.00201         0.17600    340440.54313        -0.00189
9.0         0.18000   2522920.01381         0.18000    313054.12371        -0.00178
9.2         0.18400   2108150.01282         0.18400    288279.17236        -0.00168
9.4         0.18800   1762651.52379         0.18800    265827.98579        -0.00158
9.6         0.19200   1474664.17423         0.19200    245448.51999        -0.00149
9.8         0.19600   1234460.01864         0.19600    226919.49822        -0.00141
10.0         0.20000   1033985.25024         0.20000    210046.25657        -0.00133
