 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}      Sigma_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 134088217.45284         0.00200  36497299.17098         0.00200  36497299.17098
0.2         0.00400 260956765.21465         0.00400  33732354.28545         0.00400  68019382.87197
0.3         0.00600 379833867.26181         0.00600  26269782.78432         0.00600  65775612.35577
0.4         0.00800 495395126.13022         0.00800  21764679.68209         0.00800  53724706.38988
0.5         0.01000 610962395.56053         0.01000  18995132.19050         0.01000  46423814.99042
0.6         0.01200 726535579.85697         0.01200  17094905.60510         0.01200  41498740.45949
0.7         0.01400 842114584.96251         0.01400  15692725.58261         0.01400  37931962.03406
0.8         0.01600 957699318.42945         0.01600  14602928.45045         0.01600  35214712.84194
0.9         0.01800 1073289689.39052         0.01800  13722344.63633         0.01800  33064338.88762
1.0         0.02000 1188885608.53049         0.02000  12989052.03389         0.02000  31311242.64702
1.1         0.02200 1304486988.05837         0.02200  12363627.52689         0.02200  29847493.79283
1.2         0.02400 1420093741.68004         0.02400  11819772.74612         0.02400  28601134.55746
1.3         0.02600 1535705784.57149         0.02600  11339266.39528         0.02600  27522344.15956
1.4         0.02800 1651323033.35245         0.02800  10909079.86137         0.02800  26575532.76223
1.5         0.03000 1766945406.06056         0.03000  10519646.57683         0.03000  25734597.84826
1.6         0.03200 1882572822.12602         0.03200  10163780.36700         0.03200  24979959.45473
1.7         0.03400 1998205202.34669         0.03400   9835975.55376         0.03400  24296641.79562
1.8         0.03600 2113842468.86365         0.03600   9531940.35457         0.03600  23672994.34370
1.9         0.03800 2229484545.13722         0.03800   9248277.62599         0.03800  23099816.78142
2.0         0.04000 2345131355.92342         0.04000   8982261.38117         0.04000  22569746.46656
2.1         0.04200 2460782827.25084         0.04200   8731677.15665         0.04200  22076820.90792
2.2         0.04400 2388092668.43007         0.04400   8217688.65910         0.04400  20959393.38989
2.3         0.04600 2109225805.36633         0.04600   7432177.19335         0.04600  19179174.26201
2.4         0.04800 1866466098.27624         0.04800   6734976.91892         0.04800  17585780.35410
2.5         0.05000 1654532299.79636         0.05000   6114252.57838         0.05000  16155034.04540
2.6         0.05200 1469025704.46826         0.05200   5560057.42620         0.05200  14866558.94712
2.7         0.05400 1306261532.81326         0.05400   5063979.77836         0.05400  13703072.15657
2.8         0.05600 1163136831.41967         0.05600   4618865.50716         0.05600  12649828.35014
2.9         0.05800 1037026046.33381         0.05800   4218598.13841         0.05800  11694179.05591
3.0         0.06000 925697787.21948         0.06000   3857923.09990         0.06000  10825220.22287
3.1         0.06200 827247974.55458         0.06200   3532306.14207         0.06200  10033508.14176
3.2         0.06400 740045765.75821         0.06400   3237818.44706         0.06400   9310828.75893
3.3         0.06600 662689531.37872         0.06600   2971042.75705         0.06600   8650009.05152
3.4         0.06800 593970795.91724         0.06800   2728996.18710         0.06800   8044761.79852
3.5         0.07000 532844535.74623         0.07000   2509066.37902         0.07000   7489557.06347
3.6         0.07200 478404584.90631         0.07200   2308958.39605         0.07200   6979515.19009
3.7         0.07400 429863170.64611         0.07400   2126650.32081         0.07400   6510317.23638
3.8         0.07600 386533807.37474         0.07600   1960355.94803         0.07600   6078129.63063
3.9         0.07800 347816936.71117         0.07800   1808493.29411         0.07800   5679540.49320
4.0         0.08000 313187824.49161         0.08000   1669657.90116         0.08000   5311505.57861
4.1         0.08200 282186321.68054         0.08200   1542600.11291         0.08200   4971302.19262
4.2         0.08400 254408171.57771         0.08400   1426205.65706         0.08400   4656489.75170
4.3         0.08600 229497605.32569         0.08600   1319478.99222         0.08600   4364875.90107
4.4         0.08800 207141015.10176         0.08800   1221528.97668         0.08800   4094487.30417
4.5         0.09000 187061532.24639         0.09000   1131556.49496         0.09000   3843544.37453
4.6         0.09200 169014368.00735         0.09200   1048843.74146         0.09200   3610439.34784
4.7         0.09400 152782799.15082         0.09400    972744.91220         0.09400   3393717.19458
4.8         0.09600 138174700.62878         0.09600    902678.09685         0.09600   3192058.95712
4.9         0.09800 125019543.74516         0.09800    838118.19763         0.09800   3004267.16291
5.0         0.10000 113165791.56872         0.10000    778590.72938         0.10000   2829253.02154
5.1         0.10200 102478634.27916         0.10200    723666.37807         0.10200   2666025.15926
5.2         0.10400  92838016.16081         0.10400    672956.21407         0.10400   2513679.68234
5.3         0.10600  84136913.43686         0.10600    626107.47212         0.10600   2371391.39250
5.4         0.10800  76279828.35528         0.10800    582799.82317         0.10800   2238406.00381
5.5         0.11000  69181470.12498         0.11000    542742.07430         0.11000   2114033.23224
5.6         0.11200  62765597.64293         0.11200    505669.24175         0.11200   1997640.64775
5.7         0.11400  56964002.59828         0.11400    471339.95049         0.11400   1888648.19425
5.8         0.11600  51715614.61033         0.11600    439534.11954         0.11600   1786523.29573
5.9         0.11800  46965712.64974         0.11800    410050.89844         0.11800   1690776.47815
6.0         0.12000  42665229.18908         0.12000    382706.82461         0.12000   1600957.44607
6.1         0.12200  38770135.39320         0.12200    357334.17530         0.12200   1516651.56101
6.2         0.12400  35240897.24770         0.12400    333779.49170         0.12400   1437476.67538
6.3         0.12600  32041993.87863         0.12600    311902.25501         0.12600   1363080.28185
6.4         0.12800  29141490.47508         0.12800    291573.69757         0.12800   1293136.94295
6.5         0.13000  26510659.21992         0.13000    272675.73356         0.13000   1227345.97003
6.6         0.13200  24123642.48739         0.13200    255099.99626         0.13200   1165429.32472
6.7         0.13400  21957153.30085         0.13400    238746.97014         0.13400   1107129.71894
6.8         0.13600  19990208.67779         0.13600    223525.20750         0.13600   1052208.89256
6.9         0.13800  18203892.03693         0.13800    209350.62066         0.13800   1000446.05025
7.0         0.14000  16581141.31627         0.14000    196145.84176         0.14000    951636.44109
7.1         0.14200  15106559.86254         0.14200    183839.64304         0.14200    905590.06645
7.2         0.14400  13766247.50945         0.14400    172366.41141         0.14400    862130.50336
7.3         0.14600  12547649.57326         0.14600    161665.67181         0.14600    821093.83181
7.4         0.14800  11439421.76530         0.14800    151681.65427         0.14800    782327.65581
7.5         0.15000  10431309.25740         0.15000    142362.90055         0.15000    745690.20927
7.6         0.15200   9514038.34302         0.15200    133661.90616         0.15200    711049.53835
7.7         0.15400   8679219.31816         0.15400    125534.79454         0.15400    678282.75333
7.8         0.15600   7919259.36423         0.15600    117941.02014         0.15600    647275.34314
7.9         0.15800   7227284.35507         0.15800    110843.09766         0.15800    617920.54712
8.0         0.16000   6597068.63194         0.16000    104206.35492         0.16000    590118.77843
8.1         0.16200   6022971.89851         0.16200     97998.70720         0.16200    563777.09466
8.2         0.16400   5499882.48256         0.16400     92190.45104         0.16400    538808.71125
8.3         0.16600   5023166.29466         0.16600     86754.07555         0.16600    515132.55402
8.4         0.16800   4588620.88808         0.16800     81664.08981         0.16800    492672.84728
8.5         0.17000   4192434.08939         0.17000     76896.86482         0.17000    471358.73446
8.6         0.17200   3831146.72699         0.17200     72430.48860         0.17200    451123.92841
8.7         0.17400   3501619.03578         0.17400     68244.63339         0.17400    431906.38893
8.8         0.17600   3201000.36176         0.17600     64320.43379         0.17600    413648.02504
8.9         0.17800   2926701.83032         0.17800     60640.37490         0.17800    396294.42010
9.0         0.18000   2676371.67778         0.18000     57188.18958         0.18000    379794.57772
9.1         0.18200   2447872.97751         0.18200     53948.76401         0.18200    364100.68686
9.2         0.18400   2239263.52003         0.18400     50908.05087         0.18400    349167.90440
9.3         0.18600   2048777.63175         0.18600     48052.98951         0.18600    334954.15399
9.4         0.18800   1874809.73940         0.18800     45371.43237         0.18800    321419.93956
9.5         0.19000   1715899.50694         0.19000     42852.07733         0.19000    308528.17261
9.6         0.19200   1570718.38988         0.19200     40484.40529         0.19200    296244.01195
9.7         0.19400   1438057.46744         0.19400     38258.62272         0.19400    284534.71512
9.8         0.19600   1316816.42750         0.19600     36165.60861         0.19600    273369.50033
9.9         0.19800   1205993.59191         0.19800     34196.86558         0.19800    262719.41840
10.0         0.20000   1104676.88078         0.20000     32344.47469         0.20000    252557.23361
