   n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
 0.0          0.0000         0.00000        0.000000        0.000000
 0.1          0.0000         4.20000       -0.000007       -0.000007
 0.2          0.0000         8.40000       -0.000013       -0.000013
 0.3          0.0001        12.60000       -0.000020       -0.000020
 0.4          0.0001        16.80000       -0.000026       -0.000026
 0.5          0.0001        21.00000       -0.000033       -0.000033
 0.6          0.0001        25.20000       -0.000040       -0.000040
 0.7          0.0001        29.40000       -0.000046       -0.000046
 0.8          0.0002        33.60000       -0.000053       -0.000053
 0.9          0.0002        37.80000       -0.000059       -0.000059
 1.0          0.0002        42.00000       -0.000066       -0.000066
 1.1          0.0002        46.20000       -0.000073       -0.000073
 1.2          0.0002        50.40000       -0.000079       -0.000079
 1.3          0.0003        54.60000       -0.000086       -0.000086
 1.4          0.0003        58.80000       -0.000092       -0.000092
 1.5          0.0003        63.00000       -0.000099       -0.000099
 1.6          0.0003        67.20000       -0.000106       -0.000106
 1.7          0.0003        71.40000       -0.000112       -0.000112
 1.8          0.0004        75.60000       -0.000119       -0.000119
 1.9          0.0004        79.80000       -0.000125       -0.000125
 2.0          0.0004        84.00000       -0.000132       -0.000132
 2.1          0.0004        88.20000       -0.000139       -0.000139
 2.2          0.0004        92.40000       -0.000145       -0.000145
 2.3          0.0005        96.60000       -0.000152       -0.000152
 2.4          0.0005       100.80000       -0.000158       -0.000158
 2.5          0.0005       105.00000       -0.000165       -0.000165
 2.6          0.0005       109.20000       -0.000172       -0.000172
 2.7          0.0005       113.40000       -0.000178       -0.000178
 2.8          0.0006       117.60000       -0.000185       -0.000185
 2.9          0.0006       121.80000       -0.000191       -0.000191
 3.0          0.0006       126.00000       -0.000198       -0.000198
 3.1          0.0006       130.20000       -0.000205       -0.000205
 3.2          0.0006       134.40000       -0.000211       -0.000211
 3.3          0.0007       138.60000       -0.000218       -0.000218
 3.4          0.0007       142.80000       -0.000224       -0.000224
 3.5          0.0007       147.00000       -0.000231       -0.000231
 3.6          0.0007       151.20000       -0.000238       -0.000238
 3.7          0.0007       155.40000       -0.000244       -0.000244
 3.8          0.0008       159.60000       -0.000251       -0.000251
 3.9          0.0008       163.80000       -0.000257       -0.000257
 4.0          0.0008       168.00000       -0.000264       -0.000264
 4.1          0.0008       172.20000       -0.000271       -0.000271
 4.2          0.0008       176.40000       -0.000277       -0.000277
 4.3          0.0009       180.60000       -0.000284       -0.000284
 4.4          0.0009       184.80000       -0.000290       -0.000290
 4.5          0.0009       189.00000       -0.000297       -0.000297
 4.6          0.0009       193.20000       -0.000304       -0.000304
 4.7          0.0009       197.40000       -0.000310       -0.000310
 4.8          0.0010       198.35224       -0.000314       -0.000314
 4.9          0.0010       194.14885       -0.000314       -0.000314
 5.0          0.0010       190.11372       -0.000314       -0.000314
 5.1          0.0010       186.23695       -0.000314       -0.000314
 5.2          0.0010       182.50941       -0.000314       -0.000314
 5.3          0.0011       178.92264       -0.000314       -0.000314
 5.4          0.0011       175.46883       -0.000313       -0.000313
 5.5          0.0011       172.14072       -0.000313       -0.000313
 5.6          0.0011       168.93158       -0.000313       -0.000313
 5.7          0.0011       165.83514       -0.000313       -0.000313
 5.8          0.0012       162.84559       -0.000313       -0.000313
 5.9          0.0012       159.95748       -0.000313       -0.000313
 6.0          0.0012       157.16573       -0.000313       -0.000313
 6.1          0.0012       154.46563       -0.000313       -0.000313
 6.2          0.0012       151.85271       -0.000312       -0.000312
 6.3          0.0013       149.32285       -0.000312       -0.000312
 6.4          0.0013       146.87213       -0.000312       -0.000312
 6.5          0.0013       144.49692       -0.000312       -0.000312
 6.6          0.0013       142.19377       -0.000312       -0.000312
 6.7          0.0013       139.95946       -0.000312       -0.000312
 6.8          0.0014       137.79096       -0.000312       -0.000312
 6.9          0.0014       135.68540       -0.000312       -0.000312
 7.0          0.0014       133.64008       -0.000311       -0.000311
 7.1          0.0014       131.65246       -0.000311       -0.000311
 7.2          0.0014       129.72014       -0.000311       -0.000311
 7.3          0.0015       127.84083       -0.000311       -0.000311
 7.4          0.0015       126.01240       -0.000311       -0.000311
 7.5          0.0015       124.23281       -0.000311       -0.000311
 7.6          0.0015       122.50013       -0.000311       -0.000311
 7.7          0.0015       120.81253       -0.000311       -0.000311
 7.8          0.0016       119.16828       -0.000310       -0.000310
 7.9          0.0016       117.56573       -0.000310       -0.000310
 8.0          0.0016       116.00332       -0.000310       -0.000310
 8.1          0.0016       114.47956       -0.000310       -0.000310
 8.2          0.0016       112.99304       -0.000310       -0.000310
 8.3          0.0017       111.54241       -0.000310       -0.000310
 8.4          0.0017       110.12638       -0.000310       -0.000310
 8.5          0.0017       108.74375       -0.000310       -0.000310
 8.6          0.0017       107.39334       -0.000309       -0.000309
 8.7          0.0017       106.07404       -0.000309       -0.000309
 8.8          0.0018       104.78479       -0.000309       -0.000309
 8.9          0.0018       103.52458       -0.000309       -0.000309
 9.0          0.0018       102.29244       -0.000309       -0.000309
 9.1          0.0018       101.08745       -0.000309       -0.000309
 9.2          0.0018        99.90871       -0.000309       -0.000309
 9.3          0.0019        98.75539       -0.000309       -0.000309
 9.4          0.0019        97.62667       -0.000309       -0.000309
 9.5          0.0019        96.52177       -0.000308       -0.000308
 9.6          0.0019        95.43995       -0.000308       -0.000308
 9.7          0.0019        94.38050       -0.000308       -0.000308
 9.8          0.0020        93.34273       -0.000308       -0.000308
 9.9          0.0020        92.32598       -0.000308       -0.000308
10.0          0.0020        91.32963       -0.000308       -0.000308
