 n    Epsilon_{11}      Sigma_{11}    Epsilon_{12}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0020 118498965.54184          0.0000
0.2          0.0040 236997931.08368          0.0000
0.3          0.0060 355496896.62553          0.0000
0.4          0.0080 473995862.16737          0.0000
0.5          0.0100 592494827.70921          0.0000
0.6          0.0120 710993793.25105          0.0000
0.7          0.0140 829492758.79289          0.0000
0.8          0.0160 947991724.33474          0.0000
0.9          0.0180 1066490689.87658          0.0000
1.0          0.0200 1184989655.41842          0.0000
1.1          0.0220 1303488620.96026          0.0000
1.2          0.0240 1421987586.50210          0.0000
1.3          0.0260 1540486552.04395          0.0000
1.4          0.0280 1658985517.58579          0.0000
1.5          0.0300 1777484483.12763          0.0000
1.6          0.0320 1895983448.66947          0.0000
1.7          0.0340 2014482414.21132          0.0000
1.8          0.0360 2132981379.75316          0.0000
1.9          0.0380 2251480345.29500          0.0000
2.0          0.0400 2369979310.83684          0.0000
2.1          0.0420 2488478276.37868          0.0000
2.2          0.0440 2406375421.61718          0.0000
2.3          0.0460 2306754690.75445          0.0000
2.4          0.0480 2211258125.19380          0.0000
2.5          0.0500 2119714989.99593          0.0000
2.6          0.0520 2031961618.42011          0.0000
2.7          0.0540 1947841119.31030          0.0000
2.8          0.0560 1867203096.59489          0.0000
2.9          0.0580 1789903380.39893          0.0000
3.0          0.0600 1715803769.28788          0.0000
3.1          0.0620 1644771783.18215          0.0000
3.2          0.0640 1576680426.50062          0.0000
3.3          0.0660 1511407961.10975          0.0000
3.4          0.0680 1448837688.67225          0.0000
3.5          0.0700 1388857742.00623          0.0000
3.6          0.0720 1331360885.08187          0.0000
3.7          0.0740 1276244321.29783          0.0000
3.8          0.0760 1223409509.69489          0.0000
3.9          0.0780 1172761988.77801          0.0000
4.0          0.0800 1124211207.63199          0.0000
4.1          0.0820 1077670364.02867          0.0000
4.2          0.0840 1033056249.23627          0.0000
4.3          0.0860 990289099.25347          0.0000
4.4          0.0880 949292452.20214          0.0000
4.5          0.0900 909993011.62387          0.0000
4.6          0.0920 872320515.43580          0.0000
4.7          0.0940 836207610.31152          0.0000
4.8          0.0960 801589731.26244          0.0000
4.9          0.0980 768404986.20435          0.0000
5.0          0.1000 736594045.30270          0.0000
5.1          0.1020 706100034.89892          0.0000
5.2          0.1040 676868435.82800          0.0000
5.3          0.1060 648846985.94560          0.0000
5.4          0.1080 621985586.69039          0.0000
5.5          0.1100 596236213.51464          0.0000
5.6          0.1120 571552830.02278          0.0000
5.7          0.1140 547891305.66460          0.0000
5.8          0.1160 525209336.83574          0.0000
5.9          0.1180 503466371.24463          0.0000
6.0          0.1200 482623535.41044          0.0000
6.1          0.1220 462643565.16256          0.0000
6.2          0.1240 443490739.01731          0.0000
6.3          0.1260 425130814.31277          0.0000
6.4          0.1280 407530965.98751          0.0000
6.5          0.1300 390659727.89383          0.0000
6.6          0.1320 374486936.54058          0.0000
6.7          0.1340 358983677.16484          0.0000
6.8          0.1360 344122232.03634          0.0000
6.9          0.1380 329876030.90180          0.0000
7.0          0.1400 316219603.48099          0.0000
7.1          0.1420 303128533.92928          0.0000
7.2          0.1440 290579417.18544          0.0000
7.3          0.1460 278549817.12652          0.0000
7.4          0.1480 267018226.45511          0.0000
7.5          0.1500 255964028.24723          0.0000
7.6          0.1520 245367459.09202          0.0000
7.7          0.1540 235209573.75747          0.0000
7.8          0.1560 225472211.31887          0.0000
7.9          0.1580 216137962.68956          0.0000
8.0          0.1600 207190139.49585          0.0000
8.1          0.1620 198612744.24044          0.0000
8.2          0.1640 190390441.70105          0.0000
8.3          0.1660 182508531.51316          0.0000
8.4          0.1680 174952921.88771          0.0000
8.5          0.1700 167710104.41689          0.0000
8.6          0.1720 160767129.92298          0.0000
8.7          0.1740 154111585.30689          0.0000
8.8          0.1760 147731571.35530          0.0000
8.9          0.1780 141615681.46642          0.0000
9.0          0.1800 135752981.25656          0.0000
9.1          0.1820 130132989.01093          0.0000
9.2          0.1840 124745656.94372          0.0000
9.3          0.1860 119581353.23406          0.0000
9.4          0.1880 114630844.80561          0.0000
9.5          0.1900 109885280.81906          0.0000
9.6          0.1920 105336176.84804          0.0000
9.7          0.1940 100975399.71010          0.0000
9.8          0.1960  96795152.92570          0.0000
9.9          0.1980  92787962.77914          0.0000
10.0          0.2000  88946664.95658          0.0000
