 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0020 111600000.00000         -0.0001
0.2          0.0040 223200000.00000         -0.0002
0.3          0.0060 334800000.00000         -0.0003
0.4          0.0080 446400000.00000         -0.0003
0.5          0.0100 558000000.00000         -0.0004
0.6          0.0120 669600000.00000         -0.0005
0.7          0.0140 781200000.00000         -0.0006
0.8          0.0160 892800000.00000         -0.0007
0.9          0.0180 804913976.38366         -0.0008
1.0          0.0200 696024117.56808         -0.0009
1.1          0.0220 601865027.13368         -0.0009
1.2          0.0240 520443906.67424         -0.0010
1.3          0.0260 450037546.26564         -0.0011
1.4          0.0280 389155854.16887         -0.0012
1.5          0.0300 336510320.28451         -0.0013
1.6          0.0320 290986745.91400         -0.0014
1.7          0.0340 251621662.67599         -0.0015
1.8          0.0360 217581941.50376         -0.0015
1.9          0.0380 188147160.16525         -0.0016
2.0          0.0400 162694356.12898         -0.0017
2.1          0.0420 140684842.08306         -0.0018
2.2          0.0440 121652805.06869         -0.0019
2.3          0.0460 105195447.93848         -0.0020
2.4          0.0480  90964464.49162         -0.0021
2.5          0.0500  78658667.86447         -0.0021
2.6          0.0520  68017616.16244         -0.0022
2.7          0.0540  58816100.42510         -0.0023
2.8          0.0560  50859378.26685         -0.0024
2.9          0.0580  43979052.31723         -0.0025
3.0          0.0600  38029506.23135         -0.0026
3.1          0.0620  32884822.84175         -0.0027
3.2          0.0640  28436119.22686         -0.0028
3.3          0.0660  24589242.29501         -0.0028
3.4          0.0680  21262776.11298         -0.0029
3.5          0.0700  18386318.80586         -0.0030
3.6          0.0720  15898992.56026         -0.0031
3.7          0.0740  13748155.19628         -0.0032
3.8          0.0760  11888286.03980         -0.0033
3.9          0.0780  10280022.51548         -0.0034
4.0          0.0800   8889327.07078         -0.0034
4.1          0.0820   7686766.79962         -0.0035
4.2          0.0840   6646890.51952         -0.0036
4.3          0.0860   5747690.11865         -0.0037
4.4          0.0880   4970134.77249         -0.0038
4.5          0.0900   4297768.17239         -0.0039
4.6          0.0920   3716360.24155         -0.0040
4.7          0.0940   3213605.96733         -0.0040
4.8          0.0960   2778864.97594         -0.0041
4.9          0.0980   2402936.33788         -0.0042
5.0          0.1000   2077863.83790         -0.0043
5.1          0.1020   1796767.58838         -0.0044
5.2          0.1040   1553698.42228         -0.0045
5.3          0.1060   1343511.98397         -0.0046
5.4          0.1080   1161759.85325         -0.0046
5.5          0.1100   1004595.39828         -0.0047
5.6          0.1120    868692.36479         -0.0048
5.7          0.1140    751174.47874         -0.0049
5.8          0.1160    649554.57235         -0.0050
5.9          0.1180    561681.94527         -0.0051
6.0          0.1200    485696.84685         -0.0052
6.1          0.1220    419991.11601         -0.0052
6.2          0.1240    363174.14591         -0.0053
6.3          0.1260    314043.45290         -0.0054
6.4          0.1280    271559.22694         -0.0055
6.5          0.1300    234822.32493         -0.0056
6.6          0.1320    203055.24104         -0.0057
6.7          0.1340    175585.65152         -0.0058
6.8          0.1360    151832.18548         -0.0058
6.9          0.1380    131292.12067         -0.0059
7.0          0.1400    113530.74380         -0.0060
7.1          0.1420     98172.15018         -0.0061
7.2          0.1440     84891.28802         -0.0062
7.3          0.1460     73407.07897         -0.0063
7.4          0.1480     63476.46937         -0.0064
7.5          0.1500     54889.28615         -0.0064
7.6          0.1520     47463.78878         -0.0065
7.7          0.1540     41042.82280         -0.0066
7.8          0.1560     35490.49384         -0.0067
7.9          0.1580     30689.29150         -0.0068
8.0          0.1600     26537.60236         -0.0069
8.1          0.1620     22947.55937         -0.0070
8.2          0.1640     19843.18229         -0.0071
8.3          0.1660     17158.76957         -0.0071
8.4          0.1680     14837.50786         -0.0072
8.5          0.1700     12830.26959         -0.0073
8.6          0.1720     11094.57325         -0.0074
8.7          0.1740      9593.68427         -0.0075
8.8          0.1760      8295.83760         -0.0076
8.9          0.1780      7173.56539         -0.0077
9.0          0.1800      6203.11570         -0.0077
9.1          0.1820      5363.94976         -0.0078
9.2          0.1840      4638.30733         -0.0079
9.3          0.1860      4010.83080         -0.0080
9.4          0.1880      3468.24015         -0.0081
9.5          0.1900      2999.05190         -0.0082
9.6          0.1920      2593.33607         -0.0083
9.7          0.1940      2242.50604         -0.0083
9.8          0.1960      1939.13677         -0.0084
9.9          0.1980      1676.80770         -0.0085
10.0          0.2000      1449.96687         -0.0086
