 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 110000000.00000        -0.00066        -0.00066
0.2         0.00400 220000000.00000        -0.00132        -0.00132
0.3         0.00600 330000000.00000        -0.00198        -0.00198
0.4         0.00800 440000000.00000        -0.00264        -0.00264
0.5         0.01000 550000000.00000        -0.00330        -0.00330
0.6         0.01200 660000000.00000        -0.00396        -0.00396
0.7         0.01400 770000000.00000        -0.00462        -0.00462
0.8         0.01600 880000000.00000        -0.00528        -0.00528
0.9         0.01800 990000000.00000        -0.00594        -0.00594
1.0         0.02000 1100000000.00000        -0.00660        -0.00660
1.1         0.02200 1210000000.00000        -0.00726        -0.00726
1.2         0.02400 1320000000.00000        -0.00792        -0.00792
1.3         0.02600 1430000000.00000        -0.00858        -0.00858
1.4         0.02800 1540000000.00000        -0.00924        -0.00924
1.5         0.03000 1650000000.00000        -0.00990        -0.00990
1.6         0.03200 1760000000.00000        -0.01056        -0.01056
1.7         0.03400 1870000000.00000        -0.01122        -0.01122
1.8         0.03600 1980000000.00000        -0.01188        -0.01188
1.9         0.03800 2090000000.00000        -0.01254        -0.01254
2.0         0.04000 2200000000.00000        -0.01320        -0.01320
2.1         0.04200 2310000000.00000        -0.01386        -0.01386
2.2         0.04400 2242245724.07446        -0.01398        -0.01398
2.3         0.04600 1979860042.22568        -0.01343        -0.01343
2.4         0.04800 1751489453.18059        -0.01290        -0.01290
2.5         0.05000 1552155402.96460        -0.01240        -0.01240
2.6         0.05200 1377711562.12400        -0.01191        -0.01191
2.7         0.05400 1224684801.98762        -0.01144        -0.01144
2.8         0.05600 1090150611.31869        -0.01099        -0.01099
2.9         0.05800 971634613.14782        -0.01056        -0.01056
3.0         0.06000 867034067.64141        -0.01015        -0.01015
3.1         0.06200 774554826.49731        -0.00975        -0.00975
3.2         0.06400 692660339.59007        -0.00937        -0.00937
3.3         0.06600 620030140.09145        -0.00900        -0.00900
3.4         0.06800 555525841.17167        -0.00865        -0.00865
3.5         0.07000 498163128.11645        -0.00831        -0.00831
3.6         0.07200 447088567.65552        -0.00798        -0.00798
3.7         0.07400 401560311.97499        -0.00767        -0.00767
3.8         0.07600 360931969.93780        -0.00737        -0.00737
3.9         0.07800 324639068.01431        -0.00708        -0.00708
4.0         0.08000 292187639.60074        -0.00680        -0.00680
4.1         0.08200 263144572.02690        -0.00654        -0.00654
4.2         0.08400 237129411.71283        -0.00628        -0.00628
4.3         0.08600 213807384.15741        -0.00603        -0.00603
4.4         0.08800 192883430.12810        -0.00580        -0.00580
4.5         0.09000 174097095.13619        -0.00557        -0.00557
4.6         0.09200 157218137.97911        -0.00535        -0.00535
4.7         0.09400 142042747.30599        -0.00514        -0.00514
4.8         0.09600 128390273.96708        -0.00494        -0.00494
4.9         0.09800 116100402.23615        -0.00475        -0.00475
5.0         0.10000 105030695.54373        -0.00456        -0.00456
5.1         0.10200  95054462.67527        -0.00438        -0.00438
5.2         0.10400  86058898.90230        -0.00421        -0.00421
5.3         0.10600  77943463.56782        -0.00404        -0.00404
5.4         0.10800  70618461.51135        -0.00389        -0.00389
5.5         0.11000  64003800.61093        -0.00373        -0.00373
5.6         0.11200  58027901.81456        -0.00359        -0.00359
5.7         0.11400  52626741.47098        -0.00345        -0.00345
5.8         0.11600  47743008.66567        -0.00331        -0.00331
5.9         0.11800  43325362.71267        -0.00318        -0.00318
6.0         0.12000  39327778.02431        -0.00306        -0.00306
6.1         0.12200  35708965.33899        -0.00294        -0.00294
6.2         0.12400  32431859.78444        -0.00282        -0.00282
6.3         0.12600  29463167.53120        -0.00271        -0.00271
6.4         0.12800  26772963.88369        -0.00260        -0.00260
6.5         0.13000  24334336.59299        -0.00250        -0.00250
6.6         0.13200  22123068.98008        -0.00240        -0.00240
6.7         0.13400  20117358.15091        -0.00231        -0.00231
6.8         0.13600  18297564.18235        -0.00222        -0.00222
6.9         0.13800  16645986.67411        -0.00213        -0.00213
7.0         0.14000  15146665.50917        -0.00205        -0.00205
7.1         0.14200  13785203.05258        -0.00197        -0.00197
7.2         0.14400  12548605.35560        -0.00189        -0.00189
7.3         0.14600  11425140.22498        -0.00182        -0.00182
7.4         0.14800  10404210.27304        -0.00175        -0.00175
7.5         0.15000   9476239.28663        -0.00168        -0.00168
7.6         0.15200   8632570.44845        -0.00161        -0.00161
7.7         0.15400   7865375.11448        -0.00155        -0.00155
7.8         0.15600   7167571.00096        -0.00149        -0.00149
7.9         0.15800   6532748.76557        -0.00143        -0.00143
8.0         0.16000   5955106.08268        -0.00137        -0.00137
8.1         0.16200   5429388.41421        -0.00132        -0.00132
8.2         0.16400   4950835.76682        -0.00127        -0.00127
8.3         0.16600   4515134.80505        -0.00122        -0.00122
8.4         0.16800   4118375.75963        -0.00117        -0.00117
8.5         0.17000   3757013.63152        -0.00112        -0.00112
8.6         0.17200   3427833.24689        -0.00108        -0.00108
8.7         0.17400   3127917.76608        -0.00104        -0.00104
8.8         0.17600   2854620.29252        -0.00100        -0.00100
8.9         0.17800   2605538.26537        -0.00096        -0.00096
9.0         0.18000   2378490.35319        -0.00092        -0.00092
9.1         0.18200   2171495.59591        -0.00088        -0.00088
9.2         0.18400   1982754.56894        -0.00085        -0.00085
9.3         0.18600   1810632.36687        -0.00082        -0.00082
9.4         0.18800   1653643.22520        -0.00078        -0.00078
9.5         0.19000   1510436.61762        -0.00075        -0.00075
9.6         0.19200   1379784.68262        -0.00072        -0.00072
9.7         0.19400   1260570.84868        -0.00070        -0.00070
9.8         0.19600   1151779.54031        -0.00067        -0.00067
9.9         0.19800   1052486.85927        -0.00064        -0.00064
