 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0020 111600000.00000         -0.0001
0.2          0.0040 223200000.00000         -0.0002
0.3          0.0060 334800000.00000         -0.0003
0.4          0.0080 446400000.00000         -0.0003
0.5          0.0100 558000000.00000         -0.0004
0.6          0.0120 669600000.00000         -0.0005
0.7          0.0140 781200000.00000         -0.0006
0.8          0.0160 892800000.00000         -0.0007
0.9          0.0180 891500617.22656         -0.0008
1.0          0.0200 869979536.03591         -0.0009
1.1          0.0220 848977979.93213         -0.0009
1.2          0.0240 828483407.43028         -0.0010
1.3          0.0260 808483579.80046         -0.0011
1.4          0.0280 788966553.75922         -0.0012
1.5          0.0300 769920674.33742         -0.0013
1.6          0.0320 751334567.92021         -0.0014
1.7          0.0340 733197135.45510         -0.0015
1.8          0.0360 715497545.82389         -0.0015
1.9          0.0380 698225229.37470         -0.0016
2.0          0.0400 681369871.61008         -0.0017
2.1          0.0420 664921407.02751         -0.0018
2.2          0.0440 648870013.10862         -0.0019
2.3          0.0460 633206104.45342         -0.0020
2.4          0.0480 617920327.05626         -0.0021
2.5          0.0500 603003552.71986         -0.0021
2.6          0.0520 588446873.60425         -0.0022
2.7          0.0540 574241596.90728         -0.0023
2.8          0.0560 560379239.67355         -0.0024
2.9          0.0580 546851523.72862         -0.0025
3.0          0.0600 533650370.73558         -0.0026
3.1          0.0620 520767897.37090         -0.0027
3.2          0.0640 508196410.61672         -0.0028
3.3          0.0660 495928403.16687         -0.0028
3.4          0.0680 483956548.94370         -0.0029
3.5          0.0700 472273698.72318         -0.0030
3.6          0.0720 460872875.86559         -0.0031
3.7          0.0740 449747272.14932         -0.0032
3.8          0.0760 438890243.70518         -0.0033
3.9          0.0780 428295307.04888         -0.0034
4.0          0.0800 417956135.20933         -0.0034
4.1          0.0820 407866553.95031         -0.0035
4.2          0.0840 398020538.08347         -0.0036
4.3          0.0860 388412207.87021         -0.0037
4.4          0.0880 379035825.51052         -0.0038
4.5          0.0900 369885791.71654         -0.0039
4.6          0.0920 360956642.36882         -0.0040
4.7          0.0940 352243045.25333         -0.0040
4.8          0.0960 343739796.87721         -0.0041
4.9          0.0980 335441819.36143         -0.0042
5.0          0.1000 327344157.40840         -0.0043
5.1          0.1020 319441975.34285         -0.0044
5.2          0.1040 311730554.22411         -0.0045
5.3          0.1060 304205289.02807         -0.0046
5.4          0.1080 296861685.89724         -0.0046
5.5          0.1100 289695359.45715         -0.0047
5.6          0.1120 282702030.19752         -0.0048
5.7          0.1140 275877521.91667         -0.0049
5.8          0.1160 269217759.22765         -0.0050
5.9          0.1180 262718765.12451         -0.0051
6.0          0.1200 256376658.60736         -0.0052
6.1          0.1220 250187652.36479         -0.0052
6.2          0.1240 244148050.51214         -0.0053
6.3          0.1260 238254246.38449         -0.0054
6.4          0.1280 232502720.38285         -0.0055
6.5          0.1300 226890037.87235         -0.0056
6.6          0.1320 221412847.13120         -0.0057
6.7          0.1340 216067877.34914         -0.0058
6.8          0.1360 210851936.67420         -0.0058
6.9          0.1380 205761910.30665         -0.0059
7.0          0.1400 200794758.63891         -0.0060
7.1          0.1420 195947515.44039         -0.0061
7.2          0.1440 191217286.08618         -0.0062
7.3          0.1460 186601245.82845         -0.0063
7.4          0.1480 182096638.10956         -0.0064
7.5          0.1500 177700772.91600         -0.0064
7.6          0.1520 173411025.17195         -0.0065
7.7          0.1540 169224833.17167         -0.0066
7.8          0.1560 165139697.04974         -0.0067
7.9          0.1580 161153177.28819         -0.0068
8.0          0.1600 157262893.25974         -0.0069
8.1          0.1620 153466521.80612         -0.0070
8.2          0.1640 149761795.85079         -0.0071
8.3          0.1660 146146503.04506         -0.0071
8.4          0.1680 142618484.44699         -0.0072
8.5          0.1700 139175633.23213         -0.0073
8.6          0.1720 135815893.43535         -0.0074
8.7          0.1740 132537258.72313         -0.0075
8.8          0.1760 129337771.19541         -0.0076
8.9          0.1780 126215520.21642         -0.0077
9.0          0.1800 123168641.27364         -0.0077
9.1          0.1820 120195314.86447         -0.0078
9.2          0.1840 117293765.40960         -0.0079
9.3          0.1860 114462260.19271         -0.0080
9.4          0.1880 111699108.32576         -0.0081
9.5          0.1900 109002659.73924         -0.0082
9.6          0.1920 106371304.19678         -0.0083
9.7          0.1940 103803470.33359         -0.0083
9.8          0.1960 101297624.71805         -0.0084
9.9          0.1980  98852270.93607         -0.0085
10.0          0.2000  96465948.69738         -0.0086
