 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.00500 275000000.00000        -0.00165        -0.00165
0.2         0.01000 550000000.00000        -0.00330        -0.00330
0.3         0.01500 825000000.00000        -0.00495        -0.00495
0.4         0.02000 1100000000.00000        -0.00660        -0.00660
0.5         0.02500 1375000000.00000        -0.00825        -0.00825
0.6         0.03000 1650000000.00000        -0.00990        -0.00990
0.7         0.03500 1925000000.00000        -0.01155        -0.01155
0.8         0.04000 2200000000.00000        -0.01320        -0.01320
0.9         0.04500 2475000000.00000        -0.01485        -0.01485
1.0         0.05000 2357182859.63719        -0.01650        -0.01650
1.1         0.05500 2209489117.18049        -0.01815        -0.01815
1.2         0.06000 2071049405.00476        -0.01980        -0.01980
1.3         0.06500 1941283894.37104        -0.02145        -0.02145
1.4         0.07000 1819649086.80474        -0.02310        -0.02310
1.5         0.07500 1705635537.75430        -0.02475        -0.02475
1.6         0.08000 1598765722.87839        -0.02640        -0.02640
1.7         0.08500 1498592038.02488        -0.02805        -0.02805
1.8         0.09000 1404694924.52484        -0.02970        -0.02970
1.9         0.09500 1316681111.94989        -0.03135        -0.03135
2.0         0.10000 1234181970.97283        -0.03300        -0.03300
2.1         0.10500 1156851969.43293        -0.03465        -0.03465
2.2         0.11000 1084367225.13938        -0.03630        -0.03630
2.3         0.11500 1016424149.35150        -0.03795        -0.03795
2.4         0.12000 952738175.25435        -0.03960        -0.03960
2.5         0.12500 893042566.10406        -0.04125        -0.04125
2.6         0.13000 837087298.05101        -0.04290        -0.04290
2.7         0.13500 784638012.96197        -0.04455        -0.04455
2.8         0.14000 735475036.85498        -0.04620        -0.04620
2.9         0.14500 689392459.83620        -0.04785        -0.04785
3.0         0.15000 646197273.68492        -0.04950        -0.04950
3.1         0.15500 605708563.47491        -0.05115        -0.05115
3.2         0.16000 567756749.84623        -0.05280        -0.05280
3.3         0.16500 532182878.75387        -0.05445        -0.05445
3.4         0.17000 498837955.71866        -0.05610        -0.05610
3.5         0.17500 467582321.79178        -0.05775        -0.05775
3.6         0.18000 438285068.61955        -0.05940        -0.05940
3.7         0.18500 410823490.15836        -0.06105        -0.06105
3.8         0.19000 385082568.74340        -0.06270        -0.06270
3.9         0.19500 360954493.35882        -0.06435        -0.06435
4.0         0.20000 338338208.09153        -0.06600        -0.06600
4.1         0.20500 317138988.87745        -0.06765        -0.06765
4.2         0.21000 297268046.76757        -0.06930        -0.06930
4.3         0.21500 278642156.05214        -0.07095        -0.07095
4.4         0.22000 261183305.68536        -0.07260        -0.07260
4.5         0.22500 244818372.55080        -0.07425        -0.07425
4.6         0.23000 229478815.19896        -0.07590        -0.07590
4.7         0.23500 215100386.77424        -0.07755        -0.07755
4.8         0.24000 201622865.92910        -0.07920        -0.07920
4.9         0.24500 188989804.59821        -0.08085        -0.08085
5.0         0.25000 177148291.57637        -0.08250        -0.08250
5.1         0.25500 166048730.90980        -0.08415        -0.08415
5.2         0.26000 155644634.17289        -0.08580        -0.08580
5.3         0.26500 145892425.76008        -0.08745        -0.08745
5.4         0.27000 136751260.37764        -0.08910        -0.08910
5.5         0.27500 128182851.97085        -0.09075        -0.09075
5.6         0.28000 120151313.37004        -0.09240        -0.09240
5.7         0.28500 112623005.98389        -0.09405        -0.09405
5.8         0.29000 105566398.91055        -0.09570        -0.09570
5.9         0.29500  98951936.87633        -0.09735        -0.09735
6.0         0.30000  92751916.44904        -0.09900        -0.09900
6.1         0.30500  86940370.00733        -0.10065        -0.10065
6.2         0.31000  81492956.98019        -0.10230        -0.10230
6.3         0.31500  76386861.90103        -0.10395        -0.10395
6.4         0.32000  71600698.84942        -0.10560        -0.10560
6.5         0.32500  67114421.88013        -0.10725        -0.10725
6.6         0.33000  62909241.06450        -0.10890        -0.10890
6.7         0.33500  58967543.79229        -0.11055        -0.11055
6.8         0.34000  55272821.00464        -0.11220        -0.11220
6.9         0.34500  51809598.04892        -0.11385        -0.11385
7.0         0.35000  48563369.86610        -0.11550        -0.11550
7.1         0.35500  45520540.23898        -0.11715        -0.11715
7.2         0.36000  42668364.84705        -0.11880        -0.11880
7.3         0.36500  39994897.88923        -0.12045        -0.12045
7.4         0.37000  37488942.05119        -0.12210        -0.12210
7.5         0.37500  35140001.60746        -0.12375        -0.12375
7.6         0.38000  32938238.46205        -0.12540        -0.12540
7.7         0.38500  30874430.94347        -0.12705        -0.12705
7.8         0.39000  28939935.18145        -0.12870        -0.12870
7.9         0.39500  27126648.90376        -0.13035        -0.13035
8.0         0.40000  25426977.50129        -0.13200        -0.13200
8.1         0.40500  23833802.21955        -0.13365        -0.13365
8.2         0.41000  22340450.34301        -0.13530        -0.13530
8.3         0.41500  20940667.24776        -0.13695        -0.13695
8.4         0.42000  19628590.20515        -0.13860        -0.13860
8.5         0.42500  18398723.82686        -0.14025        -0.14025
8.6         0.43000  17245917.04851        -0.14190        -0.14190
8.7         0.43500  16165341.55536        -0.14355        -0.14355
8.8         0.44000  15152471.55987        -0.14520        -0.14520
8.9         0.44500  14203064.84626        -0.14685        -0.14685
9.0         0.45000  13313145.00278        -0.14850        -0.14850
9.1         0.45500  12478984.76728        -0.15015        -0.15015
9.2         0.46000  11697090.41623        -0.15180        -0.15180
9.3         0.46500  10964187.13197        -0.15345        -0.15345
9.4         0.47000  10277205.28671        -0.15510        -0.15510
9.5         0.47500   9633267.58600        -0.15675        -0.15675
9.6         0.48000   9029677.01769        -0.15840        -0.15840
9.7         0.48500   8463905.55602        -0.16005        -0.16005
9.8         0.49000   7933583.57346        -0.16170        -0.16170
9.9         0.49500   7436489.91598        -0.16335        -0.16335
