 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{12}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.00040  22000000.00000        -0.00013         0.00000
0.2         0.00080  44000000.00000        -0.00026         0.00000
0.3         0.00120  66000000.00000        -0.00040         0.00000
0.4         0.00160  88000000.00000        -0.00053         0.00000
0.5         0.00200 220000000.00000        -0.00066         0.00000
0.6         0.00240             NaN        -0.00066         0.00000
0.7         0.00280             NaN             NaN             NaN
0.8         0.00320             NaN             NaN             NaN
0.9         0.00360             NaN             NaN             NaN
1.0         0.00400             NaN             NaN             NaN
1.1         0.00440             NaN             NaN             NaN
1.2         0.00480             NaN             NaN             NaN
1.3         0.00520             NaN             NaN             NaN
1.4         0.00560             NaN             NaN             NaN
1.5         0.00600             NaN             NaN             NaN
1.6         0.00640             NaN             NaN             NaN
1.7         0.00680             NaN             NaN             NaN
1.8         0.00720             NaN             NaN             NaN
1.9         0.00760             NaN             NaN             NaN
2.0         0.00800             NaN             NaN             NaN
2.1         0.00840             NaN             NaN             NaN
2.2         0.00880             NaN             NaN             NaN
2.3         0.00920             NaN             NaN             NaN
2.4         0.00960             NaN             NaN             NaN
2.5         0.01000             NaN             NaN             NaN
2.6         0.01040             NaN             NaN             NaN
2.7         0.01080             NaN             NaN             NaN
2.8         0.01120             NaN             NaN             NaN
2.9         0.01160             NaN             NaN             NaN
3.0         0.01200             NaN             NaN             NaN
3.1         0.01240             NaN             NaN             NaN
3.2         0.01280             NaN             NaN             NaN
3.3         0.01320             NaN             NaN             NaN
3.4         0.01360             NaN             NaN             NaN
3.5         0.01400             NaN             NaN             NaN
3.6         0.01440             NaN             NaN             NaN
3.7         0.01480             NaN             NaN             NaN
3.8         0.01520             NaN             NaN             NaN
3.9         0.01560             NaN             NaN             NaN
4.0         0.01600             NaN             NaN             NaN
4.1         0.01640             NaN             NaN             NaN
4.2         0.01680             NaN             NaN             NaN
4.3         0.01720             NaN             NaN             NaN
4.4         0.01760             NaN             NaN             NaN
4.5         0.01800             NaN             NaN             NaN
4.6         0.01840             NaN             NaN             NaN
4.7         0.01880             NaN             NaN             NaN
4.8         0.01920             NaN             NaN             NaN
4.9         0.01960             NaN             NaN             NaN
5.0         0.02000             NaN             NaN             NaN
5.1         0.02040             NaN             NaN             NaN
5.2         0.02080             NaN             NaN             NaN
5.3         0.02120             NaN             NaN             NaN
5.4         0.02160             NaN             NaN             NaN
5.5         0.02200             NaN             NaN             NaN
5.6         0.02240             NaN             NaN             NaN
5.7         0.02280             NaN             NaN             NaN
5.8         0.02320             NaN             NaN             NaN
5.9         0.02360             NaN             NaN             NaN
6.0         0.02400             NaN             NaN             NaN
6.1         0.02440             NaN             NaN             NaN
6.2         0.02480             NaN             NaN             NaN
6.3         0.02520             NaN             NaN             NaN
6.4         0.02560             NaN             NaN             NaN
6.5         0.02600             NaN             NaN             NaN
6.6         0.02640             NaN             NaN             NaN
6.7         0.02680             NaN             NaN             NaN
6.8         0.02720             NaN             NaN             NaN
6.9         0.02760             NaN             NaN             NaN
7.0         0.02800             NaN             NaN             NaN
7.1         0.02840             NaN             NaN             NaN
7.2         0.02880             NaN             NaN             NaN
7.3         0.02920             NaN             NaN             NaN
7.4         0.02960             NaN             NaN             NaN
7.5         0.03000             NaN             NaN             NaN
7.6         0.03040             NaN             NaN             NaN
7.7         0.03080             NaN             NaN             NaN
7.8         0.03120             NaN             NaN             NaN
7.9         0.03160             NaN             NaN             NaN
8.0         0.03200             NaN             NaN             NaN
8.1         0.03240             NaN             NaN             NaN
8.2         0.03280             NaN             NaN             NaN
8.3         0.03320             NaN             NaN             NaN
8.4         0.03360             NaN             NaN             NaN
8.5         0.03400             NaN             NaN             NaN
8.6         0.03440             NaN             NaN             NaN
8.7         0.03480             NaN             NaN             NaN
8.8         0.03520             NaN             NaN             NaN
8.9         0.03560             NaN             NaN             NaN
9.0         0.03600             NaN             NaN             NaN
9.1         0.03640             NaN             NaN             NaN
9.2         0.03680             NaN             NaN             NaN
9.3         0.03720             NaN             NaN             NaN
9.4         0.03760             NaN             NaN             NaN
9.5         0.03800             NaN             NaN             NaN
9.6         0.03840             NaN             NaN             NaN
9.7         0.03880             NaN             NaN             NaN
9.8         0.03920             NaN             NaN             NaN
9.9         0.03960             NaN             NaN             NaN
10.0         0.04000             NaN             NaN             NaN
