   n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
 0.0          0.0000         0.00000        0.000000        0.000000
 1.0          0.0003        63.00000       -0.000099       -0.000099
 2.0          0.0006       126.00000       -0.000198       -0.000198
 3.0          0.0009       189.00000       -0.000297       -0.000297
 4.0          0.0012       177.95185     -284.293011       -0.000469
 5.0          0.0015       142.19075     -284.293011       -0.000469
 6.0          0.0018       118.35019     -284.293011       -0.000468
 7.0          0.0021       101.32136     -284.293011       -0.000468
 8.0          0.0024        88.54987     -284.293011       -0.000468
 9.0          0.0027        78.61659     -284.293011       -0.000467
10.0          0.0030        70.67008     -284.293011       -0.000467
