 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000
0.1         0.00002         6.26866         0.00002         6.26866        -0.00002
0.2         0.00004        12.53731         0.00004        12.53731        -0.00004
0.3         0.00006        18.80597         0.00006        18.80597        -0.00006
0.4         0.00008        25.07463         0.00008        25.07463        -0.00008
0.5         0.00010        31.34328         0.00010        31.34328        -0.00010
0.6         0.00012        37.61194         0.00012        37.61194        -0.00012
0.7         0.00014        43.88060         0.00014        43.88060        -0.00014
0.8         0.00016        50.14925         0.00016        50.14925        -0.00016
0.9         0.00018        56.41791         0.00018        56.41791        -0.00018
1.0         0.00020        62.68657         0.00020        62.68657        -0.00020
1.1         0.00022        68.95522         0.00022        68.95522        -0.00022
1.2         0.00024        75.22388         0.00024        75.22388        -0.00024
1.3         0.00026        81.49254         0.00026        81.49254        -0.00026
1.4         0.00028        87.76119         0.00028        87.76119        -0.00028
1.5         0.00030        94.02985         0.00030        94.02985        -0.00030
1.6         0.00032       100.29851         0.00032       100.29851        -0.00032
1.7         0.00034       106.56716         0.00034       106.56716        -0.00033
1.8         0.00036       112.83582         0.00036       112.83582        -0.00035
1.9         0.00038       119.10448         0.00038       119.10448        -0.00037
2.0         0.00040       125.37313         0.00040       125.37313        -0.00039
2.1         0.00042       131.64179         0.00042       131.64179        -0.00041
2.2         0.00044       137.91045         0.00044       137.91045        -0.00043
2.3         0.00046       144.17910         0.00046       144.17910        -0.00045
2.4         0.00048       150.44776         0.00048       150.44776        -0.00047
2.5         0.00050       156.71642         0.00050       156.71642        -0.00049
2.6         0.00052       162.98507         0.00052       162.98507        -0.00051
2.7         0.00054       169.25373         0.00054       169.25373        -0.00053
2.8         0.00056       175.52239         0.00056       175.52239        -0.00055
2.9         0.00058       181.79104         0.00058       181.79104        -0.00057
3.0         0.00060       188.05970         0.00060       188.05970        -0.00059
3.1         0.00062       194.32836         0.00062       194.32836        -0.00061
3.2         0.00064       200.59701         0.00064       200.59701        -0.00063
3.3         0.00066       206.86567         0.00066       206.86567        -0.00065
3.4         0.00068       213.13433         0.00068       213.13433        -0.00067
3.5         0.00070       219.40299         0.00070       219.40299        -0.00069
3.6         0.00072       225.67164         0.00072       225.67164        -0.00071
3.7         0.00074       231.94030         0.00074       231.94030        -0.00073
3.8         0.00076       238.20896         0.00076       238.20896        -0.00075
3.9         0.00078       244.47761         0.00078       244.47761        -0.00077
4.0         0.00080       250.74627         0.00080       250.74627        -0.00079
4.1         0.00082       257.01493         0.00082       257.01493        -0.00081
4.2         0.00084       263.28358         0.00084       263.28358        -0.00083
4.3         0.00086       269.55224         0.00086       269.55224        -0.00085
4.4         0.00088       275.82090         0.00088       275.82090        -0.00087
4.5         0.00090       282.08955         0.00090       282.08955        -0.00089
4.6         0.00092       288.35821         0.00092       288.35821        -0.00091
4.7         0.00094       294.62687         0.00094       294.62687        -0.00093
4.8         0.00096       296.64705         0.00096       300.29171        -0.00094
4.9         0.00098       291.03784         0.00098       298.76228        -0.00095
5.0         0.00100       285.54755         0.00100       296.56950        -0.00095
5.1         0.00102       280.24458         0.00102       294.28476        -0.00095
