   n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
 0.0          0.0000         0.00000        0.000000        0.000000
 0.1          0.0000         6.30000       -0.000010       -0.000010
 0.2          0.0001        12.60000       -0.000020       -0.000020
 0.3          0.0001        18.90000       -0.000030       -0.000030
 0.4          0.0001        25.20000       -0.000040       -0.000040
 0.5          0.0002        31.50000       -0.000049       -0.000049
 0.6          0.0002        37.80000       -0.000059       -0.000059
 0.7          0.0002        44.10000       -0.000069       -0.000069
 0.8          0.0002        50.40000       -0.000079       -0.000079
 0.9          0.0003        56.70000       -0.000089       -0.000089
 1.0          0.0003        63.00000       -0.000099       -0.000099
 1.1          0.0003        69.30000       -0.000109       -0.000109
 1.2          0.0004        75.60000       -0.000119       -0.000119
 1.3          0.0004        81.90000       -0.000129       -0.000129
 1.4          0.0004        88.20000       -0.000139       -0.000139
 1.5          0.0005        94.50000       -0.000148       -0.000148
 1.6          0.0005       100.80000       -0.000158       -0.000158
 1.7          0.0005       107.10000       -0.000168       -0.000168
 1.8          0.0005       113.40000       -0.000178       -0.000178
 1.9          0.0006       119.70000       -0.000188       -0.000188
 2.0          0.0006       185.75798       -0.000202      -86.178712
 2.1          0.0006       196.02167       -0.000202    -4199.860684
 2.2          0.0007       205.35604       -0.000202    -4199.860684
 2.3          0.0007       214.69040       -0.000202    -4199.860684
 2.4          0.0007       224.02477       -0.000202    -4199.860684
 2.5          0.0008       233.35913       -0.000202    -4199.860684
 2.6          0.0008       242.69350       -0.000202    -4199.860684
 2.7          0.0008       252.02786       -0.000202    -4199.860684
 2.8          0.0008       261.36223       -0.000202    -4199.860684
 2.9          0.0009       270.69659       -0.000202    -4199.860684
 3.0          0.0009       280.03096       -0.000202    -4199.860684
 3.1          0.0009       289.36533       -0.000202    -4199.860684
 3.2          0.0010       298.69969       -0.000202    -4199.860684
 3.3          0.0010       308.03406       -0.000202    -4199.860684
 3.4          0.0010       317.36842       -0.000202    -4199.860684
 3.5          0.0011       326.70279       -0.000202    -4199.860684
 3.6          0.0011       336.03715       -0.000202    -4199.860684
 3.7          0.0011       345.37152       -0.000202    -4199.860684
 3.8          0.0011       354.70588       -0.000202    -4199.860684
 3.9          0.0012       364.04025       -0.000202    -4199.860684
 4.0          0.0012       373.37461       -0.000202    -4199.860684
 4.1          0.0012       382.70898       -0.000202    -4199.860684
 4.2          0.0013       392.04334       -0.000202    -4199.860684
 4.3          0.0013       401.37771       -0.000202    -4199.860684
 4.4          0.0013       410.71207       -0.000202    -4199.860684
 4.5          0.0014       420.04644       -0.000202    -4199.860684
 4.6          0.0014       429.38080       -0.000202    -4199.860684
 4.7          0.0014       438.71517       -0.000202    -4199.860684
 4.8          0.0014       448.04954       -0.000202    -4199.860684
 4.9          0.0015       457.38390       -0.000202    -4199.860684
 5.0          0.0015       466.71827       -0.000202    -4199.860684
 5.1          0.0015       476.05263       -0.000202    -4199.860684
 5.2          0.0016       485.38700       -0.000202    -4199.860684
 5.3          0.0016       494.72136       -0.000202    -4199.860684
 5.4          0.0016       504.05573       -0.000202    -4199.860684
 5.5          0.0017       513.39009       -0.000202    -4199.860684
 5.6          0.0017       522.72446       -0.000202    -4199.860684
 5.7          0.0017       532.05882       -0.000202    -4199.860684
 5.8          0.0017       541.39319       -0.000202    -4199.860684
 5.9          0.0018       550.72755       -0.000202    -4199.860684
 6.0          0.0018       560.06192       -0.000202    -4199.860684
 6.1          0.0018       569.39628       -0.000202    -4199.860684
 6.2          0.0019       578.73065       -0.000202    -4199.860684
