 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.01000 550000000.00000        -0.00330        -0.00330
0.2         0.02000 1100000000.00000        -0.00660        -0.00660
0.3         0.03000 1650000000.00000        -0.00990        -0.00990
0.4         0.04000 2200000000.00000        -0.01320        -0.01320
0.5         0.05000 2750000000.00000        -0.01650        -0.01650
0.6         0.06000 3300000000.00000        -0.01980        -0.01980
0.7         0.07000 3850000000.00000        -0.02310        -0.02310
0.8         0.08000 4400000000.00000        -0.02640        -0.02640
0.9         0.09000 4950000000.00000        -0.02970        -0.02970
1.0         0.10000 5500000000.00000        -0.03300        -0.03300
1.1         0.11000 6050000000.00000        -0.03630        -0.03630
1.2         0.12000 6600000000.00000        -0.03960        -0.03960
1.3         0.13000 7150000000.00000        -0.04290        -0.04290
1.4         0.14000 7700000000.00000        -0.04620        -0.04620
1.5         0.15000 8250000000.00000        -0.04950        -0.04950
1.6         0.16000 8800000000.00000        -0.05280        -0.05280
1.7         0.17000 9350000000.00000        -0.05610        -0.05610
1.8         0.18000 9900000000.00000        -0.05940        -0.05940
1.9         0.19000 10450000000.00000        -0.06270        -0.06270
2.0         0.20000 11000000000.00000        -0.06600        -0.06600
2.1         0.21000 11550000000.00000        -0.06930        -0.06930
2.2         0.22000 12100000000.00000        -0.07260        -0.07260
2.3         0.23000 12650000000.00000        -0.07590        -0.07590
2.4         0.24000 13200000000.00000        -0.07920        -0.07920
2.5         0.25000 13750000000.00000        -0.08250        -0.08250
2.6         0.26000 14300000000.00001        -0.08580        -0.08580
2.7         0.27000 14850000000.00000        -0.08910        -0.08910
2.8         0.28000 15400000000.00000        -0.09240        -0.09240
2.9         0.29000 15950000000.00000        -0.09570        -0.09570
3.0         0.30000 16500000000.00000        -0.09900        -0.09900
3.1         0.31000 17050000000.00000        -0.10230        -0.10230
3.2         0.32000 17600000000.00001        -0.10560        -0.10560
3.3         0.33000 18150000000.00000        -0.10890        -0.10890
3.4         0.34000 18700000000.00000        -0.11220        -0.11220
3.5         0.35000 19250000000.00001        -0.11550        -0.11550
3.6         0.36000 19800000000.00001        -0.11880        -0.11880
3.7         0.37000 20350000000.00000        -0.12210        -0.12210
3.8         0.38000 20900000000.00000        -0.12540        -0.12540
3.9         0.39000 21450000000.00001        -0.12870        -0.12870
4.0         0.40000 22000000000.00000        -0.13200        -0.13200
4.1         0.41000 22550000000.00000        -0.13530        -0.13530
4.2         0.42000 23100000000.00001        -0.13860        -0.13860
4.3         0.43000 23650000000.00001        -0.14190        -0.14190
4.4         0.44000 24200000000.00000        -0.14520        -0.14520
4.5         0.45000 24750000000.00001        -0.14850        -0.14850
4.6         0.46000 25300000000.00001        -0.15180        -0.15180
4.7         0.47000 25850000000.00000        -0.15510        -0.15510
4.8         0.48000 26400000000.00000        -0.15840        -0.15840
4.9         0.49000 26950000000.00001        -0.16170        -0.16170
5.0         0.50000 27500000000.00001        -0.16500        -0.16500
5.1         0.51000 28050000000.00000        -0.16830        -0.16830
5.2         0.52000 28600000000.00001        -0.17160        -0.17160
5.3         0.53000 29150000000.00001        -0.17490        -0.17490
5.4         0.54000 29700000000.00001        -0.17820        -0.17820
5.5         0.55000 30250000000.00001        -0.18150        -0.18150
5.6         0.56000 30800000000.00000        -0.18480        -0.18480
5.7         0.57000 31350000000.00000        -0.18810        -0.18810
5.8         0.58000 31900000000.00000        -0.19140        -0.19140
5.9         0.59000 32450000000.00001        -0.19470        -0.19470
6.0         0.60000 33000000000.00001        -0.19800        -0.19800
6.1         0.61000 33550000000.00000        -0.20130        -0.20130
6.2         0.62000 34100000000.00000        -0.20460        -0.20460
6.3         0.63000 34650000000.00001        -0.20790        -0.20790
6.4         0.64000 35200000000.00002        -0.21120        -0.21120
6.5         0.65000 35750000000.00001        -0.21450        -0.21450
6.6         0.66000 36300000000.00001        -0.21780        -0.21780
6.7         0.67000 36850000000.00002        -0.22110        -0.22110
6.8         0.68000 37400000000.00001        -0.22440        -0.22440
6.9         0.69000 37950000000.00002        -0.22770        -0.22770
7.0         0.70000 38500000000.00002        -0.23100        -0.23100
7.1         0.71000 39050000000.00001        -0.23430        -0.23430
7.2         0.72000 39600000000.00002        -0.23760        -0.23760
7.3         0.73000 40150000000.00002        -0.24090        -0.24090
7.4         0.74000 40700000000.00001        -0.24420        -0.24420
7.5         0.75000 41250000000.00001        -0.24750        -0.24750
7.6         0.76000 41800000000.00000        -0.25080        -0.25080
7.7         0.77000 42350000000.00001        -0.25410        -0.25410
7.8         0.78000 42900000000.00002        -0.25740        -0.25740
7.9         0.79000 43450000000.00000        -0.26070        -0.26070
8.0         0.80000 44000000000.00001        -0.26400        -0.26400
8.1         0.81000 44550000000.00002        -0.26730        -0.26730
8.2         0.82000 45100000000.00001        -0.27060        -0.27060
8.3         0.83000 45650000000.00001        -0.27390        -0.27390
8.4         0.84000 46200000000.00002        -0.27720        -0.27720
8.5         0.85000 46750000000.00001        -0.28050        -0.28050
8.6         0.86000 47300000000.00002        -0.28380        -0.28380
8.7         0.87000 47850000000.00002        -0.28710        -0.28710
8.8         0.88000 48400000000.00000        -0.29040        -0.29040
8.9         0.89000 48950000000.00001        -0.29370        -0.29370
9.0         0.90000         0.00000         0.00000         0.00000
9.1         0.91000         0.00000         0.00000         0.00000
9.2         0.92000         0.00000         0.00000         0.00000
9.3         0.93000         0.00000         0.00000         0.00000
9.4         0.94000         0.00000         0.00000         0.00000
9.5         0.95000         0.00000         0.00000         0.00000
9.6         0.96000         0.00000         0.00000         0.00000
9.7         0.97000         0.00000         0.00000         0.00000
9.8         0.98000         0.00000         0.00000         0.00000
