 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.00100 146900000.00000        -0.00030        -0.00030
0.2         0.00200 293800000.00000        -0.00060        -0.00060
0.3         0.00300 440700000.00000        -0.00090        -0.00090
0.4         0.00400 587600000.00000        -0.00120        -0.00120
0.5         0.00500 734500000.00000        -0.00150        -0.00150
0.6         0.00600 881400000.00000        -0.00180        -0.00180
0.7         0.00700 1028300000.00000        -0.00210        -0.00210
0.8         0.00800 1175200000.00000        -0.00240        -0.00240
0.9         0.00900 1322100000.00000        -0.00270        -0.00270
1.0         0.01000 1004282845.59109        -0.00248        -0.00248
1.1         0.01100 733203140.68561        -0.00222        -0.00222
1.2         0.01200 539755048.36136        -0.00199        -0.00199
1.3         0.01300 400124886.57863        -0.00179        -0.00179
1.4         0.01400 298381462.27944        -0.00160        -0.00160
1.5         0.01500 223650344.71327        -0.00143        -0.00143
1.6         0.01600 168384381.32773        -0.00128        -0.00128
1.7         0.01700 127272279.96403        -0.00115        -0.00115
1.8         0.01800  96531976.33008        -0.00103        -0.00103
1.9         0.01900  73443110.01543        -0.00092        -0.00092
2.0         0.02000  56031935.15024        -0.00083        -0.00083
2.1         0.02100  42855570.41295        -0.00074        -0.00074
2.2         0.02200  32852229.73650        -0.00067        -0.00067
2.3         0.02300  25236007.81935        -0.00060        -0.00060
2.4         0.02400  19422190.29315        -0.00053        -0.00053
2.5         0.02500  14973743.70137        -0.00048        -0.00048
2.6         0.02600  11562666.86457        -0.00043        -0.00043
2.7         0.02700   8941874.17327        -0.00038        -0.00038
2.8         0.02800   6924608.81806        -0.00034        -0.00034
2.9         0.02900   5369282.26037        -0.00031        -0.00031
3.0         0.03000   4168251.69717        -0.00028        -0.00028
3.1         0.03100   3239473.66587        -0.00025        -0.00025
3.2         0.03200   2520270.32977        -0.00022        -0.00022
3.3         0.03300   1962655.71121        -0.00020        -0.00020
3.4         0.03400   1529819.18345        -0.00018        -0.00018
3.5         0.03500   1193471.17016        -0.00016        -0.00016
3.6         0.03600    931833.74429        -0.00014        -0.00014
3.7         0.03700    728115.31736        -0.00013        -0.00013
3.8         0.03800    569349.90451        -0.00012        -0.00012
3.9         0.03900    445511.78730        -0.00010        -0.00010
4.0         0.04000    348838.79050        -0.00009        -0.00009
4.1         0.04100    273313.99103        -0.00008        -0.00008
4.2         0.04200    214268.03536        -0.00007        -0.00007
4.3         0.04300    168073.47510        -0.00007        -0.00007
4.4         0.04400    131909.45198        -0.00006        -0.00006
4.5         0.04500    103580.26936        -0.00005        -0.00005
4.6         0.04600     81375.31364        -0.00005        -0.00005
4.7         0.04700     63960.75867        -0.00004        -0.00004
4.8         0.04800     50295.73792        -0.00004        -0.00004
4.9         0.04900     39567.38046        -0.00003        -0.00003
5.0         0.05000     31140.41041        -0.00003        -0.00003
5.1         0.05100     24518.00434        -0.00003        -0.00003
5.2         0.05200     19311.36210        -0.00002        -0.00002
5.3         0.05300     15216.02940        -0.00002        -0.00002
5.4         0.05400     11993.45764        -0.00002        -0.00002
5.5         0.05500      9456.63079        -0.00002        -0.00002
5.6         0.05600      7458.85309        -0.00002        -0.00002
5.7         0.05700      5884.99613        -0.00001        -0.00001
5.8         0.05800      4644.66078        -0.00001        -0.00001
5.9         0.05900      3666.83139        -0.00001        -0.00001
6.0         0.06000      2895.69395        -0.00001        -0.00001
6.1         0.06100      2287.36268        -0.00001        -0.00001
6.2         0.06200      1807.31617        -0.00001        -0.00001
6.3         0.06300      1428.38813        -0.00001        -0.00001
6.4         0.06400      1129.19193        -0.00001        -0.00001
6.5         0.06500       892.88461        -0.00001        -0.00001
6.6         0.06600       706.19675        -0.00001        -0.00001
6.7         0.06700       558.67059        -0.00000        -0.00000
6.8         0.06800       442.06146        -0.00000        -0.00000
6.9         0.06900       349.86737        -0.00000        -0.00000
7.0         0.07000       276.95897        -0.00000        -0.00000
7.1         0.07100       219.28862        -0.00000        -0.00000
7.2         0.07200       173.66124        -0.00000        -0.00000
7.3         0.07300       137.55409        -0.00000        -0.00000
7.4         0.07400       108.97468        -0.00000        -0.00000
7.5         0.07500        86.34894        -0.00000        -0.00000
7.6         0.07600        68.43301        -0.00000        -0.00000
7.7         0.07700        54.24372        -0.00000        -0.00000
7.8         0.07800        43.00377        -0.00000        -0.00000
7.9         0.07900        34.09848        -0.00000        -0.00000
8.0         0.08000        27.04164        -0.00000        -0.00000
8.1         0.08100        21.44860        -0.00000        -0.00000
8.2         0.08200        17.01497        -0.00000        -0.00000
8.3         0.08300        13.49982        -0.00000        -0.00000
8.4         0.08400        10.71242        -0.00000        -0.00000
8.5         0.08500         8.50176        -0.00000        -0.00000
8.6         0.08600         6.74824        -0.00000        -0.00000
8.7         0.08700         5.35711        -0.00000        -0.00000
8.8         0.08800         4.25332        -0.00000        -0.00000
8.9         0.08900         3.37739        -0.00000        -0.00000
9.0         0.09000         2.68219        -0.00000        -0.00000
9.1         0.09100         2.13036        -0.00000        -0.00000
9.2         0.09200         1.69226        -0.00000        -0.00000
9.3         0.09300         1.34441        -0.00000        -0.00000
9.4         0.09400         1.06819        -0.00000        -0.00000
9.5         0.09500         0.84882        -0.00000        -0.00000
9.6         0.09600         0.67457        -0.00000        -0.00000
9.7         0.09700         0.53615        -0.00000        -0.00000
9.8         0.09800         0.42618        -0.00000        -0.00000
9.9         0.09900         0.33880        -0.00000        -0.00000
10.0         0.10000         0.26937        -0.00000        -0.00000
