 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 110000000.00000        -0.00066        -0.00066
0.2         0.00400 220000000.00000        -0.00132        -0.00132
0.3         0.00600 330000000.00000        -0.00198        -0.00198
0.4         0.00800 440000000.00000        -0.00264        -0.00264
0.5         0.01000 550000000.00000        -0.00330        -0.00330
0.6         0.01200 660000000.00000        -0.00396        -0.00396
0.7         0.01400 770000000.00000        -0.00462        -0.00462
0.8         0.01600 880000000.00000        -0.00528        -0.00528
0.9         0.01800 990000000.00000        -0.00594        -0.00594
1.0         0.02000 1100000000.00000        -0.00660        -0.00660
1.1         0.02200 1210000000.00000        -0.00726        -0.00726
1.2         0.02400 1320000000.00000        -0.00792        -0.00792
1.3         0.02600 1430000000.00000        -0.00858        -0.00858
1.4         0.02800 1540000000.00000        -0.00924        -0.00924
1.5         0.03000 1650000000.00000        -0.00990        -0.00990
1.6         0.03200 1760000000.00000        -0.01056        -0.01056
1.7         0.03400 1870000000.00000        -0.01122        -0.01122
1.8         0.03600 1980000000.00000        -0.01188        -0.01188
1.9         0.03800 2090000000.00000        -0.01254        -0.01254
2.0         0.04000 2200000000.00000        -0.01320        -0.01320
2.1         0.04200 2310000000.00000        -0.01386        -0.01386
2.2         0.04400 1490385157.54492        -0.01139        -0.01139
2.3         0.04600 524443708.50141        -0.00691        -0.00691
2.4         0.04800 184893222.64232        -0.00419        -0.00419
2.5         0.05000  65297678.80516        -0.00254        -0.00254
2.6         0.05200  23097763.06600        -0.00154        -0.00154
2.7         0.05400   8182481.34795        -0.00094        -0.00094
2.8         0.05600   2902660.71334        -0.00057        -0.00057
2.9         0.05800   1031007.50454        -0.00034        -0.00034
3.0         0.06000    366643.58246        -0.00021        -0.00021
3.1         0.06200    130529.64796        -0.00013        -0.00013
3.2         0.06400     46518.57476        -0.00008        -0.00008
3.3         0.06600     16594.64464        -0.00005        -0.00005
3.4         0.06800      5925.27482        -0.00003        -0.00003
3.5         0.07000      2117.50717        -0.00002        -0.00002
3.6         0.07200       757.34882        -0.00001        -0.00001
3.7         0.07400       271.08298        -0.00001        -0.00001
3.8         0.07600        97.10149        -0.00000        -0.00000
3.9         0.07800        34.80570        -0.00000        -0.00000
4.0         0.08000        12.48419        -0.00000        -0.00000
4.1         0.08200         4.48066        -0.00000        -0.00000
4.2         0.08400         1.60910        -0.00000        -0.00000
4.3         0.08600         0.57819        -0.00000        -0.00000
4.4         0.08800         0.20787        -0.00000        -0.00000
4.5         0.09000         0.07477        -0.00000        -0.00000
4.6         0.09200         0.02691        -0.00000        -0.00000
4.7         0.09400         0.00969        -0.00000        -0.00000
4.8         0.09600         0.00349        -0.00000        -0.00000
4.9         0.09800         0.00126        -0.00000        -0.00000
5.0         0.10000         0.00045        -0.00000        -0.00000
5.1         0.10200         0.00016        -0.00000        -0.00000
5.2         0.10400         0.00006        -0.00000        -0.00000
5.3         0.10600         0.00002        -0.00000        -0.00000
5.4         0.10800         0.00001        -0.00000        -0.00000
5.5         0.11000         0.00000        -0.00000        -0.00000
5.6         0.11200         0.00000        -0.00000        -0.00000
5.7         0.11400         0.00000        -0.00000        -0.00000
5.8         0.11600         0.00000        -0.00000        -0.00000
5.9         0.11800         0.00000        -0.00000        -0.00000
6.0         0.12000         0.00000        -0.00000        -0.00000
6.1         0.12200         0.00000        -0.00000        -0.00000
6.2         0.12400         0.00000        -0.00000        -0.00000
6.3         0.12600         0.00000        -0.00000        -0.00000
6.4         0.12800         0.00000        -0.00000        -0.00000
6.5         0.13000         0.00000        -0.00000        -0.00000
6.6         0.13200         0.00000        -0.00000        -0.00000
6.7         0.13400         0.00000        -0.00000        -0.00000
6.8         0.13600         0.00000        -0.00000        -0.00000
6.9         0.13800         0.00000        -0.00000        -0.00000
7.0         0.14000         0.00000        -0.00000        -0.00000
7.1         0.14200         0.00000        -0.00000        -0.00000
7.2         0.14400         0.00000        -0.00000        -0.00000
7.3         0.14600         0.00000        -0.00000        -0.00000
7.4         0.14800         0.00000        -0.00000        -0.00000
7.5         0.15000         0.00000        -0.00000        -0.00000
7.6         0.15200         0.00000        -0.00000        -0.00000
7.7         0.15400         0.00000        -0.00000        -0.00000
7.8         0.15600         0.00000        -0.00000        -0.00000
7.9         0.15800         0.00000        -0.00000        -0.00000
8.0         0.16000         0.00000        -0.00000        -0.00000
8.1         0.16200         0.00000        -0.00000        -0.00000
8.2         0.16400         0.00000        -0.00000        -0.00000
8.3         0.16600         0.00000        -0.00000        -0.00000
8.4         0.16800         0.00000        -0.00000        -0.00000
8.5         0.17000         0.00000        -0.00000        -0.00000
8.6         0.17200         0.00000        -0.00000        -0.00000
8.7         0.17400         0.00000        -0.00000        -0.00000
8.8         0.17600         0.00000        -0.00000        -0.00000
8.9         0.17800         0.00000        -0.00000        -0.00000
9.0         0.18000         0.00000        -0.00000        -0.00000
9.1         0.18200         0.00000        -0.00000        -0.00000
9.2         0.18400         0.00000        -0.00000        -0.00000
9.3         0.18600         0.00000        -0.00000        -0.00000
9.4         0.18800         0.00000         0.00000         0.00000
9.5         0.19000         0.00000        -0.00000        -0.00000
9.6         0.19200         0.00000         0.00000         0.00000
9.7         0.19400         0.00000        -0.00000        -0.00000
9.8         0.19600         0.00000         0.00000         0.00000
9.9         0.19800         0.00000        -0.00000        -0.00000
10.0         0.20000         0.00000         0.00000         0.00000
