 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000
0.2         0.00400 236997931.08368         0.00400  51508882.07177        -0.00289
0.4         0.00800 448435063.54529         0.00800         0.00000        -0.00342
0.6         0.01200 672652595.31793         0.01200         0.00000        -0.00513
0.8         0.01600 896870127.09057         0.01600         0.00000        -0.00683
1.0         0.02000 1121087658.86322         0.02000         0.00000        -0.00854
1.2         0.02400 1345305190.63586         0.02400         0.00000        -0.01025
1.4         0.02800 1569522722.40850         0.02800         0.00000        -0.01196
1.6         0.03200 1793740254.18115         0.03200         0.00000        -0.01367
1.8         0.03600 2087581963.66157         0.03600         0.00000        -0.01538
2.0         0.04000 2319535515.17953         0.04000         0.00000        -0.01538
2.2         0.04400         0.00000         0.04400         0.00000        -0.01538
2.4         0.04800         0.00000         0.04800         0.00000        -0.01538
2.6         0.05200         0.00000         0.05200         0.00000        -0.01538
2.8         0.05600         0.00000         0.05600         0.00000        -0.01538
3.0         0.06000         0.00000         0.06000         0.00000        -0.01538
3.2         0.06400         0.00000         0.06400         0.00000        -0.01538
3.4         0.06800         0.00000         0.06800         0.00000        -0.01538
3.6         0.07200         0.00000         0.07200         0.00000        -0.01538
3.8         0.07600         0.00000         0.07600         0.00000        -0.01538
4.0         0.08000         0.00000         0.08000         0.00000        -0.01538
4.2         0.08400         0.00000         0.08400         0.00000        -0.01538
4.4         0.08800         0.00000         0.08800         0.00000        -0.01538
4.6         0.09200         0.00000         0.09200         0.00000        -0.01538
4.8         0.09600         0.00000         0.09600         0.00000        -0.01538
5.0         0.10000         0.00000         0.10000         0.00000        -0.01538
5.2         0.10400         0.00000         0.10400         0.00000        -0.01538
5.4         0.10800         0.00000         0.10800         0.00000        -0.01538
5.6         0.11200         0.00000         0.11200         0.00000        -0.01538
5.8         0.11600         0.00000         0.11600         0.00000        -0.01538
6.0         0.12000         0.00000         0.12000         0.00000        -0.01538
6.2         0.12400         0.00000         0.12400         0.00000        -0.01538
6.4         0.12800         0.00000         0.12800         0.00000        -0.01538
6.6         0.13200         0.00000         0.13200         0.00000        -0.01538
6.8         0.13600         0.00000         0.13600         0.00000        -0.01538
7.0         0.14000         0.00000         0.14000         0.00000        -0.01538
7.2         0.14400         0.00000         0.14400         0.00000        -0.01538
7.4         0.14800         0.00000         0.14800         0.00000        -0.01538
7.6         0.15200         0.00000         0.15200         0.00000        -0.01538
7.8         0.15600         0.00000         0.15600         0.00000        -0.01538
8.0         0.16000         0.00000         0.16000         0.00000        -0.01538
8.2         0.16400         0.00000         0.16400         0.00000        -0.01538
8.4         0.16800         0.00000         0.16800         0.00000        -0.01538
8.6         0.17200         0.00000         0.17200         0.00000        -0.01538
8.8         0.17600         0.00000         0.17600         0.00000        -0.01538
9.0         0.18000         0.00000         0.18000         0.00000        -0.01538
9.2         0.18400         0.00000         0.18400         0.00000        -0.01538
9.4         0.18800         0.00000         0.18800         0.00000        -0.01538
9.6         0.19200         0.00000         0.19200         0.00000        -0.01538
9.8         0.19600         0.00000         0.19600         0.00000        -0.01538
10.0         0.20000         0.00000         0.20000         0.00000        -0.01538
