   n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
 0.0          0.0000         0.00000        0.000000        0.000000
 0.1          0.0000         6.30000       -0.000010       -0.000010
 0.2          0.0001        12.60000       -0.000020       -0.000020
 0.3          0.0001        18.90000       -0.000030       -0.000030
 0.4          0.0001        25.20000       -0.000040       -0.000040
 0.5          0.0002        31.50000       -0.000050       -0.000050
 0.6          0.0002        37.80000       -0.000059       -0.000059
 0.7          0.0002        44.10000       -0.000069       -0.000069
 0.8          0.0002        50.40000       -0.000079       -0.000079
 0.9          0.0003        56.70000       -0.000089       -0.000089
 1.0          0.0003        63.00000       -0.000099       -0.000099
 1.1          0.0003        69.30000       -0.000109       -0.000109
 1.2          0.0004        75.60000       -0.000119       -0.000119
 1.3          0.0004        81.90000       -0.000129       -0.000129
 1.4          0.0004        88.20000       -0.000139       -0.000139
 1.5          0.0005        94.50000       -0.000149       -0.000149
 1.6          0.0005       100.80000       -0.000158       -0.000158
 1.7          0.0005       107.10000       -0.000168       -0.000168
 1.8          0.0005       113.40000       -0.000178       -0.000178
 1.9          0.0006       119.70000       -0.000188       -0.000188
 2.0          0.0006       126.00000       -0.000198       -0.000198
 2.1          0.0006       132.30000       -0.000208       -0.000208
 2.2          0.0007       138.60000       -0.000218       -0.000218
 2.3          0.0007       144.90000       -0.000228       -0.000228
 2.4          0.0007       151.20000       -0.000238       -0.000238
 2.5          0.0008       157.50000       -0.000248       -0.000248
 2.6          0.0008       163.80000       -0.000257       -0.000257
 2.7          0.0008       170.10000       -0.000267       -0.000267
 2.8          0.0008       176.40000       -0.000277       -0.000277
 2.9          0.0009       182.70000       -0.000287       -0.000287
 3.0          0.0009       189.00000       -0.000297       -0.000297
 3.1          0.0009       195.30000       -0.000307       -0.000307
 3.2          0.0010       198.41209       -0.000314       -0.000314
 3.3          0.0010       192.39730       -0.000314       -0.000314
 3.4          0.0010       186.73631       -0.000314       -0.000314
 3.5          0.0011       181.39881       -0.000314       -0.000314
 3.6          0.0011       176.35784       -0.000314       -0.000314
 3.7          0.0011       171.58935       -0.000314       -0.000314
 3.8          0.0011       167.07184       -0.000314       -0.000314
 3.9          0.0012       162.78599       -0.000314       -0.000314
 4.0          0.0012       158.71444       -0.000314       -0.000314
 4.1          0.0012       154.84150       -0.000314       -0.000314
 4.2          0.0013       151.15298       -0.000314       -0.000314
 4.3          0.0013       147.63602       -0.000314       -0.000314
 4.4          0.0013       144.27893       -0.000314       -0.000314
 4.5          0.0014       141.07104       -0.000314       -0.000314
 4.6          0.0014       138.00262       -0.000314       -0.000314
 4.7          0.0014       135.06477       -0.000314       -0.000314
 4.8          0.0014       132.24933       -0.000314       -0.000314
 4.9          0.0015       129.54881       -0.000314       -0.000314
 5.0          0.0015       126.95631       -0.000314       -0.000314
 5.1          0.0015       124.46548       -0.000314       -0.000314
 5.2          0.0016       122.07045       -0.000314       -0.000314
 5.3          0.0016       119.76580       -0.000314       -0.000314
 5.4          0.0016       117.54650       -0.000314       -0.000314
 5.5          0.0017       115.40791       -0.000314       -0.000314
 5.6          0.0017       113.34569       -0.000314       -0.000314
 5.7          0.0017       111.35583       -0.000314       -0.000314
 5.8          0.0017       109.43459       -0.000314       -0.000314
 5.9          0.0018       107.57848       -0.000314       -0.000314
 6.0          0.0018       105.78423       -0.000314       -0.000314
 6.1          0.0018       104.04882       -0.000314       -0.000314
 6.2          0.0019       102.36938       -0.000314       -0.000314
 6.3          0.0019       100.74326       -0.000314       -0.000314
 6.4          0.0019        99.16796       -0.000314       -0.000314
 6.5          0.0020        97.64113       -0.000314       -0.000314
 6.6          0.0020        96.16056       -0.000314       -0.000314
 6.7          0.0020        94.72419       -0.000314       -0.000314
 6.8          0.0020        93.33007       -0.000314       -0.000314
 6.9          0.0021        91.97636       -0.000314       -0.000314
 7.0          0.0021        90.66132       -0.000314       -0.000314
 7.1          0.0021        89.38333       -0.000314       -0.000314
 7.2          0.0022        88.14084       -0.000314       -0.000314
 7.3          0.0022        86.93238       -0.000314       -0.000314
 7.4          0.0022        85.75659       -0.000314       -0.000314
 7.5          0.0023        84.61216       -0.000314       -0.000314
 7.6          0.0023        83.49784       -0.000314       -0.000314
 7.7          0.0023        82.41246       -0.000314       -0.000314
 7.8          0.0023        81.35491       -0.000314       -0.000314
 7.9          0.0024        80.32414       -0.000314       -0.000314
 8.0          0.0024        79.31914       -0.000314       -0.000314
 8.1          0.0024        78.33895       -0.000314       -0.000314
 8.2          0.0025        77.38267       -0.000314       -0.000314
 8.3          0.0025        76.44943       -0.000314       -0.000314
 8.4          0.0025        75.53841       -0.000314       -0.000314
 8.5          0.0026        74.64883       -0.000314       -0.000314
 8.6          0.0026        73.77993       -0.000314       -0.000314
 8.7          0.0026        72.93101       -0.000314       -0.000314
 8.8          0.0026        72.10138       -0.000314       -0.000314
 8.9          0.0027        71.29040       -0.000314       -0.000314
 9.0          0.0027        70.49744       -0.000314       -0.000314
 9.1          0.0027        69.72191       -0.000314       -0.000314
 9.2          0.0028        68.96323       -0.000314       -0.000314
 9.3          0.0028        68.22087       -0.000314       -0.000314
 9.4          0.0028        67.49431       -0.000314       -0.000314
 9.5          0.0029        66.78304       -0.000314       -0.000314
 9.6          0.0029        66.08659       -0.000314       -0.000314
 9.7          0.0029        65.40450       -0.000314       -0.000314
 9.8          0.0029        64.73633       -0.000314       -0.000314
 9.9          0.0030        64.08166       -0.000314       -0.000314
10.0          0.0030        63.44008       -0.000314       -0.000314
