   n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}    Epsilon_{33}
                         
 0.0          0.0000         0.00000        0.000000        0.000000
 0.1          0.0000         4.20000       -0.000007       -0.000007
 0.2          0.0000         8.40000       -0.000013       -0.000013
 0.3          0.0001        12.60000       -0.000020       -0.000020
 0.4          0.0001        16.80000       -0.000026       -0.000026
 0.5          0.0001        21.00000       -0.000033       -0.000033
 0.6          0.0001        25.20000       -0.000040       -0.000040
 0.7          0.0001        29.40000       -0.000046       -0.000046
 0.8          0.0002        33.60000       -0.000053       -0.000053
 0.9          0.0002        37.80000       -0.000059       -0.000059
 1.0          0.0002        42.00000       -0.000066       -0.000066
 1.1          0.0002        46.20000       -0.000073       -0.000073
 1.2          0.0002        50.40000       -0.000079       -0.000079
 1.3          0.0003        54.60000       -0.000086       -0.000086
 1.4          0.0003        58.80000       -0.000092       -0.000092
 1.5          0.0003        63.00000       -0.000099       -0.000099
 1.6          0.0003        67.20000       -0.000106       -0.000106
 1.7          0.0003        71.40000       -0.000112       -0.000112
 1.8          0.0004        75.60000       -0.000119       -0.000119
 1.9          0.0004        79.80000       -0.000125       -0.000125
 2.0          0.0004        84.00000       -0.000132       -0.000132
 2.1          0.0004        88.20000       -0.000139       -0.000139
 2.2          0.0004        92.40000       -0.000145       -0.000145
 2.3          0.0005        96.60000       -0.000152       -0.000152
 2.4          0.0005       100.80000       -0.000158       -0.000158
 2.5          0.0005       105.00000       -0.000165       -0.000165
 2.6          0.0005       109.20000       -0.000172       -0.000172
 2.7          0.0005       113.40000       -0.000178       -0.000178
 2.8          0.0006       117.60000       -0.000185       -0.000185
 2.9          0.0006       121.80000       -0.000191       -0.000191
 3.0          0.0006       126.00000       -0.000198       -0.000198
 3.1          0.0006       130.20000       -0.000205       -0.000205
 3.2          0.0006       134.40000       -0.000211       -0.000211
 3.3          0.0007       138.60000       -0.000218       -0.000218
 3.4          0.0007       142.80000       -0.000224       -0.000224
 3.5          0.0007       147.00000       -0.000231       -0.000231
 3.6          0.0007       151.20000       -0.000238       -0.000238
 3.7          0.0007       155.40000       -0.000244       -0.000244
 3.8          0.0008       159.60000       -0.000251       -0.000251
 3.9          0.0008       163.80000       -0.000257       -0.000257
 4.0          0.0008       168.00000       -0.000264       -0.000264
 4.1          0.0008       172.20000       -0.000271       -0.000271
 4.2          0.0008       176.40000       -0.000277       -0.000277
 4.3          0.0009       180.60000       -0.000284       -0.000284
 4.4          0.0009       184.80000       -0.000290       -0.000290
 4.5          0.0009       189.00000       -0.000297       -0.000297
 4.6          0.0009       193.20000       -0.000304       -0.000304
 4.7          0.0009       197.40000       -0.000310       -0.000310
 4.8          0.0010       201.60000       -0.000317       -0.000317
 4.9          0.0010       202.54568       -0.000321       -0.000321
 5.0          0.0010       198.32787       -0.000321       -0.000321
 5.1          0.0010       194.28201       -0.000321       -0.000321
 5.2          0.0010       190.39781       -0.000320       -0.000320
 5.3          0.0011       186.66576       -0.000320       -0.000320
 5.4          0.0011       183.07710       -0.000320       -0.000320
 5.5          0.0011       179.62373       -0.000320       -0.000320
 5.6          0.0011       176.29813       -0.000320       -0.000320
 5.7          0.0011       173.09335       -0.000320       -0.000320
 5.8          0.0012       170.00292       -0.000320       -0.000320
 5.9          0.0012       167.02084       -0.000320       -0.000320
 6.0          0.0012       164.14150       -0.000320       -0.000320
 6.1          0.0012       161.35968       -0.000320       -0.000320
 6.2          0.0012       158.67051       -0.000319       -0.000319
 6.3          0.0013       156.06945       -0.000319       -0.000319
 6.4          0.0013       153.55223       -0.000319       -0.000319
 6.5          0.0013       151.11487       -0.000319       -0.000319
 6.6          0.0013       148.75362       -0.000319       -0.000319
 6.7          0.0013       146.46497       -0.000319       -0.000319
 6.8          0.0014       144.24563       -0.000319       -0.000319
 6.9          0.0014       142.09250       -0.000319       -0.000319
 7.0          0.0014       140.00266       -0.000319       -0.000319
 7.1          0.0014       137.97335       -0.000319       -0.000319
 7.2          0.0014       136.00199       -0.000319       -0.000319
 7.3          0.0015       134.08613       -0.000319       -0.000319
 7.4          0.0015       132.22346       -0.000319       -0.000319
 7.5          0.0015       130.41179       -0.000318       -0.000318
 7.6          0.0015       128.64907       -0.000318       -0.000318
 7.7          0.0015       126.93332       -0.000318       -0.000318
 7.8          0.0016       125.26270       -0.000318       -0.000318
 7.9          0.0016       123.63546       -0.000318       -0.000318
 8.0          0.0016       122.04991       -0.000318       -0.000318
 8.1          0.0016       120.50449       -0.000318       -0.000318
 8.2          0.0016       118.99769       -0.000318       -0.000318
 8.3          0.0017       117.52808       -0.000318       -0.000318
 8.4          0.0017       116.09429       -0.000318       -0.000318
 8.5          0.0017       114.69504       -0.000318       -0.000318
 8.6          0.0017       113.32910       -0.000318       -0.000318
 8.7          0.0017       111.99528       -0.000318       -0.000318
 8.8          0.0018       110.69246       -0.000318       -0.000318
 8.9          0.0018       109.41959       -0.000318       -0.000318
 9.0          0.0018       108.17563       -0.000318       -0.000318
 9.1          0.0018       106.95961       -0.000318       -0.000318
 9.2          0.0018       105.77061       -0.000318       -0.000318
 9.3          0.0019       104.60774       -0.000318       -0.000318
 9.4          0.0019       103.47013       -0.000318       -0.000318
 9.5          0.0019       102.35698       -0.000318       -0.000318
 9.6          0.0019       101.26750       -0.000318       -0.000318
 9.7          0.0019       100.20096       -0.000317       -0.000317
 9.8          0.0020        99.15663       -0.000317       -0.000317
 9.9          0.0020        98.13382       -0.000317       -0.000317
10.0          0.0020        97.13188       -0.000317       -0.000317
