 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0015  14250000.00000         -0.0001
0.2          0.0030  28500000.00000         -0.0002
0.3          0.0045  42750000.00000         -0.0003
0.4          0.0060  57000000.00000         -0.0003
0.5          0.0075  40982714.50609         -0.0003
0.6          0.0090  31604155.13462         -0.0003
0.7          0.0105  25748449.58126         -0.0003
0.8          0.0120  21734899.14576         -0.0003
0.9          0.0135  18808824.47532         -0.0003
1.0          0.0150  16579472.77146         -0.0003
1.1          0.0165  14823759.61589         -0.0003
1.2          0.0180  13404869.61649         -0.0003
1.3          0.0195  12234156.55707         -0.0003
1.4          0.0210  11251625.69184         -0.0003
1.5          0.0225  10415207.13445         -0.0003
1.6          0.0240   9694518.28916         -0.0003
1.7          0.0255   9067064.28647         -0.0003
1.8          0.0270   8515831.66427         -0.0003
1.9          0.0285   8027713.09147         -0.0003
2.0          0.0300   7592446.25810         -0.0003
2.1          0.0315   7201881.10106         -0.0003
2.2          0.0330   6849462.57234         -0.0003
2.3          0.0345   6529858.39392         -0.0003
2.4          0.0360   6238686.47383         -0.0003
2.5          0.0375   5972312.16754         -0.0003
2.6          0.0390   5727695.35007         -0.0003
2.7          0.0405   5502273.57647         -0.0003
2.8          0.0420   5293871.76682         -0.0003
2.9          0.0435   5100631.64391         -0.0003
3.0          0.0450   4920956.05900         -0.0003
3.1          0.0465   4753464.66396         -0.0003
3.2          0.0480   4596958.31982         -0.0003
3.3          0.0495   4450390.29616         -0.0003
3.4          0.0510   4312842.79581         -0.0003
3.5          0.0525   4183507.69023         -0.0003
3.6          0.0540   4061670.60964         -0.0003
3.7          0.0555   3946697.72546         -0.0003
3.8          0.0570   3838024.70801         -0.0003
3.9          0.0585   3735147.45281         -0.0003
4.0          0.0600   3637614.25354         -0.0003
4.1          0.0615   3545019.16501         -0.0003
4.2          0.0630   3456996.35024         -0.0003
4.3          0.0645   3373215.24543         -0.0003
4.4          0.0660   3293376.40805         -0.0003
4.5          0.0675   3217207.93798         -0.0003
4.6          0.0690   3144462.38153         -0.0003
4.7          0.0705   3074914.04392         -0.0003
4.8          0.0720   3008356.64872         -0.0003
4.9          0.0735   2944601.29318         -0.0003
5.0          0.0750   2883474.65650         -0.0003
5.1          0.0765   2824817.42548         -0.0003
5.2          0.0780   2768482.90727         -0.0003
5.3          0.0795   2714335.80374         -0.0003
5.4          0.0810   2662251.12611         -0.0003
5.5          0.0825   2612113.23119         -0.0003
5.6          0.0840   2563814.96385         -0.0003
5.7          0.0855   2517256.89224         -0.0003
5.8          0.0870   2472346.62416         -0.0003
5.9          0.0885   2428998.19483         -0.0003
6.0          0.0900   2387131.51752         -0.0003
6.1          0.0915   2346671.88950         -0.0003
6.2          0.0930   2307549.54703         -0.0003
6.3          0.0945   2269699.26381         -0.0003
6.4          0.0960   2233059.98797         -0.0003
6.5          0.0975   2197574.51327         -0.0003
6.6          0.0990   2163189.18108         -0.0003
6.7          0.1005   2129853.60949         -0.0003
6.8          0.1020   2097520.44694         -0.0003
6.9          0.1035   2066145.14775         -0.0003
7.0          0.1050   2035685.76730         -0.0003
7.1          0.1065   2006102.77493         -0.0003
7.2          0.1080   1977358.88267         -0.0003
7.3          0.1095   1949418.88849         -0.0003
7.4          0.1110   1922249.53238         -0.0003
7.5          0.1125   1895819.36424         -0.0003
7.6          0.1140   1870098.62248         -0.0003
7.7          0.1155   1845059.12210         -0.0003
7.8          0.1170   1820674.15175         -0.0003
7.9          0.1185   1796918.37856         -0.0003
8.0          0.1200   1773767.76042         -0.0003
8.1          0.1215   1751199.46477         -0.0003
8.2          0.1230   1729191.79346         -0.0003
8.3          0.1245   1707724.11319         -0.0003
8.4          0.1260   1686776.79096         -0.0003
8.5          0.1275   1666331.13417         -0.0003
8.6          0.1290   1646369.33500         -0.0003
8.7          0.1305   1626874.41862         -0.0003
8.8          0.1320   1607830.19513         -0.0003
8.9          0.1335   1589221.21461         -0.0003
9.0          0.1350   1571032.72540         -0.0003
9.1          0.1365   1553250.63503         -0.0003
9.2          0.1380   1535861.47385         -0.0003
9.3          0.1395   1518852.36097         -0.0003
9.4          0.1410   1502210.97246         -0.0003
9.5          0.1425   1485925.51154         -0.0003
9.6          0.1440   1469984.68071         -0.0003
9.7          0.1455   1454377.65562         -0.0003
9.8          0.1470   1439094.06051         -0.0003
9.9          0.1485   1424123.94529         -0.0003
10.0          0.1500   1409457.76385         -0.0003
