 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0015  82500000.00000         -0.0005
0.2          0.0030 165000000.00000         -0.0010
0.3          0.0045 247500000.00000         -0.0015
0.4          0.0060 330000000.00000         -0.0020
0.5          0.0075 412500000.00000         -0.0025
0.6          0.0090 495000000.00000         -0.0030
0.7          0.0105 577500000.00000         -0.0035
0.8          0.0120 660000000.00000         -0.0040
0.9          0.0135 742500000.00000         -0.0045
1.0          0.0150 825000000.00000         -0.0049
1.1          0.0165 907500000.00000         -0.0054
1.2          0.0180 990000000.00000         -0.0059
1.3          0.0195 1072500000.00000         -0.0064
1.4          0.0210 1155000000.00000         -0.0069
1.5          0.0225 1237500000.00000         -0.0074
1.6          0.0240 1320000000.00000         -0.0082
1.7          0.0255 1402500000.00000         -0.0093
1.8          0.0270 1485000000.00000         -0.0105
1.9          0.0285 1567500000.00000         -0.0118
2.0          0.0300 1650000000.00000         -0.0133
2.1          0.0315 1732500000.00000         -0.0150
2.2          0.0330 1815000000.00000         -0.0170
2.3          0.0345 1897500000.00000         -0.0193
2.4          0.0360 1980000000.00000         -0.0220
2.5          0.0375 2062500000.00000         -0.0255
2.6          0.0390 2145000000.00000         -0.0302
2.7          0.0405 2227500000.00000         -0.0371
2.8          0.0420 2310000000.00000         -0.0503
2.9          0.0435         0.00000     -82570.8567
3.0          0.0450         0.00000     -82570.8567
3.1          0.0465         0.00000     -82570.8567
3.2          0.0480         0.00000     -82570.8567
3.3          0.0495         0.00000     -82570.8567
3.4          0.0510         0.00000     -82570.8567
3.5          0.0525         0.00000     -82570.8567
3.6          0.0540         0.00000     -82570.8567
3.7          0.0555         0.00000     -82570.8567
3.8          0.0570         0.00000     -82570.8567
3.9          0.0585         0.00000     -82570.8567
4.0          0.0600         0.00000     -82570.8567
4.1          0.0615         0.00000     -82570.8567
4.2          0.0630         0.00000     -82570.8567
4.3          0.0645         0.00000     -82570.8567
4.4          0.0660         0.00000     -82570.8567
4.5          0.0675         0.00000     -82570.8567
4.6          0.0690         0.00000     -82570.8567
4.7          0.0705         0.00000     -82570.8567
4.8          0.0720         0.00000     -82570.8567
4.9          0.0735         0.00000     -82570.8567
5.0          0.0750         0.00000     -82570.8567
5.1          0.0765         0.00000     -82570.8567
5.2          0.0780         0.00000     -82570.8567
5.3          0.0795         0.00000     -82570.8567
5.4          0.0810         0.00000     -82570.8567
5.5          0.0825         0.00000     -82570.8567
5.6          0.0840         0.00000     -82570.8567
5.7          0.0855         0.00000     -82570.8567
5.8          0.0870         0.00000     -82570.8567
5.9          0.0885         0.00000     -82570.8567
6.0          0.0900         0.00000     -82570.8567
6.1          0.0915         0.00000     -82570.8567
6.2          0.0930         0.00000     -82570.8567
6.3          0.0945         0.00000     -82570.8567
6.4          0.0960         0.00000     -82570.8567
6.5          0.0975         0.00000     -82570.8567
6.6          0.0990         0.00000     -82570.8567
6.7          0.1005         0.00000     -82570.8567
6.8          0.1020         0.00000     -82570.8567
6.9          0.1035         0.00000     -82570.8567
7.0          0.1050         0.00000     -82570.8567
7.1          0.1065         0.00000     -82570.8567
7.2          0.1080         0.00000     -82570.8567
7.3          0.1095         0.00000     -82570.8567
7.4          0.1110         0.00000     -82570.8567
7.5          0.1125         0.00000     -82570.8567
7.6          0.1140         0.00000     -82570.8567
7.7          0.1155         0.00000     -82570.8567
7.8          0.1170         0.00000     -82570.8567
7.9          0.1185         0.00000     -82570.8567
8.0          0.1200         0.00000     -82570.8567
8.1          0.1215         0.00000     -82570.8567
8.2          0.1230         0.00000     -82570.8567
8.3          0.1245         0.00000     -82570.8567
8.4          0.1260         0.00000     -82570.8567
8.5          0.1275         0.00000     -82570.8567
8.6          0.1290         0.00000     -82570.8567
8.7          0.1305         0.00000     -82570.8567
8.8          0.1320         0.00000     -82570.8567
8.9          0.1335         0.00000     -82570.8567
9.0          0.1350         0.00000     -82570.8567
9.1          0.1365         0.00000     -82570.8567
9.2          0.1380         0.00000     -82570.8567
9.3          0.1395         0.00000     -82570.8567
9.4          0.1410         0.00000     -82570.8567
9.5          0.1425         0.00000     -82570.8567
9.6          0.1440         0.00000     -82570.8567
9.7          0.1455         0.00000     -82570.8567
9.8          0.1470         0.00000     -82570.8567
9.9          0.1485         0.00000     -82570.8567
10.0          0.1500         0.00000     -82570.8567
