 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0014  53900539.00000         -0.0004
0.2          0.0028 107801078.00000         -0.0008
0.3          0.0042 161701617.00000         -0.0011
0.4          0.0056 215602156.00000         -0.0015
0.5          0.0070 269502695.00000         -0.0019
0.6          0.0084 323403234.00000         -0.0023
0.7          0.0098 377303773.00000         -0.0026
0.8          0.0112 431204312.00000         -0.0030
0.9          0.0126 485104851.00000         -0.0034
1.0          0.0140 539005390.00000         -0.0038
1.1          0.0154 592905929.00000         -0.0042
1.2          0.0168 646806468.00000         -0.0045
1.3          0.0182 700707007.00000         -0.0049
1.4          0.0196 754607546.00000         -0.0053
1.5          0.0210 808508085.00000         -0.0057
1.6          0.0224 862408624.00000         -0.0060
1.7          0.0238 916309163.00000         -0.0064
1.8          0.0252 970209702.00000         -0.0068
1.9          0.0266 1024110241.00000         -0.0072
2.0          0.0280 1078010780.00000         -0.0076
2.1          0.0294 1131911319.00000         -0.0079
2.2          0.0308 1185811858.00000         -0.0083
2.3          0.0322 1239712397.00000         -0.0087
2.4          0.0336 1085018494.21247         -0.0091
2.5          0.0350 910829008.41507         -0.0095
2.6          0.0364 764604508.15093         -0.0098
2.7          0.0378 641855411.32839         -0.0102
2.8          0.0392 538812906.74030         -0.0106
2.9          0.0406 452313239.35886         -0.0110
3.0          0.0420 379700572.81396         -0.0113
3.1          0.0434 318745446.61874         -0.0117
3.2          0.0448 267576324.51496         -0.0121
3.3          0.0462 224622132.25101         -0.0125
3.4          0.0476 188564020.51623         -0.0129
3.5          0.0490 158294871.99746         -0.0132
3.6          0.0504 132885309.29333         -0.0136
3.7          0.0518 111555160.01934         -0.0140
3.8          0.0532  93649502.98991         -0.0144
3.9          0.0546  78618560.01772         -0.0147
4.0          0.0560  66000815.94361         -0.0151
4.1          0.0574  55408848.62699         -0.0155
4.2          0.0588  46517433.83196         -0.0159
4.3          0.0602  39053559.79037         -0.0163
4.4          0.0616  32788044.85669         -0.0166
4.5          0.0630  27528500.88954         -0.0170
4.6          0.0644  23113426.31294         -0.0174
4.7          0.0658  19407247.49505         -0.0178
4.8          0.0672  16296156.19882         -0.0181
4.9          0.0686  13684615.30061         -0.0185
5.0          0.0700  11492425.49125         -0.0189
5.1          0.0714   9652262.89759         -0.0193
5.2          0.0728   8107612.02164         -0.0197
5.3          0.0742   6811030.53186         -0.0200
5.4          0.0756   5722692.62993         -0.0204
5.5          0.0770   4809166.26986         -0.0208
5.6          0.0784   4042386.68590         -0.0212
5.7          0.0798   3398794.71342         -0.0215
5.8          0.0812   2858613.44629         -0.0219
5.9          0.0826   2405241.02177         -0.0223
6.0          0.0840   2024740.88965         -0.0227
6.1          0.0854   1705413.91500         -0.0231
6.2          0.0868   1437439.17688         -0.0234
6.3          0.0882   1212572.43424         -0.0238
6.4          0.0896   1023893.00106         -0.0242
6.5          0.0910    865591.25887         -0.0246
6.6          0.0924    732790.28265         -0.0249
6.7          0.0938    621396.10347         -0.0253
6.8          0.0952    527972.01034         -0.0257
6.9          0.0966    449633.03213         -0.0261
7.0          0.0980    383957.35953         -0.0265
7.1          0.0994    328911.98774         -0.0268
7.2          0.1008    282790.29659         -0.0272
7.3          0.1022    244159.65182         -0.0276
7.4          0.1036    211817.41851         -0.0280
7.5          0.1050    184754.03636         -0.0283
7.6          0.1064    162122.02287         -0.0287
7.7          0.1078    143209.95292         -0.0291
7.8          0.1092    127420.61569         -0.0295
7.9          0.1106    114252.67837         -0.0299
8.0          0.1120    103285.29360         -0.0302
8.1          0.1134     94165.17812         -0.0306
8.2          0.1148     86595.76581         -0.0310
8.3          0.1162     80328.10218         -0.0314
8.4          0.1176     75153.20060         -0.0318
8.5          0.1190     70895.62580         -0.0321
8.6          0.1204     67408.10742         -0.0325
8.7          0.1218     64567.01829         -0.0329
8.8          0.1232     62268.57874         -0.0333
8.9          0.1246     60425.67018         -0.0336
9.0          0.1260     58965.16033         -0.0340
9.1          0.1274     57825.65774         -0.0344
9.2          0.1288     56955.62696         -0.0348
9.3          0.1302     56311.80618         -0.0352
9.4          0.1316     55857.87897         -0.0355
9.5          0.1330     55563.35925         -0.0359
9.6          0.1344     55402.65527         -0.0363
9.7          0.1358     55354.28385         -0.0367
9.8          0.1372     55400.21079         -0.0370
9.9          0.1386     55525.29715         -0.0374
10.0          0.1400     55716.83444         -0.0378
