 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}
                         
0.0          0.0000         0.00000          0.0000
0.1          0.0000         4.20004         -0.0000
0.2          0.0000         8.40008         -0.0000
0.3          0.0001        12.60013         -0.0000
0.4          0.0001        16.80017         -0.0000
0.5          0.0001        21.00021         -0.0000
0.6          0.0001        25.20025         -0.0000
0.7          0.0001        29.40029         -0.0000
0.8          0.0002        33.60034         -0.0001
0.9          0.0002        37.80038         -0.0001
1.0          0.0002        42.00042         -0.0001
1.1          0.0002        46.20046         -0.0001
1.2          0.0002        50.40050         -0.0001
1.3          0.0003        54.60055         -0.0001
1.4          0.0003        58.80059         -0.0001
1.5          0.0003        63.00063         -0.0001
1.6          0.0003        67.20067         -0.0001
1.7          0.0003        71.40071         -0.0001
1.8          0.0004        75.60076         -0.0001
1.9          0.0004        79.80080         -0.0001
2.0          0.0004        84.00084         -0.0001
2.1          0.0004        88.20088         -0.0001
2.2          0.0004        92.40092         -0.0001
2.3          0.0005        96.60097         -0.0002
2.4          0.0005       100.80101         -0.0002
2.5          0.0005       105.00105         -0.0002
2.6          0.0005       109.20109         -0.0002
2.7          0.0005       113.40113         -0.0002
2.8          0.0006       117.60118         -0.0002
2.9          0.0006       121.80122         -0.0002
3.0          0.0006       126.00126         -0.0002
3.1          0.0006       130.20130         -0.0002
3.2          0.0006       134.40134         -0.0002
3.3          0.0007       132.76328         -0.0002
3.4          0.0007       130.11533         -0.0002
3.5          0.0007       127.40988         -0.0002
3.6          0.0007       124.65885         -0.0002
3.7          0.0007       121.87310         -0.0002
3.8          0.0008       119.06258         -0.0003
3.9          0.0008       116.23633         -0.0003
4.0          0.0008       113.40256         -0.0003
4.1          0.0008       110.56873         -0.0003
4.2          0.0008       107.74159         -0.0003
4.3          0.0009       104.92723         -0.0003
4.4          0.0009       102.13111         -0.0003
4.5          0.0009        99.35817         -0.0003
4.6          0.0009        96.61279         -0.0003
4.7          0.0009        93.89887         -0.0003
4.8          0.0010        91.21988         -0.0003
4.9          0.0010        88.57886         -0.0003
5.0          0.0010        85.97849         -0.0003
5.1          0.0010        83.42108         -0.0003
5.2          0.0010        80.90862         -0.0003
5.3          0.0011        78.44282         -0.0003
5.4          0.0011        76.02510         -0.0004
5.5          0.0011        73.65664         -0.0004
5.6          0.0011        71.33837         -0.0004
5.7          0.0011        69.07105         -0.0004
5.8          0.0012        66.85520         -0.0004
5.9          0.0012        64.69122         -0.0004
6.0          0.0012        62.57930         -0.0004
6.1          0.0012        60.51952         -0.0004
6.2          0.0012        58.51181         -0.0004
6.3          0.0013        56.55600         -0.0004
6.4          0.0013        54.65179         -0.0004
6.5          0.0013        52.79881         -0.0004
6.6          0.0013        50.99659         -0.0004
6.7          0.0013        49.24459         -0.0004
6.8          0.0014        47.54219         -0.0004
6.9          0.0014        45.88872         -0.0005
7.0          0.0014        44.28346         -0.0005
7.1          0.0014        42.72565         -0.0005
7.2          0.0014        41.21446         -0.0005
7.3          0.0015        39.74906         -0.0005
7.4          0.0015        38.32858         -0.0005
7.5          0.0015        36.95212         -0.0005
7.6          0.0015        35.61877         -0.0005
7.7          0.0015        34.32759         -0.0005
7.8          0.0016        33.07764         -0.0005
7.9          0.0016        31.86798         -0.0005
8.0          0.0016        30.69764         -0.0005
8.1          0.0016        29.56567         -0.0005
8.2          0.0016        28.47111         -0.0005
8.3          0.0017        27.41300         -0.0005
8.4          0.0017        26.39040         -0.0006
8.5          0.0017        25.40235         -0.0006
8.6          0.0017        24.44791         -0.0006
8.7          0.0017        23.52616         -0.0006
8.8          0.0018        22.63619         -0.0006
8.9          0.0018        21.77707         -0.0006
9.0          0.0018        20.94793         -0.0006
9.1          0.0018        20.14788         -0.0006
9.2          0.0018        19.37605         -0.0006
9.3          0.0019        18.63160         -0.0006
9.4          0.0019        17.91368         -0.0006
9.5          0.0019        17.22149         -0.0006
9.6          0.0019        16.55423         -0.0006
9.7          0.0019        15.91110         -0.0006
9.8          0.0020        15.29134         -0.0006
9.9          0.0020        14.69420         -0.0007
10.0          0.0020        14.11894         -0.0007
